% function evaluation | noise-free fitness - Fopt (-2.098800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.154608858e+07 +4.154608858e+07 +4.154587870e+07 +4.154587870e+07 +4.0292e+00 +3.4028e+00 -4.7380e-01 -5.7517e-01 +3.0279e+00 -2.4191e+00 -1.7440e+00 +4.8619e-01 -8.4544e-01 +1.0947e+00 -4.2846e-01 -3.5124e+00 -3.6679e+00 +1.4098e+00 -3.3415e+00 +3.0901e+00 +2.9910e-01 -1.1888e+00 +3.9602e+00 -1.5967e+00
22 +2.796387624e+07 +2.796387624e+07 +2.796366636e+07 +2.796366636e+07 +4.0292e+00 +3.4028e+00 -4.7380e-01 -5.7516e-01 +3.0279e+00 -2.4191e+00 -1.7439e+00 +4.8615e-01 -8.4547e-01 +1.0950e+00 -4.2786e-01 -3.5096e+00 -3.6555e+00 +1.4046e+00 -3.3328e+00 +2.9811e+00 +2.0754e-01 -9.6391e-01 +2.9602e+00 -6.6692e-01
43 +1.209690531e+07 +1.209690531e+07 +1.209669543e+07 +1.209669543e+07 +4.0292e+00 +3.4028e+00 -4.7378e-01 -5.7513e-01 +3.0278e+00 -2.4189e+00 -1.7436e+00 +4.8601e-01 -8.4559e-01 +1.0962e+00 -4.2505e-01 -3.4966e+00 -3.5984e+00 +1.3809e+00 -3.2928e+00 +2.4560e+00 -1.4639e-01 +8.8745e-02 +1.0560e+00 +9.2699e-01
64 +5.504864391e+06 +5.504864391e+06 +5.504654511e+06 +5.504654511e+06 +4.0292e+00 +3.4028e+00 -4.7373e-01 -5.7505e-01 +3.0278e+00 -2.4185e+00 -1.7427e+00 +4.8564e-01 -8.4588e-01 +1.0992e+00 -4.1812e-01 -3.4644e+00 -3.4588e+00 +1.3227e+00 -3.1935e+00 +1.1710e+00 -7.8865e-01 +2.3050e+00 -2.6294e+00 +3.7223e+00
85 +3.123791716e+06 +3.123791716e+06 +3.123581836e+06 +3.123581836e+06 +4.0292e+00 +3.4028e+00 -4.7373e-01 -5.7505e-01 +3.0278e+00 -2.4185e+00 -1.7427e+00 +4.8564e-01 -8.4588e-01 +1.0992e+00 -4.1815e-01 -3.4646e+00 -3.4607e+00 +1.3232e+00 -3.1934e+00 +1.2803e+00 -8.3589e-01 +1.9972e+00 -2.1482e+00 +2.4315e+00
106 +2.332398476e+06 +2.332398476e+06 +2.332188596e+06 +2.332188596e+06 +4.0292e+00 +3.4028e+00 -4.7371e-01 -5.7503e-01 +3.0278e+00 -2.4184e+00 -1.7424e+00 +4.8550e-01 -8.4599e-01 +1.1003e+00 -4.1557e-01 -3.4526e+00 -3.4115e+00 +1.3020e+00 -3.1551e+00 +1.0246e+00 -1.2158e+00 +2.3571e+00 -2.4272e+00 +1.6160e+00
169 +1.083304229e+06 +1.083304229e+06 +1.083094349e+06 +1.083094349e+06 +4.0292e+00 +3.4028e+00 -4.7354e-01 -5.7474e-01 +3.0276e+00 -2.4168e+00 -1.7391e+00 +4.8413e-01 -8.4709e-01 +1.1114e+00 -3.8977e-01 -3.3335e+00 -2.9338e+00 +1.0887e+00 -2.7576e+00 -1.4777e+00 -2.8230e+00 +3.8301e+00 -2.6439e+00 +2.2894e+00
232 +8.095344397e+05 +8.095344397e+05 +8.093245597e+05 +8.093245597e+05 +4.0292e+00 +3.4027e+00 -4.7346e-01 -5.7462e-01 +3.0275e+00 -2.4162e+00 -1.7378e+00 +4.8354e-01 -8.4756e-01 +1.1162e+00 -3.7866e-01 -3.2823e+00 -2.7385e+00 +9.8872e-01 -2.5779e+00 -2.3879e+00 -3.3825e+00 +3.9473e+00 -2.4233e+00 +2.2275e+00
295 +4.584495523e+05 +4.584495523e+05 +4.582396723e+05 +4.582396723e+05 +4.0291e+00 +3.4027e+00 -4.7321e-01 -5.7422e-01 +3.0272e+00 -2.4140e+00 -1.7332e+00 +4.8159e-01 -8.4909e-01 +1.1321e+00 -3.4216e-01 -3.1149e+00 -2.1791e+00 +5.5429e-01 -2.0273e+00 -3.6417e+00 -3.7082e+00 +3.3146e+00 -2.2215e+00 +1.6802e+00
316 +3.689112652e+05 +3.689112652e+05 +3.687013852e+05 +3.687013852e+05 +4.0291e+00 +3.4027e+00 -4.7309e-01 -5.7403e-01 +3.0271e+00 -2.4130e+00 -1.7309e+00 +4.8062e-01 -8.4985e-01 +1.1400e+00 -3.2399e-01 -3.0316e+00 -1.9119e+00 +3.2203e-01 -1.7803e+00 -4.1513e+00 -3.6399e+00 +3.0634e+00 -2.3329e+00 +1.7589e+00
505 +2.450542172e+05 +2.450542172e+05 +2.448443372e+05 +2.448443372e+05 +4.0291e+00 +3.4025e+00 -4.7256e-01 -5.7318e-01 +3.0265e+00 -2.4084e+00 -1.7213e+00 +4.7641e-01 -8.5303e-01 +1.1741e+00 -2.4718e-01 -2.6745e+00 -1.0259e+00 -2.3586e-01 -1.4222e+00 -4.2753e+00 -2.9856e+00 +3.0409e+00 -2.3339e+00 +1.9162e+00
652 +1.533713414e+05 +1.533713414e+05 +1.531614614e+05 +1.531614614e+05 +4.0289e+00 +3.4022e+00 -4.7104e-01 -5.7074e-01 +3.0249e+00 -2.3952e+00 -1.6934e+00 +4.6414e-01 -8.6215e-01 +1.2738e+00 -2.8892e-02 -1.6374e+00 +1.4347e+00 -1.5269e+00 -7.7328e-01 -4.1972e+00 -2.4124e+00 +3.0498e+00 -2.2921e+00 +1.9144e+00
736 +9.389280699e+04 +9.389280699e+04 +9.368292699e+04 +9.368292699e+04 +4.0289e+00 +3.4021e+00 -4.7050e-01 -5.6988e-01 +3.0243e+00 -2.3905e+00 -1.6835e+00 +4.5969e-01 -8.6531e-01 +1.3100e+00 +4.3936e-02 -1.2734e+00 +2.1839e+00 -1.7544e+00 -8.4411e-01 -3.8028e+00 -2.7407e+00 +3.3231e+00 -2.4540e+00 +1.9301e+00
820 +5.952591130e+04 +5.952591130e+04 +5.931603130e+04 +5.931603130e+04 +4.0288e+00 +3.4019e+00 -4.6964e-01 -5.6850e-01 +3.0234e+00 -2.3831e+00 -1.6678e+00 +4.5270e-01 -8.7033e-01 +1.3669e+00 +1.5919e-01 -7.0532e-01 +3.4589e+00 -2.3443e+00 -6.3249e-01 -3.6878e+00 -2.8410e+00 +3.0046e+00 -2.4682e+00 +1.8947e+00
967 +3.942238284e+04 +3.942238284e+04 +3.921250284e+04 +3.921250284e+04 +4.0288e+00 +3.4018e+00 -4.6938e-01 -5.6808e-01 +3.0231e+00 -2.3808e+00 -1.6629e+00 +4.5037e-01 -8.7159e-01 +1.3858e+00 +1.7155e-01 -6.2185e-01 +3.4697e+00 -2.1161e+00 -8.6296e-01 -3.7458e+00 -3.1645e+00 +3.0877e+00 -2.3519e+00 +1.9311e+00
1114 +2.289362354e+04 +2.289362354e+04 +2.268374354e+04 +2.268374354e+04 +4.0286e+00 +3.4014e+00 -4.6768e-01 -5.6537e-01 +3.0213e+00 -2.3661e+00 -1.6318e+00 +4.3566e-01 -8.8013e-01 +1.5051e+00 +2.8618e-01 +1.0271e-02 +4.1273e+00 -1.6724e+00 -1.2352e+00 -3.7377e+00 -2.9926e+00 +3.0497e+00 -2.2694e+00 +1.9350e+00
1156 +1.388774396e+04 +1.388774396e+04 +1.367786396e+04 +1.367786396e+04 +4.0285e+00 +3.4011e+00 -4.6622e-01 -5.6305e-01 +3.0197e+00 -2.3536e+00 -1.6051e+00 +4.2299e-01 -8.8725e-01 +1.6075e+00 +3.7124e-01 +4.9929e-01 +4.4891e+00 -1.1254e+00 -1.6434e+00 -3.7731e+00 -2.9310e+00 +3.0396e+00 -2.3153e+00 +1.9261e+00
1240 +9.739103431e+03 +9.739103431e+03 +9.529223431e+03 +9.529223431e+03 +4.0285e+00 +3.4011e+00 -4.6657e-01 -5.6360e-01 +3.0201e+00 -2.3566e+00 -1.6115e+00 +4.2599e-01 -8.8544e-01 +1.5825e+00 +3.4520e-01 +3.6796e-01 +4.3167e+00 -1.2336e+00 -1.5676e+00 -3.7956e+00 -3.0910e+00 +3.0723e+00 -2.3821e+00 +1.9143e+00
1450 +6.165823988e+03 +6.165823988e+03 +5.955943988e+03 +5.955943988e+03 +4.0283e+00 +3.4008e+00 -4.6492e-01 -5.6097e-01 +3.0182e+00 -2.3423e+00 -1.5812e+00 +4.1199e-01 -8.9263e-01 +1.6838e+00 +4.1528e-01 +8.8829e-01 +4.3601e+00 -1.3261e+00 -1.5703e+00 -3.8306e+00 -2.9895e+00 +3.0548e+00 -2.3942e+00 +1.9179e+00
1555 +3.697018157e+03 +3.697018157e+03 +3.487138157e+03 +3.487138157e+03 +4.0282e+00 +3.4004e+00 -4.6319e-01 -5.5821e-01 +3.0163e+00 -2.3274e+00 -1.5495e+00 +3.9749e-01 -8.9955e-01 +1.7817e+00 +4.6519e-01 +1.3325e+00 +4.0549e+00 -1.5087e+00 -1.5361e+00 -3.7491e+00 -3.0377e+00 +3.0843e+00 -2.3754e+00 +1.9064e+00
2227 +2.471884623e+03 +2.471884623e+03 +2.262004623e+03 +2.262004623e+03 +4.0269e+00 +3.3972e+00 -4.4974e-01 -5.3690e-01 +3.0004e+00 -2.2115e+00 -1.3039e+00 +3.1088e-01 -9.5015e-01 +2.1564e+00 +8.8810e-01 +1.5375e+00 +3.9917e+00 -1.3859e+00 -1.5578e+00 -3.7241e+00 -3.0658e+00 +3.0744e+00 -2.3815e+00 +1.9224e+00
3109 +1.576690301e+03 +1.576690301e+03 +1.366810301e+03 +1.366810301e+03 +4.0216e+00 +3.3847e+00 -3.9542e-01 -4.5190e-01 +2.9289e+00 -1.7447e+00 -3.4237e-01 +1.1335e-01 -1.0804e+00 +2.9797e+00 +8.4050e-01 +1.5069e+00 +3.9821e+00 -1.4401e+00 -1.5308e+00 -3.7653e+00 -3.0632e+00 +3.0614e+00 -2.3819e+00 +1.9221e+00
3508 +9.554071235e+02 +9.554071235e+02 +7.455271235e+02 +7.455271235e+02 +4.0106e+00 +3.3586e+00 -2.8138e-01 -2.7793e-01 +2.7471e+00 -7.5788e-01 +1.3304e+00 -2.0372e-01 -1.2558e+00 +3.0191e+00 +9.1681e-01 +1.6632e+00 +3.9940e+00 -1.4071e+00 -1.4865e+00 -3.7622e+00 -3.0697e+00 +3.0729e+00 -2.3830e+00 +1.9232e+00
3613 +5.753267897e+02 +5.753267897e+02 +3.654467897e+02 +3.654467897e+02 +4.0024e+00 +3.3393e+00 -1.9704e-01 -1.4960e-01 +2.6105e+00 -2.7879e-02 +2.5433e+00 -4.2700e-01 -1.3770e+00 +2.9019e+00 +9.4843e-01 +1.5827e+00 +3.9977e+00 -1.4052e+00 -1.5027e+00 -3.7536e+00 -3.0614e+00 +3.0664e+00 -2.3793e+00 +1.9194e+00
4222 +3.966837403e+02 +3.966837403e+02 +1.868037403e+02 +1.868037403e+02 +3.9975e+00 +3.3281e+00 -1.4645e-01 -8.5174e-02 +2.5630e+00 +2.9765e-01 +2.6880e+00 -3.2683e-01 -1.1998e+00 +2.6124e+00 +8.8936e-01 +1.5837e+00 +3.9725e+00 -1.4361e+00 -1.5504e+00 -3.7651e+00 -3.0565e+00 +3.0606e+00 -2.3805e+00 +1.9227e+00
