% function evaluation | noise-free fitness - Fopt (2.997000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.272569958e+03 +3.272569958e+03 +3.302539958e+03 +3.302539958e+03 +1.5535e+00 +4.4670e-01 -2.7078e+00 +4.7350e+00 +1.3221e+00 +4.6623e+00 +1.9912e+00 -4.4997e+00 -3.5017e+00 +1.4301e+00 -1.1433e+00 -4.4598e+00 -3.9522e+00 +2.6377e+00 +4.2143e+00 +1.1734e+00 +1.9148e+00 -2.6991e+00 -1.2045e-01 +2.4001e+00
43 +2.009630538e+03 +2.009630538e+03 +2.039600538e+03 +2.039600538e+03 -2.0601e-01 +2.6482e+00 -2.4624e+00 -1.2385e+00 +2.3633e+00 -3.4233e-01 -2.0241e+00 +1.3999e+00 +8.2172e-01 -1.9708e+00 -2.0738e+00 -1.3016e+00 +3.9007e-01 +1.5116e+00 -2.7327e+00 -9.5614e-01 -5.1040e-01 -3.7912e+00 +3.6381e-01 -7.7148e-02
64 +1.129956101e+03 +1.129956101e+03 +1.159926101e+03 +1.159926101e+03 +6.3240e-01 +8.6085e-01 -3.6679e+00 +5.9717e-01 +2.4678e+00 +2.1539e+00 -1.3282e+00 -1.2500e+00 -1.0973e+00 -8.3284e-01 -6.5467e-01 -2.5084e+00 -2.5729e-02 +2.2852e+00 -7.8661e-02 +5.5179e-01 -4.7058e-02 -2.8559e+00 +6.8655e-01 +3.2643e-01
85 +5.612583241e+02 +5.612583241e+02 +5.912283241e+02 +5.912283241e+02 +8.1245e-01 -4.4234e-01 -4.9306e+00 -8.7362e-01 +3.4694e+00 +2.7510e+00 -2.9532e+00 -1.3283e+00 -6.3150e-01 -1.4102e+00 +8.8120e-01 -2.2018e+00 +2.4711e+00 +2.5686e+00 -7.7216e-01 +1.4612e+00 -1.1213e+00 -2.1349e+00 +1.4303e+00 -1.4283e+00
127 +3.166778308e+02 +3.166778308e+02 +3.466478308e+02 +3.466478308e+02 +7.8767e-01 -1.2820e+00 -5.0144e+00 -2.0328e+00 +3.9499e+00 +3.4435e+00 -3.9549e+00 -1.5531e+00 +4.0862e-01 -1.7714e+00 +1.7387e+00 -1.9435e+00 +3.9416e+00 +2.5566e+00 -1.4383e+00 +2.1479e+00 -2.0356e+00 -1.6299e+00 +1.8108e+00 -3.1052e+00
169 +1.791918273e+02 +1.791918273e+02 +2.091618273e+02 +2.091618273e+02 +5.8881e-01 -1.8074e+00 -4.3077e+00 -2.1202e+00 +3.5480e+00 +4.0899e+00 -4.1693e+00 -2.2504e+00 +1.0993e+00 -1.9012e+00 +1.8792e+00 -2.1633e+00 +4.2398e+00 +2.3857e+00 -1.6804e+00 +2.6528e+00 -2.4647e+00 -1.3600e+00 +1.8006e+00 -3.5659e+00
211 +1.232003946e+02 +1.232003946e+02 +1.531703946e+02 +1.531703946e+02 +5.8031e-01 -1.7992e+00 -3.6749e+00 -2.0700e+00 +3.3851e+00 +3.9967e+00 -3.9414e+00 -2.5402e+00 +1.3517e+00 -1.8536e+00 +1.6999e+00 -2.1583e+00 +4.2384e+00 +2.4002e+00 -1.7576e+00 +2.7299e+00 -2.4742e+00 -1.4273e+00 +1.5996e+00 -3.6068e+00
253 +9.802186395e+01 +9.802186395e+01 +1.279918639e+02 +1.279918639e+02 +5.4478e-01 -1.7550e+00 -3.5351e+00 -1.9608e+00 +3.1307e+00 +3.8795e+00 -3.8581e+00 -2.6415e+00 +1.4205e+00 -1.7683e+00 +1.5720e+00 -2.0349e+00 +4.1340e+00 +2.4836e+00 -1.7609e+00 +2.7486e+00 -2.4472e+00 -1.4098e+00 +1.4854e+00 -3.2807e+00
379 +5.929795062e+01 +5.929795062e+01 +8.926795062e+01 +8.926795062e+01 +7.1058e-01 -1.5960e+00 -3.7446e+00 -1.7792e+00 +3.0665e+00 +3.3772e+00 -3.6314e+00 -2.6310e+00 +1.0772e+00 -1.6458e+00 +1.5131e+00 -1.7879e+00 +4.1442e+00 +2.4324e+00 -1.5291e+00 +2.5159e+00 -2.3016e+00 -1.4583e+00 +1.3363e+00 -2.9573e+00
526 +3.575438768e+01 +3.575438768e+01 +6.572438768e+01 +6.572438768e+01 +7.1061e-01 -1.6627e+00 -3.8758e+00 -1.9050e+00 +3.2314e+00 +3.5619e+00 -3.8538e+00 -2.5695e+00 +1.0095e+00 -1.7232e+00 +1.5321e+00 -1.9095e+00 +4.1062e+00 +2.4714e+00 -1.5803e+00 +2.6239e+00 -2.3661e+00 -1.3063e+00 +1.5113e+00 -3.1949e+00
