% function evaluation | noise-free fitness - Fopt (1.238300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.508576978e+05 +4.508576978e+05 +4.509815278e+05 +4.509815278e+05 -4.0678e+00 +4.8747e+00 -2.1355e+00 +1.6145e+00 -1.0388e+00 +2.6944e+00 +1.1159e+00 +3.7949e+00 +4.7109e+00 +3.6009e-01 +2.0806e+00 -2.9335e+00 -3.1939e-02 -2.6098e+00 +4.8393e+00 +3.7836e+00 +6.4119e-01 +1.7444e+00 +2.9912e+00 -2.1096e+00
22 +1.710038913e+05 +1.710038913e+05 +1.711277213e+05 +1.711277213e+05 -3.3466e+00 +3.8747e+00 -1.6606e+00 +1.4698e+00 -7.0093e-01 +2.1022e+00 +1.3830e+00 +3.2492e+00 +4.2565e+00 -1.3406e-01 +1.8144e+00 -2.7856e+00 -4.2868e-01 -2.2047e+00 +4.0211e+00 +2.8036e+00 +5.7138e-01 +8.5550e-01 +2.1896e+00 -1.4964e+00
43 +6.120399162e+04 +6.120399162e+04 +6.132782162e+04 +6.132782162e+04 -2.6724e+00 +2.9355e+00 -1.2668e+00 +1.4556e+00 -5.7218e-01 +1.7888e+00 +1.3092e+00 +2.4156e+00 +3.4929e+00 -3.9156e-01 +1.4417e+00 -2.5112e+00 -7.4677e-01 -1.7867e+00 +3.3721e+00 +2.2225e+00 +4.0088e-01 +3.7456e-01 +1.5741e+00 -7.9485e-01
64 +2.184920612e+04 +2.184920612e+04 +2.197303612e+04 +2.197303612e+04 -2.0928e+00 +2.1621e+00 -9.5193e-01 +1.4284e+00 -4.7477e-01 +1.5446e+00 +1.1907e+00 +1.7461e+00 +2.8185e+00 -5.6328e-01 +1.1381e+00 -2.2640e+00 -9.3708e-01 -1.4556e+00 +2.7739e+00 +1.7421e+00 +2.8324e-01 +7.6050e-02 +1.1268e+00 -2.6320e-01
85 +8.358544189e+03 +8.358544189e+03 +8.482374189e+03 +8.482374189e+03 -1.6224e+00 +1.5687e+00 -6.9816e-01 +1.3988e+00 -4.0633e-01 +1.3522e+00 +1.0912e+00 +1.2204e+00 +2.2722e+00 -6.7685e-01 +9.0319e-01 -2.0464e+00 -1.0490e+00 -1.1898e+00 +2.2827e+00 +1.3628e+00 +1.9431e-01 -1.1126e-01 +8.0444e-01 +1.2703e-01
106 +3.623943808e+03 +3.623943808e+03 +3.747773808e+03 +3.747773808e+03 -1.2366e+00 +1.1145e+00 -4.8906e-01 +1.3680e+00 -3.6427e-01 +1.1913e+00 +1.0194e+00 +8.0874e-01 +1.8281e+00 -7.5375e-01 +7.1699e-01 -1.8566e+00 -1.1123e+00 -9.6988e-01 +1.8877e+00 +1.0606e+00 +1.2201e-01 -2.3346e-01 +5.6844e-01 +4.1610e-01
127 +1.897077048e+03 +1.897077048e+03 +2.020907048e+03 +2.020907048e+03 -9.1563e-01 +7.6669e-01 -3.1402e-01 +1.3356e+00 -3.4490e-01 +1.0500e+00 +9.7263e-01 +4.8779e-01 +1.4629e+00 -8.0647e-01 +5.6541e-01 -1.6924e+00 -1.1440e+00 -7.8446e-01 +1.5730e+00 +8.1778e-01 +6.1413e-02 -3.1503e-01 +3.9326e-01 +6.3067e-01
148 +1.210079402e+03 +1.210079402e+03 +1.333909402e+03 +1.333909402e+03 -6.3996e-01 +4.9473e-01 -1.6309e-01 +1.3007e+00 -3.4361e-01 +9.1994e-01 +9.4476e-01 +2.3410e-01 +1.1536e+00 -8.4365e-01 +4.3675e-01 -1.5486e+00 -1.1549e+00 -6.2336e-01 +1.3183e+00 +6.1761e-01 +9.2901e-03 -3.7101e-01 +2.5891e-01 +7.9212e-01
169 +9.024095870e+02 +9.024095870e+02 +1.026239587e+03 +1.026239587e+03 -3.9557e-01 +2.7713e-01 -2.9043e-02 +1.2618e+00 -3.5657e-01 +7.9569e-01 +9.3054e-01 +3.0633e-02 +8.8322e-01 -8.7062e-01 +3.2307e-01 -1.4202e+00 -1.1514e+00 -4.7957e-01 +1.1075e+00 +4.4773e-01 -3.6278e-02 -4.0986e-01 +1.5212e-01 +9.1424e-01
232 +5.925466870e+02 +5.925466870e+02 +7.163766870e+02 +7.163766870e+02 +1.0079e-01 -4.6017e-02 +2.4458e-01 +1.1267e+00 -4.5289e-01 +4.9487e-01 +9.4604e-01 -2.6313e-01 +3.5263e-01 -9.0071e-01 +8.9217e-02 -1.1563e+00 -1.0742e+00 -1.8925e-01 +7.5054e-01 +1.3883e-01 -1.1902e-01 -4.3373e-01 -1.2487e-02 +1.0378e+00
274 +3.369044167e+02 +3.369044167e+02 +4.607344167e+02 +4.607344167e+02 +2.4302e-01 +1.1376e-01 +3.3718e-01 +9.5084e-01 -6.2317e-01 +3.0800e-01 +1.0335e+00 -9.1753e-02 +2.3523e-01 -8.5932e-01 +1.5038e-02 -1.0596e+00 -8.9158e-01 -1.1211e-01 +7.8456e-01 +1.1917e-01 -1.2116e-01 -3.1459e-01 +4.4653e-02 +7.8596e-01
358 +2.375071079e+02 +2.375071079e+02 +3.613371079e+02 +3.613371079e+02 +8.7252e-02 +4.4949e-01 +3.5075e-01 +8.1303e-01 -7.2672e-01 +3.0147e-01 +1.0782e+00 +2.6292e-01 +4.1358e-01 -8.0106e-01 +9.3683e-02 -1.0713e+00 -7.4193e-01 -1.8580e-01 +9.9216e-01 +2.6322e-01 -1.0615e-01 -1.6929e-01 +1.6896e-01 +4.1924e-01
421 +1.568761803e+02 +1.568761803e+02 +2.807061803e+02 +2.807061803e+02 +7.0534e-03 +3.9894e-01 +7.1597e-01 +6.0672e-01 -6.5309e-01 +3.5277e-01 +9.0059e-01 +3.3475e-01 +3.8513e-01 -8.0629e-01 +1.9350e-01 -8.6481e-01 -6.9786e-01 -1.1074e-01 +8.3938e-01 +2.1680e-01 -2.4831e-01 -1.0697e-01 +2.1834e-02 +1.9984e-01
568 +9.728062007e+01 +9.728062007e+01 +2.211106201e+02 +2.211106201e+02 +2.7484e-01 +3.3082e-01 +8.9280e-01 +2.3051e-02 -6.5837e-01 +1.2805e-02 +8.7559e-01 +3.3082e-01 +4.0380e-02 -8.4971e-01 +1.4538e-01 -2.0659e-01 -4.2555e-01 +1.5870e-01 +7.0981e-01 +2.2248e-01 -5.2910e-01 +1.1291e-01 -1.4719e-01 -1.5675e-01
631 +5.680984392e+01 +5.680984392e+01 +1.806398439e+02 +1.806398439e+02 +9.7149e-02 +3.4275e-01 +6.0595e-01 -9.4122e-02 -4.9927e-01 +6.3449e-02 +8.4936e-01 +3.0397e-01 +1.8804e-01 -9.0695e-01 +2.6391e-01 -1.6325e-02 -4.3545e-01 +9.4729e-02 +8.5958e-01 +4.5578e-01 -6.5049e-01 +1.5827e-01 -1.6539e-01 -1.7488e-01
