% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.605071610e+03 +1.605071610e+03 +2.605071610e+03 +2.605071610e+03 -1.8257e+00 -2.2645e+00 -3.1551e+00 -1.4245e+00 -6.3153e-01 -2.0953e+00 +3.3153e+00 -1.3587e+00 +2.1957e+00 +2.1880e+00 +8.5679e-01 +1.3555e+00 +4.7769e+00 -1.5607e+00 +3.1567e-01 -2.6734e+00 +7.2244e-01 +3.9188e-01 +3.5788e+00 -1.7579e+00
22 +1.479319349e+03 +1.479319349e+03 +2.479319349e+03 +2.479319349e+03 -2.3551e+00 -2.2249e+00 -2.7422e+00 -8.5808e-01 -5.9802e-01 -1.6974e+00 +3.2316e+00 -2.0626e+00 +2.0526e+00 +1.6772e+00 +6.6816e-01 +1.1936e+00 +3.7769e+00 -1.4012e+00 +2.1224e-01 -2.6670e+00 +6.2800e-01 -2.1426e-02 +3.6756e+00 -1.6603e+00
1282 +7.604643380e+02 +7.604643380e+02 +1.760464338e+03 +1.760464338e+03 +1.7072e+00 +2.4745e+00 +4.9063e+00 +5.1278e+00 +2.3286e+00 -1.3873e+00 -4.8914e-01 +2.8718e+00 +8.1592e-01 +1.0797e+00 -5.8051e+00 -2.5276e+00 -3.9709e-01 -1.4185e+00 +3.8569e+00 +6.2580e+00 +1.8675e+00 +2.8902e+00 +1.6835e+00 -4.2465e+00
1660 +6.115885873e+02 +6.115885873e+02 +1.611588587e+03 +1.611588587e+03 +5.6774e-01 +2.8554e+00 +4.7472e+00 +6.0839e+00 +2.6452e+00 -9.4613e-01 +8.6287e-02 +2.2130e+00 +2.8604e-01 +1.2749e+00 -6.3988e+00 -3.0067e+00 -5.5332e-01 -1.1571e+00 +4.6348e+00 +5.8342e+00 +2.7494e+00 +2.4713e+00 +1.3639e+00 -4.0482e+00
7246 +3.935317264e+02 +3.935317264e+02 +1.393531726e+03 +1.393531726e+03 +6.7431e-01 +5.1541e+00 -6.9159e-01 +7.1634e-01 +1.5098e+00 -6.9325e-01 +4.3397e-01 +2.1902e+00 -1.9961e+00 -4.9152e-03 +2.5399e-01 -2.8699e+00 -2.9641e+00 -3.6516e-01 -1.4932e+00 +2.3046e-01 +4.2345e+00 +1.0022e+00 +3.1989e-01 +1.0686e+00
% function evaluation | noise-free fitness - Fopt (7.003000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.899787932e+03 +1.899787932e+03 +1.969817932e+03 +1.969817932e+03 -3.7093e+00 -1.8962e+00 +3.5606e+00 -1.4422e+00 +2.8384e-01 +1.3970e+00 -4.6169e+00 -3.0312e+00 -5.3211e-01 +2.6955e+00 +2.8688e+00 +2.3824e+00 -2.9408e+00 -3.6448e+00 +3.9252e+00 -1.2608e+00 -1.7465e+00 +2.8504e+00 +6.4455e-01 +1.5237e+00
43 +1.359988238e+03 +1.359988238e+03 +1.430018238e+03 +1.430018238e+03 -3.5849e+00 -1.4949e+00 +3.6513e+00 -2.0128e+00 -1.9342e+00 +1.0515e+00 -2.9688e+00 -2.8340e+00 -7.0926e-01 +2.4489e+00 +3.6460e+00 -6.2658e-01 -2.1215e+00 -4.4753e+00 +1.5647e+00 -1.5170e+00 +5.2198e-01 +2.0689e+00 -8.8704e-01 +9.5400e-01
253 +7.634805336e+02 +7.634805336e+02 +8.335105336e+02 +8.335105336e+02 -1.4560e+00 -5.9660e-01 +2.0222e+00 -2.8647e+00 -2.5966e+00 -2.8580e+00 -2.9386e+00 -2.1657e+00 -9.8218e-01 -1.6940e-01 +1.9324e+00 -3.0433e+00 -3.8782e-02 -4.8642e+00 +2.1099e+00 +5.0642e-01 +6.9018e-01 +1.5029e+00 -1.8056e+00 +2.8345e-01
631 +6.109777124e+02 +6.109777124e+02 +6.810077124e+02 +6.810077124e+02 -1.1393e+00 -5.3448e-01 +1.6537e+00 -3.5000e+00 -2.4676e+00 -3.9359e+00 -3.2399e+00 -1.9779e+00 -8.4187e-01 -1.1119e+00 +1.4167e+00 -3.4418e+00 +1.7153e-01 -4.7743e+00 +2.4702e+00 +1.0676e+00 +4.8958e-01 +1.4200e+00 -1.8260e+00 -1.1896e-01
