% function evaluation | noise-free fitness - Fopt (1.491500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.631773305e+05 +1.631773305e+05 +1.633264805e+05 +1.633264805e+05 -4.5784e+00 +1.2247e+00 +1.4860e+00 +3.6888e-01 -1.2473e+00 -9.6546e-01 +2.1021e+00 +2.2989e+00 -1.6934e+00 -2.9281e+00 +9.0061e-01 +3.1081e+00 +1.2650e+00 -3.2463e+00 +4.7097e-01 -4.1327e+00 -3.2108e+00 +4.5927e+00 -9.3816e-01 -4.8471e+00
22 +9.032539547e+04 +9.032539547e+04 +9.047454547e+04 +9.047454547e+04 -4.2709e+00 +1.1698e+00 +1.3610e+00 +3.8845e-01 -1.3673e+00 -9.1714e-01 +1.7114e+00 +1.5755e+00 -1.5837e+00 -2.8630e+00 +6.1163e-01 +2.8074e+00 +1.3246e+00 -3.2275e+00 +3.3290e-01 -3.8775e+00 -3.1566e+00 +3.5927e+00 -9.1122e-01 -4.8272e+00
43 +2.962692300e+04 +2.962692300e+04 +2.977607300e+04 +2.977607300e+04 -3.5615e+00 +9.4786e-01 +9.9592e-01 +4.5137e-01 -1.7162e+00 -7.7595e-01 +8.1574e-01 +4.7947e-01 -1.3328e+00 -2.6350e+00 -8.7367e-02 +2.0824e+00 +1.4948e+00 -3.1541e+00 -5.5963e-02 -3.2044e+00 -2.9081e+00 +2.5557e+00 -1.0289e+00 -4.7513e+00
64 +1.158557221e+04 +1.158557221e+04 +1.173472221e+04 +1.173472221e+04 -3.0770e+00 +6.9123e-01 +6.7994e-01 +5.1439e-01 -2.0118e+00 -6.6709e-01 +2.3223e-01 -1.8678e-01 -1.1313e+00 -2.3925e+00 -5.8601e-01 +1.5672e+00 +1.6423e+00 -3.0590e+00 -3.7470e-01 -2.6832e+00 -2.6649e+00 +1.8896e+00 -1.2060e+00 -4.6639e+00
85 +4.668335808e+03 +4.668335808e+03 +4.817485808e+03 +4.817485808e+03 -2.6832e+00 +4.1838e-01 +3.8859e-01 +5.8018e-01 -2.2751e+00 -6.0063e-01 -2.3178e-01 -7.1870e-01 -9.5084e-01 -2.1398e+00 -1.0021e+00 +1.1405e+00 +1.7786e+00 -2.9398e+00 -6.5424e-01 -2.2292e+00 -2.4222e+00 +1.3569e+00 -1.4193e+00 -4.5638e+00
106 +2.279254352e+03 +2.279254352e+03 +2.428404352e+03 +2.428404352e+03 -2.3961e+00 +1.7863e-01 +1.5551e-01 +6.3910e-01 -2.4768e+00 -5.9652e-01 -5.6308e-01 -1.1070e+00 -8.1348e-01 -1.9183e+00 -1.3139e+00 +8.2416e-01 +1.8847e+00 -2.8168e+00 -8.6588e-01 -1.8784e+00 -2.2144e+00 +9.6890e-01 -1.6232e+00 -4.4680e+00
127 +1.340391728e+03 +1.340391728e+03 +1.489541728e+03 +1.489541728e+03 -2.1764e+00 -3.3538e-02 -3.7187e-02 +6.9292e-01 -2.6359e+00 -6.4658e-01 -8.1058e-01 -1.4077e+00 -7.0909e-01 -1.7210e+00 -1.5605e+00 +5.7780e-01 +1.9667e+00 -2.6916e+00 -1.0305e+00 -1.5965e+00 -2.0317e+00 +6.6944e-01 -1.8145e+00 -4.3764e+00
148 +9.068636434e+02 +9.068636434e+02 +1.056013643e+03 +1.056013643e+03 -2.0021e+00 -2.2477e-01 -2.0159e-01 +7.4318e-01 -2.7653e+00 -7.3996e-01 -1.0018e+00 -1.6513e+00 -6.3105e-01 -1.5412e+00 -1.7642e+00 +3.7813e-01 +2.0286e+00 -2.5645e+00 -1.1615e+00 -1.3642e+00 -1.8654e+00 +4.2768e-01 -1.9943e+00 -4.2882e+00
190 +4.988737188e+02 +4.988737188e+02 +6.480237188e+02 +6.480237188e+02 -1.7200e+00 -5.9192e-01 -4.9692e-01 +8.4462e-01 -2.9833e+00 -1.0371e+00 -1.3000e+00 -2.0621e+00 -5.3023e-01 -1.1875e+00 -2.1195e+00 +4.2218e-02 +2.1073e+00 -2.2826e+00 -1.3711e+00 -9.8495e-01 -1.5332e+00 +2.0409e-02 -2.3545e+00 -4.1056e+00
211 +3.868832491e+02 +3.868832491e+02 +5.360332491e+02 +5.360332491e+02 -1.6002e+00 -7.7606e-01 -6.3673e-01 +8.9754e-01 -3.0813e+00 -1.2321e+00 -1.4232e+00 -2.2456e+00 -5.0497e-01 -1.0048e+00 -2.2853e+00 -1.0766e-01 +2.1246e+00 -2.1243e+00 -1.4581e+00 -8.3606e-01 -1.3559e+00 -1.6247e-01 -2.5399e+00 -4.0095e+00
253 +2.436594651e+02 +2.436594651e+02 +3.928094651e+02 +3.928094651e+02 -1.4186e+00 -1.1181e+00 -8.8031e-01 +9.9845e-01 -3.2462e+00 -1.6692e+00 -1.6074e+00 -2.5385e+00 -5.0882e-01 -6.5246e-01 -2.5713e+00 -3.5097e-01 +2.1077e+00 -1.7982e+00 -1.5860e+00 -6.7513e-01 -9.9375e-01 -4.6134e-01 -2.8884e+00 -3.8260e+00
295 +1.265557708e+02 +1.265557708e+02 +2.757057708e+02 +2.757057708e+02 -1.4505e+00 -1.2488e+00 -9.3313e-01 +1.0427e+00 -3.2716e+00 -2.0249e+00 -1.5679e+00 -2.5165e+00 -6.2442e-01 -4.8792e-01 -2.6186e+00 -3.5124e-01 +1.9880e+00 -1.5945e+00 -1.5527e+00 -8.9460e-01 -7.7896e-01 -4.6304e-01 -3.0300e+00 -3.7421e+00
337 +9.672054075e+01 +9.672054075e+01 +2.458705407e+02 +2.458705407e+02 -1.5546e+00 -1.2016e+00 -8.6931e-01 +1.0343e+00 -3.2345e+00 -2.1169e+00 -1.4692e+00 -2.3613e+00 -7.1922e-01 -5.0877e-01 -2.5338e+00 -2.4265e-01 +1.8945e+00 -1.5718e+00 -1.4697e+00 -1.1459e+00 -7.6519e-01 -3.3291e-01 -2.9870e+00 -3.7558e+00
421 +4.750752588e+01 +4.750752588e+01 +1.966575259e+02 +1.966575259e+02 -1.6074e+00 -1.1239e+00 -8.3116e-01 +1.0316e+00 -3.4518e+00 -2.1407e+00 -1.6171e+00 -2.0911e+00 -8.6771e-01 -4.8544e-01 -2.5244e+00 -1.3635e-01 +1.7267e+00 -1.5143e+00 -1.4329e+00 -1.5531e+00 -7.0153e-01 -2.4417e-01 -2.8824e+00 -3.7882e+00
442 +3.543616374e+01 +3.543616374e+01 +1.845861637e+02 +1.845861637e+02 -1.5598e+00 -1.1267e+00 -8.5995e-01 +1.0359e+00 -3.5660e+00 -2.0995e+00 -1.7419e+00 -2.0841e+00 -8.6793e-01 -4.5725e-01 -2.5794e+00 -1.6668e-01 +1.7179e+00 -1.5003e+00 -1.4767e+00 -1.5582e+00 -6.7891e-01 -2.9527e-01 -2.8711e+00 -3.7906e+00
568 +2.510558474e+01 +2.510558474e+01 +1.742555847e+02 +1.742555847e+02 -1.5145e+00 -1.1147e+00 -8.7414e-01 +9.6198e-01 -3.6158e+00 -2.0440e+00 -1.7885e+00 -2.1246e+00 -8.3035e-01 -4.9110e-01 -2.6329e+00 -2.1885e-01 +1.7876e+00 -1.5657e+00 -1.6193e+00 -1.3802e+00 -8.0887e-01 -3.5326e-01 -2.8197e+00 -3.8315e+00
2311 +1.560744529e+01 +1.560744529e+01 +1.647574453e+02 +1.647574453e+02 -1.9068e-01 -6.3090e-01 -4.2324e-01 +1.1838e+00 -3.6487e+00 -2.1690e+00 -1.7879e+00 -2.0610e+00 -8.9425e-01 -4.7267e-01 -2.6484e+00 -2.1425e-01 +1.7627e+00 -1.5616e+00 -1.6829e+00 -1.4745e+00 -8.3666e-01 -3.5796e-01 -2.7963e+00 -3.8456e+00
3571 +9.986628812e+00 +9.986628812e+00 +1.591366288e+02 +1.591366288e+02 -6.0955e-02 -3.8031e-01 +7.7731e-03 +1.8275e+00 -2.7755e+00 -1.2661e+00 -9.5764e-01 -1.3458e+00 -3.8179e-01 -2.0789e-01 -2.6226e+00 -1.9549e-01 +1.7579e+00 -1.5679e+00 -1.6628e+00 -1.4652e+00 -8.7882e-01 -3.4607e-01 -2.8030e+00 -3.8502e+00
4306 +5.925237964e+00 +5.925237964e+00 +1.550752380e+02 +1.550752380e+02 -5.3723e-02 -3.7056e-01 +1.9486e-02 +1.8482e+00 -2.7399e+00 -1.1914e+00 -8.1812e-01 -1.0915e+00 +5.4563e-02 +4.3839e-01 -1.8173e+00 +4.9981e-01 +2.2523e+00 -1.3199e+00 -1.6397e+00 -1.4653e+00 -8.5025e-01 -3.5254e-01 -2.7818e+00 -3.8765e+00
4516 +3.738389424e+00 +3.738389424e+00 +1.528883894e+02 +1.528883894e+02 -5.3853e-02 -3.7019e-01 +2.0539e-02 +1.8510e+00 -2.7350e+00 -1.1854e+00 -8.0771e-01 -1.0749e+00 +8.3696e-02 +4.9544e-01 -1.7069e+00 +7.0419e-01 +2.6203e+00 -7.9445e-01 -1.0928e+00 -1.1428e+00 -7.7715e-01 -3.5959e-01 -2.7875e+00 -3.8544e+00
4621 +2.503142412e+00 +2.503142412e+00 +1.516531424e+02 +1.516531424e+02 -5.5672e-02 -3.7070e-01 +1.8944e-02 +1.8518e+00 -2.7342e+00 -1.1892e+00 -8.1016e-01 -1.0762e+00 +8.6522e-02 +5.0045e-01 -1.6930e+00 +7.4089e-01 +2.6831e+00 -6.7733e-01 -9.1558e-01 -8.8806e-01 -5.0599e-01 -2.5760e-01 -2.7908e+00 -3.8489e+00
4768 +1.468377921e+00 +1.468377921e+00 +1.506183779e+02 +1.506183779e+02 -5.6609e-02 -3.7223e-01 +1.8224e-02 +1.8502e+00 -2.7370e+00 -1.1899e+00 -8.1607e-01 -1.0707e+00 +8.9689e-02 +5.0223e-01 -1.6810e+00 +7.7373e-01 +2.7120e+00 -6.1129e-01 -7.9553e-01 -6.8911e-01 -2.2658e-01 +4.0017e-02 -2.6435e+00 -3.8415e+00
4852 +9.183270118e-01 +9.183270118e-01 +1.500683270e+02 +1.500683270e+02 -5.3850e-02 -3.6989e-01 +1.9710e-02 +1.8495e+00 -2.7372e+00 -1.1852e+00 -8.0583e-01 -1.0718e+00 +9.3397e-02 +5.1409e-01 -1.6716e+00 +7.6222e-01 +2.7279e+00 -5.9526e-01 -7.6027e-01 -6.0124e-01 -1.0315e-01 +1.9920e-01 -2.5070e+00 -3.7724e+00
4894 +6.222031355e-01 +6.222031355e-01 +1.497722031e+02 +1.497722031e+02 -5.5466e-02 -3.7096e-01 +1.9203e-02 +1.8509e+00 -2.7353e+00 -1.1884e+00 -8.1106e-01 -1.0719e+00 +9.1003e-02 +5.0750e-01 -1.6771e+00 +7.7222e-01 +2.7281e+00 -5.8890e-01 -7.4863e-01 -5.8819e-01 -7.3468e-02 +2.4494e-01 -2.4277e+00 -3.7199e+00
4957 +3.449096658e-01 +3.449096658e-01 +1.494949097e+02 +1.494949097e+02 -5.5332e-02 -3.7096e-01 +1.9098e-02 +1.8503e+00 -2.7362e+00 -1.1874e+00 -8.0971e-01 -1.0717e+00 +9.0780e-02 +5.0807e-01 -1.6763e+00 +7.7367e-01 +2.7348e+00 -5.7923e-01 -7.3009e-01 -5.4616e-01 +1.0848e-02 +3.7551e-01 -2.2601e+00 -3.5708e+00
4978 +2.193372113e-01 +2.193372113e-01 +1.493693372e+02 +1.493693372e+02 -5.4978e-02 -3.7060e-01 +1.9193e-02 +1.8499e+00 -2.7364e+00 -1.1866e+00 -8.0906e-01 -1.0706e+00 +9.2689e-02 +5.1042e-01 -1.6728e+00 +7.7150e-01 +2.7357e+00 -5.7328e-01 -7.1758e-01 -5.2690e-01 +3.3513e-02 +4.2459e-01 -2.1762e+00 -3.4685e+00
4999 +1.414801987e-01 +1.414801987e-01 +1.492914802e+02 +1.492914802e+02 -5.4905e-02 -3.7056e-01 +1.9525e-02 +1.8509e+00 -2.7354e+00 -1.1876e+00 -8.0883e-01 -1.0709e+00 +9.3360e-02 +5.1243e-01 -1.6710e+00 +7.7431e-01 +2.7368e+00 -5.7224e-01 -7.1230e-01 -5.1501e-01 +6.4620e-02 +4.8017e-01 -2.0888e+00 -3.3560e+00
5083 +5.551573022e-02 +5.551573022e-02 +1.492055157e+02 +1.492055157e+02 -5.5288e-02 -3.7091e-01 +1.9188e-02 +1.8505e+00 -2.7361e+00 -1.1880e+00 -8.0964e-01 -1.0717e+00 +9.1539e-02 +5.0976e-01 -1.6738e+00 +7.7609e-01 +2.7392e+00 -5.6832e-01 -7.0656e-01 -5.0070e-01 +9.4856e-02 +5.3473e-01 -1.9891e+00 -3.1966e+00
5125 +2.444471196e-02 +2.444471196e-02 +1.491744447e+02 +1.491744447e+02 -5.5317e-02 -3.7085e-01 +1.9020e-02 +1.8501e+00 -2.7362e+00 -1.1870e+00 -8.0977e-01 -1.0707e+00 +9.2073e-02 +5.0922e-01 -1.6736e+00 +7.7585e-01 +2.7416e+00 -5.6286e-01 -6.9810e-01 -4.8781e-01 +1.1218e-01 +5.7032e-01 -1.9237e+00 -3.0794e+00
5146 +1.290198751e-02 +1.290198751e-02 +1.491629020e+02 +1.491629020e+02 -5.5187e-02 -3.7077e-01 +1.9111e-02 +1.8501e+00 -2.7363e+00 -1.1871e+00 -8.0933e-01 -1.0708e+00 +9.2387e-02 +5.1023e-01 -1.6726e+00 +7.7526e-01 +2.7410e+00 -5.6342e-01 -6.9788e-01 -4.8538e-01 +1.2116e-01 +5.8906e-01 -1.8829e+00 -3.0102e+00
5167 +5.594384123e-03 +5.594384123e-03 +1.491555944e+02 +1.491555944e+02 -5.5089e-02 -3.7072e-01 +1.9346e-02 +1.8506e+00 -2.7358e+00 -1.1877e+00 -8.0919e-01 -1.0712e+00 +9.2649e-02 +5.1145e-01 -1.6715e+00 +7.7668e-01 +2.7414e+00 -5.6310e-01 -6.9526e-01 -4.7988e-01 +1.3349e-01 +6.1130e-01 -1.8453e+00 -2.9393e+00
5188 +2.247301064e-03 +2.247301064e-03 +1.491522473e+02 +1.491522473e+02 -5.5173e-02 -3.7079e-01 +1.9246e-02 +1.8505e+00 -2.7359e+00 -1.1875e+00 -8.0931e-01 -1.0711e+00 +9.2427e-02 +5.1085e-01 -1.6721e+00 +7.7693e-01 +2.7420e+00 -5.6251e-01 -6.9497e-01 -4.7964e-01 +1.3411e-01 +6.1293e-01 -1.8408e+00 -2.9268e+00
