% function evaluation | noise-free fitness - Fopt (3.590000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.586763592e+06 +2.586763592e+06 +2.586799492e+06 +2.586799492e+06 -2.1242e+00 -3.7687e+00 +8.8959e-01 -1.5941e+00 +1.1297e-01 -1.6133e+00 +6.6736e-01 +4.6534e+00 -4.8396e+00 -3.1963e+00 +2.4690e+00 +4.9256e+00 -2.4419e+00 -3.7988e+00 -3.5646e+00 -2.0997e+00 -2.7062e+00 +2.6894e+00 +4.1197e+00 +3.4828e+00
22 +1.966101013e+06 +1.966101013e+06 +1.966136913e+06 +1.966136913e+06 -1.7473e+00 -3.0786e+00 +1.3542e+00 -1.3464e+00 +5.0304e-01 -1.8709e+00 +1.0793e+00 +3.6534e+00 -4.9276e+00 -3.1888e+00 +1.9747e+00 +4.8942e+00 -2.1916e+00 -3.5434e+00 -2.7465e+00 -2.3282e+00 -2.3832e+00 +3.0490e+00 +3.4253e+00 +2.8962e+00
43 +1.216527624e+06 +1.216527624e+06 +1.216563524e+06 +1.216563524e+06 -1.2373e+00 -2.2612e+00 +1.8468e+00 -9.7682e-01 +8.5126e-01 -2.1185e+00 +1.4929e+00 +2.5365e+00 -4.9603e+00 -3.1713e+00 +1.4424e+00 +4.8004e+00 -1.9009e+00 -3.2756e+00 -1.8143e+00 -2.6510e+00 -2.0644e+00 +3.5013e+00 +2.6436e+00 +2.1947e+00
64 +8.168806362e+05 +8.168806362e+05 +8.169165362e+05 +8.169165362e+05 -7.2734e-01 -1.4439e+00 +2.3394e+00 -6.0725e-01 +1.1995e+00 -2.3662e+00 +1.9064e+00 +1.4196e+00 -4.9929e+00 -3.1538e+00 +9.1010e-01 +4.7067e+00 -1.6102e+00 -3.0079e+00 -8.8212e-01 -2.9739e+00 -1.7456e+00 +3.9537e+00 +1.8619e+00 +1.4933e+00
106 +2.281121646e+05 +2.281121646e+05 +2.281480646e+05 +2.281480646e+05 +1.0562e+00 +1.4148e+00 +4.0622e+00 +6.8531e-01 +2.4174e+00 -3.2322e+00 +3.3528e+00 -2.4867e+00 -5.1070e+00 -3.0928e+00 -9.5167e-01 +4.3788e+00 -5.9334e-01 -2.0715e+00 +2.3783e+00 -4.1030e+00 -6.3058e-01 +5.5357e+00 -8.7213e-01 -9.6008e-01
127 +1.556614763e+05 +1.556614763e+05 +1.556973763e+05 +1.556973763e+05 +1.3101e+00 +1.6806e+00 +4.0170e+00 +9.4283e-01 +2.1377e+00 -3.2352e+00 +2.9026e+00 -2.4281e+00 -4.7322e+00 -3.2956e+00 -9.7513e-01 +4.0536e+00 -5.9756e-01 -2.1439e+00 +2.2127e+00 -4.1171e+00 -7.6246e-01 +5.8891e+00 -4.8908e-01 -1.0505e+00
148 +3.330730399e+04 +3.330730399e+04 +3.334320399e+04 +3.334320399e+04 +2.4292e+00 +2.8944e+00 +4.0204e+00 +1.9791e+00 +1.1679e+00 -3.5172e+00 +1.4584e+00 -2.7256e+00 -3.4466e+00 -4.0268e+00 -1.4458e+00 +2.8054e+00 -6.0580e-01 -2.3276e+00 +2.1253e+00 -4.4576e+00 -1.0622e+00 +7.2933e+00 +2.6498e-01 -1.7224e+00
190 +6.999236831e+03 +6.999236831e+03 +7.035136831e+03 +7.035136831e+03 +2.5871e+00 +2.7868e+00 +3.8823e+00 +2.0663e+00 +3.4481e-01 -4.0895e+00 +6.9170e-01 -2.6631e+00 -2.9328e+00 -4.4416e+00 -2.0501e+00 +2.2005e+00 -9.1276e-01 -2.5862e+00 +1.8974e+00 -4.7552e+00 -1.0399e+00 +7.8078e+00 +3.5550e-01 -1.9146e+00
211 +3.213687034e+03 +3.213687034e+03 +3.249587034e+03 +3.249587034e+03 +2.6745e+00 +2.7698e+00 +3.8582e+00 +2.1587e+00 -1.6189e-02 -4.3620e+00 +4.0083e-01 -2.7379e+00 -2.6833e+00 -4.6101e+00 -2.3828e+00 +1.8984e+00 -1.0480e+00 -2.7120e+00 +1.8616e+00 -4.9638e+00 -1.0121e+00 +8.0532e+00 +3.1848e-01 -2.1077e+00
232 +1.995223021e+03 +1.995223021e+03 +2.031123021e+03 +2.031123021e+03 +2.7618e+00 +2.7529e+00 +3.8341e+00 +2.2511e+00 -3.7719e-01 -4.6346e+00 +1.0996e-01 -2.8127e+00 -2.4339e+00 -4.7786e+00 -2.7155e+00 +1.5962e+00 -1.1833e+00 -2.8378e+00 +1.8257e+00 -5.1724e+00 -9.8428e-01 +8.2985e+00 +2.8145e-01 -2.3007e+00
