% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.685672157e+01 +4.685672157e+01 +2.991672157e+01 +2.991672157e+01 +2.1391e+00 +2.4377e+00 -2.7780e+00 +4.9744e+00 +1.7861e+00 +9.6937e-01 -1.4611e+00 +2.9411e+00 +4.6100e+00 +4.5150e+00 +3.3652e+00 +1.1522e-01 -2.2003e+00 -3.8310e-01 +3.7271e+00 +1.8748e+00 +3.5648e+00 -4.0447e+00 +1.9042e+00 -1.5680e-01
148 +3.876291071e+01 +3.876291071e+01 +2.182291071e+01 +2.182291071e+01 +2.1120e+00 +2.4517e+00 -2.7870e+00 +4.8913e+00 +1.7503e+00 +9.7522e-01 -1.5304e+00 +2.9049e+00 +4.6027e+00 +4.5398e+00 +3.3636e+00 +1.7483e-02 -2.2045e+00 -3.8403e-01 +3.6270e+00 +1.8688e+00 +3.6309e+00 -4.0295e+00 +1.8601e+00 -1.3104e-01
8128 +2.471568211e+01 +2.471568211e+01 +7.775682106e+00 +7.775682106e+00 +7.5220e-01 -2.7804e+00 -1.0503e+00 +4.4887e-01 +2.9695e+00 +9.7762e-02 +3.6142e+00 +1.6709e+00 -2.9796e+00 +2.4084e+00 +4.3592e-01 -7.4596e-01 -4.0997e+00 +3.7564e-01 -2.4501e+00 +2.6837e+00 +9.8790e-01 +1.3158e+00 -4.0456e+00 +3.1269e+00
13084 +1.500588526e+01 +1.500588526e+01 -1.934114741e+00 -1.934114741e+00 -1.0440e+00 +1.9736e+00 -2.0546e+00 -4.3613e+00 -1.9587e+00 +1.5195e+00 -4.2513e-01 -3.8900e+00 +1.4471e+00 -9.7905e-01 -2.0060e+00 +3.0393e+00 -1.2493e+00 +6.7475e-01 +3.4953e+00 +3.9268e+00 -6.3460e-01 -5.2649e-01 -4.3812e+00 +3.8981e+00
80074 +9.984438989e+00 +9.984438989e+00 -6.955561011e+00 -6.955561011e+00 +3.9838e+00 +3.9094e+00 -2.1165e+00 +1.6918e-02 -2.6064e+00 +1.9718e+00 +3.5771e+00 -2.2625e+00 +2.2563e-01 -3.7689e+00 +9.0374e-01 +1.0363e+00 -2.4959e+00 +2.6599e+00 +5.0124e+00 +4.4912e+00 +3.9848e+00 +5.0395e+00 -6.0778e-01 +2.6394e+00
% function evaluation | noise-free fitness - Fopt (1.881000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.649748599e+01 +1.649748599e+01 +3.530748599e+01 +3.530748599e+01 +2.0423e+00 -1.1412e+00 +4.6803e+00 -1.0571e+00 +1.8059e+00 +2.1760e+00 +2.8063e+00 +2.1006e+00 +4.7469e+00 +2.9407e+00 -6.1974e-01 +1.5171e+00 +4.0991e+00 -5.3089e-01 +1.8511e+00 -3.6291e+00 -4.1645e+00 +3.1091e+00 +3.9489e+00 -1.0538e+00
85 +1.555104054e+01 +1.555104054e+01 +3.436104054e+01 +3.436104054e+01 +1.7643e+00 -1.0004e+00 +4.7843e+00 -8.8273e-01 +2.0328e+00 +2.1820e+00 +2.3895e+00 +1.7215e+00 +4.9088e+00 +3.0231e+00 -7.4181e-01 +1.5428e+00 +4.1500e+00 -9.1736e-01 +1.5475e+00 -3.9121e+00 -4.2805e+00 +2.8949e+00 +3.7925e+00 -9.3306e-01
358 +9.764975889e+00 +9.764975889e+00 +2.857497589e+01 +2.857497589e+01 +2.0271e+00 -1.5659e+00 +4.8004e+00 -9.9352e-01 +1.8587e+00 +2.2601e+00 +2.8183e+00 +1.7232e+00 +4.5024e+00 +3.2124e+00 -5.7707e-01 +1.5312e+00 +4.4784e+00 -6.1891e-01 +2.0281e+00 -3.5725e+00 -4.3718e+00 +3.3098e+00 +3.7431e+00 -1.1073e+00
273988 +5.807881284e+00 +5.807881284e+00 +2.461788128e+01 +2.461788128e+01 +1.1323e+00 +1.1549e-01 -1.2392e+00 +3.2632e-01 +1.0418e+00 -3.4502e+00 -6.3893e-01 -2.1297e+00 -1.9439e+00 +3.7579e+00 -5.0162e+00 +2.2889e+00 +3.6334e+00 -2.3548e+00 -1.9063e+00 -1.1971e+00 +1.8292e+00 +3.8616e+00 -4.3521e-01 +1.3687e+00
