% function evaluation | noise-free fitness - Fopt (1.491500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.704161310e+05 +4.704161310e+05 +4.705652810e+05 +4.705652810e+05 +8.6726e-01 +1.8915e+00 -2.9599e+00 -3.8397e+00 +6.6970e-01 +2.1794e+00 +3.5281e+00 +4.6593e+00 +4.5436e-01 -4.2079e-01 +1.2387e+00 -1.0340e+00 -5.7740e-02 +1.7777e+00 -2.0568e+00 +1.2644e+00 -4.8768e+00 +2.3236e+00 +2.8216e+00 +3.2730e+00
22 +3.083993785e+05 +3.083993785e+05 +3.085485285e+05 +3.085485285e+05 +8.6431e-01 +1.7477e+00 -2.8779e+00 -3.5348e+00 +4.6784e-01 +1.9952e+00 +3.1444e+00 +3.6593e+00 +5.2294e-01 -4.1670e-01 +1.0106e+00 -9.9873e-01 -5.3992e-02 +1.6426e+00 -2.0399e+00 +1.1490e+00 -4.6663e+00 +2.3319e+00 +2.3405e+00 +3.3160e+00
43 +8.979574724e+04 +8.979574724e+04 +8.994489724e+04 +8.994489724e+04 +8.4115e-01 +1.1509e+00 -2.5233e+00 -2.4650e+00 -3.3055e-01 +1.2413e+00 +1.8307e+00 +1.9621e+00 +6.7571e-01 -3.9246e-01 +1.3748e-01 -8.4576e-01 -2.8593e-02 +1.0759e+00 -1.9631e+00 +6.5618e-01 -3.8625e+00 +2.3054e+00 +1.0289e+00 +3.4601e+00
64 +3.443714769e+04 +3.443714769e+04 +3.458629769e+04 +3.458629769e+04 +8.0149e-01 +6.9373e-01 -2.2303e+00 -1.7795e+00 -9.0643e-01 +6.7704e-01 +1.0719e+00 +1.0154e+00 +7.5142e-01 -3.6192e-01 -4.7311e-01 -7.1757e-01 +1.0478e-02 +6.3478e-01 -1.8944e+00 +2.5937e-01 -3.3071e+00 +2.2002e+00 +3.7390e-01 +3.5498e+00
85 +1.323873715e+04 +1.323873715e+04 +1.338788715e+04 +1.338788715e+04 +7.3834e-01 +2.7417e-01 -1.9434e+00 -1.1968e+00 -1.4214e+00 +1.6679e-01 +4.4713e-01 +2.4603e-01 +7.7997e-01 -3.1952e-01 -1.0125e+00 -5.8959e-01 +7.0466e-02 +2.2506e-01 -1.8223e+00 -1.2106e-01 -2.8243e+00 +2.0308e+00 -9.1598e-02 +3.6199e+00
106 +6.378740293e+03 +6.378740293e+03 +6.527890293e+03 +6.527890293e+03 +6.6318e-01 -4.1231e-02 -1.7137e+00 -7.7648e-01 -1.8058e+00 -2.1659e-01 +4.8933e-03 -2.9337e-01 +7.5885e-01 -2.7280e-01 -1.4123e+00 -4.8549e-01 +1.4091e-01 -8.6656e-02 -1.7605e+00 -4.2047e-01 -2.4738e+00 +1.8476e+00 -3.5137e-01 +3.6600e+00
127 +3.722180031e+03 +3.722180031e+03 +3.871330031e+03 +3.871330031e+03 +5.7654e-01 -2.9084e-01 -1.5205e+00 -4.5027e-01 -2.1124e+00 -5.2368e-01 -3.3411e-01 -7.0385e-01 +7.0069e-01 -2.2130e-01 -1.7293e+00 -3.9722e-01 +2.2201e-01 -3.3646e-01 -1.7051e+00 -6.6921e-01 -2.2023e+00 +1.6616e+00 -4.8202e-01 +3.6784e+00
148 +2.453304449e+03 +2.453304449e+03 +2.602454449e+03 +2.602454449e+03 +4.7908e-01 -4.9402e-01 -1.3530e+00 -1.8616e-01 -2.3669e+00 -7.7952e-01 -6.0594e-01 -1.0312e+00 +6.1339e-01 -1.6513e-01 -1.9909e+00 -3.2074e-01 +3.1376e-01 -5.4277e-01 -1.6540e+00 -8.8292e-01 -1.9842e+00 +1.4791e+00 -5.1685e-01 +3.6791e+00
190 +1.027337157e+03 +1.027337157e+03 +1.176487157e+03 +1.176487157e+03 +2.1921e-01 -8.5682e-01 -1.0231e+00 +2.9230e-01 -2.8444e+00 -1.2618e+00 -1.0930e+00 -1.6142e+00 +3.3737e-01 -2.1844e-02 -2.4758e+00 -1.7318e-01 +5.6217e-01 -9.2086e-01 -1.5453e+00 -1.2998e+00 -1.5975e+00 +1.0856e+00 -3.5583e-01 +3.6344e+00
211 +7.189879546e+02 +7.189879546e+02 +8.681379546e+02 +8.681379546e+02 +8.0208e-02 -9.9470e-01 -8.8406e-01 +4.8196e-01 -3.0402e+00 -1.4603e+00 -1.2845e+00 -1.8416e+00 +1.8019e-01 +4.9739e-02 -2.6702e+00 -1.1366e-01 +6.9768e-01 -1.0694e+00 -1.4969e+00 -1.4744e+00 -1.4492e+00 +9.1848e-01 -2.0362e-01 +3.5984e+00
