% function evaluation | noise-free fitness - Fopt (6.870000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.539385862e+01 +1.539385862e+01 +2.226385862e+01 +2.226385862e+01 +1.6395e+00 -4.0275e+00 -1.4984e+00 -2.1282e+00 +3.7960e+00 -4.2448e+00 -4.5088e+00 -2.1218e+00 +2.6528e+00 +3.0931e+00 -4.9826e+00 +3.8489e+00 -4.7715e+00 -3.6051e+00 -3.2217e-01 -3.5965e+00 -2.1973e+00 -1.1060e+00 -3.5489e+00 -3.3438e+00
127 +8.662374620e+00 +8.662374620e+00 +1.553237462e+01 +1.553237462e+01 +1.5834e+00 -4.0070e+00 -1.4397e+00 -2.1585e+00 +3.7843e+00 -4.2731e+00 -4.4899e+00 -2.0661e+00 +2.7528e+00 +3.1011e+00 -4.9392e+00 +3.9142e+00 -4.7946e+00 -3.5735e+00 -4.7460e-01 -3.5572e+00 -2.2241e+00 -9.8870e-01 -3.6348e+00 -3.3929e+00
1282 +5.660889327e+00 +5.660889327e+00 +1.253088933e+01 +1.253088933e+01 +1.9215e+00 +1.1616e+00 -1.8828e+00 +2.0077e+00 +3.1862e+00 +3.4583e+00 +9.4804e-01 -2.1980e+00 -3.1015e+00 +2.8442e+00 +1.4432e+00 -2.3183e+00 +3.1589e-01 +2.2714e-01 -2.8186e+00 -2.8695e+00 -3.0160e+00 +1.4675e+00 +1.2970e+00 -2.9669e+00
4474 +3.836842281e+00 +3.836842281e+00 +1.070684228e+01 +1.070684228e+01 +3.0982e+00 -4.9066e+00 -4.5107e+00 -1.5381e+00 -2.0454e-02 -9.7416e-01 -6.8744e-01 +5.5147e-01 +2.8786e+00 +4.8232e+00 -4.4341e-01 -2.3816e-01 +2.5701e+00 +2.1865e+00 -2.2946e+00 -2.3957e+00 -2.8130e+00 +4.5780e-01 +1.8670e+00 -1.5174e+00
5356 +2.237517434e+00 +2.237517434e+00 +9.107517434e+00 +9.107517434e+00 +4.0376e+00 -4.6730e+00 -8.7337e-01 -2.1231e+00 -3.7917e+00 -3.4825e+00 +1.9077e+00 -8.8642e-01 -3.7891e+00 +4.1003e-01 -2.1903e+00 +3.0218e+00 -3.4318e+00 +3.2570e-01 +4.4674e+00 +1.1491e+00 -1.0110e+00 +2.6890e+00 -1.9280e+00 -1.5988e+00
6049 +1.581625070e+00 +1.581625070e+00 +8.451625070e+00 +8.451625070e+00 +4.0343e+00 -4.6714e+00 -8.7165e-01 -2.1230e+00 -3.7926e+00 -3.4820e+00 +1.9101e+00 -8.8203e-01 -3.7919e+00 +4.1531e-01 -2.1881e+00 +3.0254e+00 -3.4339e+00 +3.3279e-01 +4.4669e+00 +1.1476e+00 -1.0102e+00 +2.6939e+00 -1.9332e+00 -1.5989e+00
% function evaluation | noise-free fitness - Fopt (1.000000000000e-02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.520157078e+01 +1.520157078e+01 +1.521157078e+01 +1.521157078e+01 +1.6274e+00 -4.9792e+00 +8.9148e-01 -5.2184e-01 +4.9018e+00 +3.1005e+00 -3.8585e+00 -1.3567e+00 +2.0736e-01 +9.9368e-01 +3.0820e+00 +4.3399e+00 +3.8097e+00 +3.0758e+00 +2.0367e+00 -2.9032e+00 -4.7817e-01 -3.0716e+00 -4.9726e+00 -5.0756e-01
1009 +9.537661656e+00 +9.537661656e+00 +9.547661656e+00 +9.547661656e+00 +4.1531e+00 -1.0531e+00 +6.3105e-01 -4.6861e-01 -3.8104e+00 -4.6598e+00 +2.1856e+00 +1.0485e+00 -4.4020e-01 -1.0104e-01 +1.4899e+00 +1.4107e+00 -1.0854e+00 -1.2965e+00 -3.6424e+00 +3.8826e+00 -1.7481e+00 -2.4620e-03 +2.3248e+00 -4.6638e+00
1072 +5.756620571e+00 +5.756620571e+00 +5.766620571e+00 +5.766620571e+00 +4.1541e+00 -1.0508e+00 +6.2983e-01 -4.6975e-01 -3.8119e+00 -4.6576e+00 +2.1845e+00 +1.0456e+00 -4.3679e-01 -9.6372e-02 +1.4942e+00 +1.4160e+00 -1.0892e+00 -1.2961e+00 -3.6394e+00 +3.8790e+00 -1.7546e+00 -5.4329e-03 +2.3257e+00 -4.6604e+00
4033 +3.818792709e+00 +3.818792709e+00 +3.828792709e+00 +3.828792709e+00 +2.7627e+00 -7.6790e-01 +4.6229e+00 +2.0993e+00 -2.1195e+00 -3.9403e+00 +8.0271e-01 -1.5836e-01 -4.3853e+00 -4.8597e+00 +4.3917e+00 -3.8991e+00 -3.6075e+00 +1.1733e+00 -2.2116e+00 +8.7976e-01 +1.7507e+00 +2.3830e+00 +3.8235e+00 +6.9411e-01
65815 +2.148038326e+00 +2.148038326e+00 +2.158038326e+00 +2.158038326e+00 +4.0935e+00 -1.3191e+00 -1.8765e+00 -2.4630e+00 -2.4837e+00 -5.4719e-01 +4.8454e+00 -4.2788e-01 -4.2746e+00 +1.9186e+00 +1.2356e+00 -1.6441e+00 +2.0672e+00 +4.5123e+00 -2.9612e+00 -2.8591e+00 +3.8264e+00 +4.2335e+00 +2.3549e+00 -2.3360e+00
% function evaluation | noise-free fitness - Fopt (-1.306100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.125061178e+01 +1.125061178e+01 -1.193593882e+02 -1.193593882e+02 +1.0029e+00 +1.8932e+00 +3.1226e+00 -2.0481e+00 -8.3130e-01 -3.7375e+00 -6.5971e-01 -3.2941e+00 -1.7506e+00 +3.6870e+00 +4.9170e+00 -2.0181e+00 -2.7139e-01 -1.4461e-01 -2.3783e+00 -1.9004e-01 +1.1628e+00 +4.8820e+00 -3.4744e+00 -4.0285e+00
127 +8.824427573e+00 +8.824427573e+00 -1.217855724e+02 -1.217855724e+02 +9.9630e-01 +1.8888e+00 +3.1224e+00 -2.0533e+00 -8.3313e-01 -3.7369e+00 -6.6094e-01 -3.2907e+00 -1.7480e+00 +3.6904e+00 +4.9144e+00 -2.0162e+00 -2.7178e-01 -1.4608e-01 -2.3766e+00 -1.8713e-01 +1.1573e+00 +4.8799e+00 -3.4771e+00 -4.0296e+00
967 +5.525419613e+00 +5.525419613e+00 -1.250845804e+02 -1.250845804e+02 -3.6773e+00 -2.8792e+00 -4.3780e+00 -1.3543e+00 -3.8146e+00 +2.1034e+00 -3.8169e+00 -4.2714e-01 +7.9554e-01 +4.2986e+00 +2.6451e+00 +1.7955e+00 -4.4761e+00 +4.1481e-01 +4.5964e+00 -4.4104e+00 -1.4703e+00 -3.0964e+00 +2.3007e+00 -4.6886e+00
1135 +3.731503209e+00 +3.731503209e+00 -1.268784968e+02 -1.268784968e+02 -3.6732e+00 -2.8789e+00 -4.3576e+00 -1.3344e+00 -3.7903e+00 +2.0905e+00 -3.7961e+00 -4.1856e-01 +8.3428e-01 +4.3144e+00 +2.6370e+00 +1.7746e+00 -4.4580e+00 +4.4080e-01 +4.6133e+00 -4.4402e+00 -1.4988e+00 -3.0940e+00 +2.3109e+00 -4.6851e+00
18250 +2.506258516e+00 +2.506258516e+00 -1.281037415e+02 -1.281037415e+02 -2.3334e+00 +2.9874e+00 +2.5829e+00 -1.6633e+00 +1.5809e+00 +3.9147e+00 +3.9559e+00 -3.4108e+00 +1.6722e-01 -2.6081e-01 +1.4345e+00 -1.4486e+00 -4.3464e+00 -3.3133e+00 -4.1726e+00 +5.1586e+00 +2.2410e+00 -3.7938e+00 -4.4944e-01 +4.8609e+00
34567 +1.575080425e+00 +1.575080425e+00 -1.290349196e+02 -1.290349196e+02 +9.5518e-01 -1.4874e+00 +1.5811e+00 +2.8966e+00 -1.4321e+00 +4.8710e+00 +4.3360e+00 -2.4850e+00 +1.4236e+00 -1.3266e+00 -3.5626e+00 -4.6472e+00 +1.3784e+00 +9.3374e-01 -4.6335e+00 -3.9797e+00 +3.9022e-01 -4.1524e+00 +3.3361e+00 +4.2739e+00
% function evaluation | noise-free fitness - Fopt (-2.231200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.277464753e+01 +1.277464753e+01 -2.103453525e+02 -2.103453525e+02 +2.1724e+00 -4.8445e+00 +4.0531e+00 +5.3261e-01 +2.5598e-01 -4.2786e+00 -4.0301e+00 -1.3337e+00 +3.5668e+00 -4.0345e+00 +4.5575e+00 -1.0433e+00 -1.0509e+00 +2.2763e+00 +2.9760e+00 +4.2526e+00 +4.0835e-01 -1.4419e+00 +1.6447e-01 -4.3611e+00
85 +7.873999656e+00 +7.873999656e+00 -2.152460003e+02 -2.152460003e+02 +2.1725e+00 -4.8361e+00 +4.0572e+00 +5.4264e-01 +2.5467e-01 -4.2789e+00 -4.0545e+00 -1.3267e+00 +3.5828e+00 -4.0253e+00 +4.5589e+00 -1.0540e+00 -1.0584e+00 +2.2862e+00 +2.9777e+00 +4.2411e+00 +4.1411e-01 -1.4375e+00 +1.8083e-01 -4.3567e+00
295 +5.374197067e+00 +5.374197067e+00 -2.177458029e+02 -2.177458029e+02 +2.1748e+00 -4.8320e+00 +4.0550e+00 +5.4281e-01 +2.4233e-01 -4.2784e+00 -4.0556e+00 -1.3245e+00 +3.5832e+00 -4.0173e+00 +4.5643e+00 -1.0540e+00 -1.0584e+00 +2.2877e+00 +2.9754e+00 +4.2396e+00 +4.1582e-01 -1.4393e+00 +1.7796e-01 -4.3448e+00
1618 +3.141798122e+00 +3.141798122e+00 -2.199782019e+02 -2.199782019e+02 -3.9643e+00 +3.2463e-01 -1.8301e+00 +2.7393e+00 +3.3461e+00 +1.3159e+00 +2.4552e+00 -6.0366e-01 +3.1414e+00 +1.4571e-01 +2.3735e+00 +2.0247e+00 +4.7262e+00 +2.7899e+00 -3.2930e+00 -4.2069e+00 -3.8656e+00 -3.9387e+00 -3.6163e-01 -4.2922e+00
1702 +2.082204092e+00 +2.082204092e+00 -2.210377959e+02 -2.210377959e+02 -3.9651e+00 +3.2539e-01 -1.8319e+00 +2.7384e+00 +3.3468e+00 +1.3152e+00 +2.4523e+00 -6.0468e-01 +3.1404e+00 +1.4905e-01 +2.3737e+00 +2.0217e+00 +4.7271e+00 +2.7901e+00 -3.2934e+00 -4.2111e+00 -3.8684e+00 -3.9364e+00 -3.5986e-01 -4.2919e+00
106492 +1.426571062e+00 +1.426571062e+00 -2.216934289e+02 -2.216934289e+02 -1.6380e+00 +4.6478e+00 +2.7141e+00 -3.9040e+00 +2.4883e+00 +1.7790e-01 +3.9934e+00 +1.4423e+00 +2.6263e+00 +1.0555e+00 -4.3281e+00 -3.5120e+00 -4.5980e-01 +1.5713e-01 +2.6545e+00 +3.4481e+00 -1.9488e+00 -3.2071e+00 -4.1049e+00 +1.2735e+00
% function evaluation | noise-free fitness - Fopt (-4.443000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.043515305e+01 +1.043515305e+01 -3.399484695e+01 -3.399484695e+01 -2.1632e+00 -4.4883e+00 +4.2080e+00 +1.1213e+00 +3.9262e+00 -4.8845e+00 +1.6152e+00 +4.2090e+00 +4.8758e+00 +4.8077e+00 +2.8983e+00 +3.6537e+00 -3.4800e+00 +1.8772e+00 +1.2916e+00 -3.0668e+00 -2.6213e-01 +3.6246e+00 +3.6561e+00 +1.5150e+00
64 +8.619222019e+00 +8.619222019e+00 -3.581077798e+01 -3.581077798e+01 -2.2564e+00 -4.4371e+00 +4.2971e+00 +1.2682e+00 +3.9673e+00 -4.8740e+00 +1.5397e+00 +4.0675e+00 +4.9166e+00 +4.8077e+00 +2.8806e+00 +3.5876e+00 -3.5191e+00 +1.9410e+00 +1.3602e+00 -3.2281e+00 -2.1559e-01 +3.6758e+00 +3.8083e+00 +1.5979e+00
190 +5.557584206e+00 +5.557584206e+00 -3.887241579e+01 -3.887241579e+01 -2.1676e+00 -4.4829e+00 +4.2114e+00 +1.1240e+00 +3.9273e+00 -4.8809e+00 +1.6158e+00 +4.1984e+00 +4.8738e+00 +4.8045e+00 +2.8978e+00 +3.6527e+00 -3.4824e+00 +1.8816e+00 +1.2978e+00 -3.0729e+00 -2.6256e-01 +3.6267e+00 +3.6605e+00 +1.5187e+00
211 +3.237333830e+00 +3.237333830e+00 -4.119266617e+01 -4.119266617e+01 -2.1667e+00 -4.4827e+00 +4.2103e+00 +1.1231e+00 +3.9300e+00 -4.8819e+00 +1.6178e+00 +4.1978e+00 +4.8690e+00 +4.8031e+00 +2.8982e+00 +3.6536e+00 -3.4830e+00 +1.8823e+00 +1.2996e+00 -3.0726e+00 -2.6227e-01 +3.6249e+00 +3.6609e+00 +1.5217e+00
91834 +2.277345796e+00 +2.277345796e+00 -4.215265420e+01 -4.215265420e+01 -2.7427e+00 +1.9672e+00 +4.6741e+00 -4.3835e+00 +5.1855e-02 -5.1030e+00 +3.7516e+00 +4.7726e+00 +2.9935e+00 -3.6919e+00 -3.5656e+00 -3.5001e-01 -2.5870e-01 +2.9787e+00 +3.5395e+00 -2.5102e+00 -9.4089e-02 -2.2749e+00 -3.3092e+00 +4.0287e+00
92905 +1.557540180e+00 +1.557540180e+00 -4.287245982e+01 -4.287245982e+01 -2.7584e+00 +1.9727e+00 +4.6460e+00 -4.3929e+00 +5.4913e-02 -5.1004e+00 +3.7542e+00 +4.7724e+00 +2.9926e+00 -3.6791e+00 -3.5623e+00 -3.5121e-01 -2.5476e-01 +2.9957e+00 +3.5285e+00 -2.5130e+00 -8.2592e-02 -2.2695e+00 -3.3117e+00 +4.0445e+00
93724 +9.896866654e-01 +9.896866654e-01 -4.344031333e+01 -4.344031333e+01 -2.7464e+00 +1.9707e+00 +4.6332e+00 -4.4005e+00 +4.7957e-02 -5.0960e+00 +3.7471e+00 +4.7741e+00 +2.9886e+00 -3.6745e+00 -3.5494e+00 -3.6410e-01 -2.6517e-01 +2.9981e+00 +3.5233e+00 -2.5187e+00 -7.8917e-02 -2.2769e+00 -3.3140e+00 +4.0459e+00
% function evaluation | noise-free fitness - Fopt (6.870000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.390745501e+01 +1.390745501e+01 +2.077745501e+01 +2.077745501e+01 -2.4891e+00 -2.3866e+00 +1.2806e+00 +4.3098e-01 +5.2178e-01 +3.8650e+00 -2.9685e+00 +3.1653e+00 -2.5081e+00 -1.4294e+00 +2.2338e+00 -1.0438e+00 -1.4986e+00 +8.6713e-01 +3.1205e+00 +3.6055e+00 -4.8757e+00 -2.3267e+00 +1.5538e+00 +4.4989e+00
