% function evaluation | noise-free fitness - Fopt (4.078000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.642347894e+01 +8.642347894e+01 +1.272034789e+02 +1.272034789e+02 +1.7451e+00 -2.3185e+00 +3.0958e+00 +2.9230e+00 -5.1085e-01 +3.1979e+00 +3.5121e+00 -7.9384e-02 +4.3325e+00 +3.7037e+00 +1.7496e+00 -4.3872e+00 -1.0638e+00 +4.8966e+00 -3.1942e-01 -2.5479e+00 +4.1024e+00 +4.1892e+00 -4.9026e+00 -4.0709e+00
64 +4.125554491e+01 +4.125554491e+01 +8.203554491e+01 +8.203554491e+01 -1.6082e+00 -3.6509e+00 +1.4960e+00 +3.3981e+00 -1.0062e-01 -2.2525e+00 +2.2457e+00 -1.4707e+00 +1.1790e+00 +3.6770e+00 +3.6935e+00 +5.3961e-01 +9.2560e-02 +4.3125e+00 +1.9729e-01 -6.1619e-01 +2.8747e+00 +3.0340e+00 +7.1130e-02 -3.3552e+00
106 +3.540674460e+01 +3.540674460e+01 +7.618674460e+01 +7.618674460e+01 -4.4841e+00 -4.7936e+00 +1.2387e-01 +3.8055e+00 +2.5120e-01 -6.9270e+00 +1.1595e+00 -2.6640e+00 -1.5256e+00 +3.6541e+00 +5.3606e+00 +4.7650e+00 +1.0843e+00 +3.8116e+00 +6.4045e-01 +1.0405e+00 +1.8217e+00 +2.0433e+00 +4.3368e+00 -2.7414e+00
127 +7.676481898e+00 +7.676481898e+00 +4.845648190e+01 +4.845648190e+01 -3.0987e+00 -4.2431e+00 +7.8483e-01 +3.6092e+00 +8.1721e-02 -4.6752e+00 +1.6827e+00 -2.0891e+00 -2.2274e-01 +3.6651e+00 +4.5575e+00 +2.7296e+00 +6.0655e-01 +4.0529e+00 +4.2697e-01 +2.4243e-01 +2.3289e+00 +2.5205e+00 +2.2819e+00 -3.0371e+00
253 +5.107266161e+00 +5.107266161e+00 +4.588726616e+01 +4.588726616e+01 -3.2657e+00 -4.0748e+00 +7.1475e-01 +3.5029e+00 +4.7670e-01 -4.7736e+00 +1.6106e+00 -2.1684e+00 -3.0939e-01 +3.9277e+00 +4.5884e+00 +2.7411e+00 +6.3865e-01 +3.7449e+00 +3.0841e-01 +3.4651e-01 +2.2819e+00 +2.5372e+00 +2.5473e+00 -3.0558e+00
295 +2.180190322e+00 +2.180190322e+00 +4.296019032e+01 +4.296019032e+01 -3.4257e+00 -3.6425e+00 +6.5868e-01 +3.2507e+00 +1.2877e+00 -4.6680e+00 +1.5310e+00 -2.2558e+00 -3.1112e-01 +4.4840e+00 +4.5418e+00 +2.4823e+00 +6.3998e-01 +3.1277e+00 +2.8196e-02 +4.5534e-01 +2.2530e+00 +2.6390e+00 +2.8219e+00 -3.1366e+00
39187 +1.565216197e+00 +1.565216197e+00 +4.234521620e+01 +4.234521620e+01 +4.4628e-01 +3.5959e+00 -3.4684e+00 +3.6703e+00 +2.1085e+00 +3.7556e+00 -2.9404e+00 +1.4816e+00 -4.4622e+00 -3.6538e+00 +2.8773e+00 +2.2335e+00 -4.7785e-01 -4.6703e+00 +4.8622e+00 -4.3765e+00 +4.1246e+00 +2.5030e+00 +4.4941e+00 +2.8288e+00
43723 +9.981984438e-01 +9.981984438e-01 +4.177819844e+01 +4.177819844e+01 -3.4097e+00 -5.5510e-01 +2.6665e+00 -2.0667e+00 -2.4254e+00 +8.7459e-01 -1.8625e+00 -1.6481e+00 +2.4262e+00 -2.9078e+00 +2.6490e+00 -3.5422e+00 +1.4038e+00 +3.8580e+00 -9.2656e-01 -6.4421e-01 +7.2598e-01 +1.2879e+00 -4.7355e-01 +1.6017e-01
43807 +5.682730101e-01 +5.682730101e-01 +4.134827301e+01 +4.134827301e+01 -3.3991e+00 -5.9319e-01 +2.8091e+00 -2.1135e+00 -2.5374e+00 +8.6594e-01 -2.0910e+00 -1.6111e+00 +2.4819e+00 -2.9036e+00 +2.6226e+00 -3.3298e+00 +1.5065e+00 +3.7788e+00 -9.9773e-01 -7.5432e-01 +8.5965e-01 +1.1978e+00 -2.5665e-01 +3.5571e-01
43933 +2.147600948e-01 +2.147600948e-01 +4.099476009e+01 +4.099476009e+01 -3.1809e+00 -8.3331e-01 +3.2833e+00 -2.2582e+00 -3.1140e+00 +7.5982e-01 -2.8621e+00 -1.5930e+00 +2.7645e+00 -2.9400e+00 +2.4389e+00 -2.6346e+00 +1.7650e+00 +3.4894e+00 -1.1621e+00 -1.2022e+00 +1.3407e+00 +8.0790e-01 +6.5187e-01 +9.5980e-01
43975 +1.158134173e-01 +1.158134173e-01 +4.089581342e+01 +4.089581342e+01 -3.0395e+00 -9.2988e-01 +3.2465e+00 -2.2510e+00 -3.2488e+00 +7.1579e-01 -2.7935e+00 -1.6509e+00 +2.8208e+00 -2.9899e+00 +2.3301e+00 -2.6880e+00 +1.6602e+00 +3.4740e+00 -1.0734e+00 -1.2351e+00 +1.3348e+00 +7.8153e-01 +7.3013e-01 +8.5223e-01
43996 +9.859053800e-02 +9.859053800e-02 +4.087859054e+01 +4.087859054e+01 -2.9993e+00 -9.6167e-01 +3.2424e+00 -2.2513e+00 -3.2909e+00 +7.0377e-01 -2.7796e+00 -1.6647e+00 +2.8386e+00 -3.0049e+00 +2.2936e+00 -2.6975e+00 +1.6320e+00 +3.4673e+00 -1.0487e+00 -1.2466e+00 +1.3369e+00 +7.7318e-01 +7.5760e-01 +8.2590e-01
44017 +5.471131915e-02 +5.471131915e-02 +4.083471132e+01 +4.083471132e+01 -2.8509e+00 -1.0790e+00 +3.2275e+00 -2.2527e+00 -3.4462e+00 +6.5943e-01 -2.7284e+00 -1.7155e+00 +2.9041e+00 -3.0600e+00 +2.1588e+00 -2.7326e+00 +1.5280e+00 +3.4425e+00 -9.5749e-01 -1.2891e+00 +1.3447e+00 +7.4237e-01 +8.5901e-01 +7.2875e-01
44080 +3.329158227e-02 +3.329158227e-02 +4.081329158e+01 +4.081329158e+01 -2.7029e+00 -1.2842e+00 +3.3276e+00 -2.2916e+00 -3.6663e+00 +6.2326e-01 -2.7688e+00 -1.7198e+00 +3.0019e+00 -3.1312e+00 +1.9175e+00 -2.6731e+00 +1.4438e+00 +3.3674e+00 -8.5914e-01 -1.3666e+00 +1.4132e+00 +6.9468e-01 +1.0478e+00 +6.9713e-01
