% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.330057397e+02 +6.330057397e+02 +1.709157397e+02 +1.709157397e+02 +2.0063e+00 +1.4420e+00 +4.0275e+00 -1.7609e+00 +3.2944e+00 -9.0183e-01 -2.9494e+00 -1.8046e+00 -2.6792e+00 +2.1118e+00 -2.4520e+00 -4.4117e+00 -4.7791e-01 -1.6767e+00 -9.4855e-02 -4.6577e-01 +8.6210e-01 +1.3616e+00 -1.5703e+00 +1.0496e+00
43 +5.892455217e+02 +5.892455217e+02 +1.271555217e+02 +1.271555217e+02 +1.9227e+00 +1.3509e+00 +4.0672e+00 -1.8149e+00 +3.0557e+00 -8.1903e-01 -2.9889e+00 -1.9024e+00 -2.5154e+00 +2.1520e+00 -2.4270e+00 -4.3079e+00 -6.8737e-01 -1.8092e+00 -1.6583e-01 -3.4032e-01 +1.1137e+00 +1.1810e+00 -1.7723e+00 +1.3790e+00
274 +3.895490140e+02 +3.895490140e+02 -7.254098595e+01 -7.254098595e+01 +1.6254e+00 +1.3592e+00 +4.0544e+00 -1.8369e+00 +2.9742e+00 -8.4189e-01 -3.2427e+00 -1.9796e+00 -2.4974e+00 +2.3585e+00 -2.1934e+00 -4.3271e+00 -6.0640e-01 -1.4662e+00 -9.3836e-01 -1.2048e+00 +1.0103e+00 +1.6377e+00 -2.8089e+00 +2.1745e+00
2332 +2.493262387e+02 +2.493262387e+02 -2.127637613e+02 -2.127637613e+02 +1.6263e+00 +2.3478e+00 +6.0741e-01 -2.6107e+00 -1.8272e-01 +1.3840e+00 +2.6718e+00 -7.8898e-01 +3.3088e+00 +1.8107e+00 -2.2134e+00 -4.2565e+00 -3.0594e+00 -2.0114e+00 -3.4420e+00 -3.5600e+00 -1.4345e+00 +3.3999e+00 -4.0413e+00 +1.3571e+00
% function evaluation | noise-free fitness - Fopt (7.766000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.068166821e+03 +1.068166821e+03 +1.145826821e+03 +1.145826821e+03 +2.1124e+00 +1.1451e+00 +1.1344e+00 -3.1743e+00 -1.2143e+00 -2.3682e+00 -1.4312e+00 -2.1252e-01 +1.6010e+00 -3.4980e+00 +7.7327e-01 -3.4619e+00 +4.5948e+00 +3.6438e+00 -9.0805e-01 -1.6568e+00 -2.0900e+00 -6.9712e-01 -2.4163e-01 -4.1889e+00
22 +8.462730915e+02 +8.462730915e+02 +9.239330915e+02 +9.239330915e+02 +2.4027e+00 +7.5117e-01 +1.1548e+00 -2.8628e+00 -9.8130e-01 -2.4599e+00 -1.5238e+00 -2.4470e-01 +1.5357e+00 -3.3816e+00 +7.0625e-01 -3.2632e+00 +3.7210e+00 +2.6438e+00 -1.2917e-01 -7.9916e-01 -2.1787e+00 -1.3326e+00 -8.6101e-01 -3.5401e+00
169 +6.112293753e+02 +6.112293753e+02 +6.888893753e+02 +6.888893753e+02 +2.3423e+00 +1.7043e-01 +1.1128e+00 -2.7679e+00 -1.0993e+00 -2.8625e+00 -1.3564e+00 -7.2399e-01 +1.2318e+00 -3.3693e+00 +8.5599e-01 -2.8030e+00 +2.9351e+00 +9.5057e-01 +2.5196e-01 +1.1355e+00 -2.1222e+00 -1.2410e+00 -9.6085e-01 -3.0722e+00
610 +3.808866243e+02 +3.808866243e+02 +4.585466243e+02 +4.585466243e+02 +2.3639e+00 -3.5090e-01 +1.1329e+00 -2.8404e+00 -8.2369e-01 -2.8043e+00 -1.4600e+00 -5.9265e-01 +8.9829e-01 -2.7795e+00 +6.9848e-01 -1.8825e+00 +3.3906e+00 -3.0874e-01 -1.2914e+00 +3.0003e+00 -2.1412e+00 -1.2401e+00 +1.2053e+00 -3.8915e+00
51325 +2.375856067e+02 +2.375856067e+02 +3.152456067e+02 +3.152456067e+02 -6.4206e-01 +2.3985e+00 +5.6464e-01 +5.0529e+00 -3.9129e+00 -1.3347e+00 -4.3426e+00 +2.3566e+00 +3.3484e+00 -3.8541e+00 +3.4864e+00 -1.3002e+00 +7.9465e-01 -1.1231e+00 -2.7952e+00 +4.8856e-01 -2.6322e+00 -2.3452e+00 +2.4614e+00 -1.9397e+00
% function evaluation | noise-free fitness - Fopt (1.156800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.295844176e+03 +1.295844176e+03 +1.411524176e+03 +1.411524176e+03 -2.2899e+00 -4.8315e-01 -1.2982e+00 +1.9477e+00 -2.5526e+00 +7.2654e-01 +1.9736e-01 +1.8091e-01 -3.1878e+00 -4.0544e+00 -2.2764e-02 +1.1710e+00 -4.2076e+00 +4.6131e+00 +4.9552e-01 -4.9017e+00 -6.5510e-01 -1.4539e+00 +1.0307e+00 +2.4505e+00
106 +5.787078337e+02 +5.787078337e+02 +6.943878337e+02 +6.943878337e+02 -1.3348e+00 +4.8127e-01 -2.0256e+00 +3.7096e+00 -4.1437e+00 -1.6367e+00 -3.4329e+00 +1.9848e+00 -3.6124e+00 -5.5088e+00 +7.6575e-02 -2.9539e-01 -4.6831e+00 +1.3379e+00 +1.7506e-01 -5.4618e-01 -2.9260e+00 +5.6187e-01 +9.7467e-01 +4.5107e-01
232 +3.939099309e+02 +3.939099309e+02 +5.095899309e+02 +5.095899309e+02 -1.1636e+00 +8.2918e-01 -2.3120e+00 +4.0252e+00 -4.4858e+00 -1.9988e+00 -4.4692e+00 +2.4391e+00 -3.8857e+00 -5.7126e+00 -8.7151e-02 -9.6801e-01 -4.6802e+00 +6.5707e-01 +6.4511e-02 +7.5832e-01 -3.1714e+00 +1.3776e+00 +1.0084e+00 +3.3174e-02
% function evaluation | noise-free fitness - Fopt (-3.710000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.137085435e+03 +2.137085435e+03 +2.133375435e+03 +2.133375435e+03 -1.5631e+00 -4.7234e+00 -7.6037e-01 -1.0890e+00 +2.2089e+00 -3.5538e+00 -7.6040e-01 -1.2282e+00 +3.5469e+00 +4.2265e+00 -4.9818e+00 -1.2625e+00 -2.8052e+00 +3.5366e-01 -2.7472e-01 -1.2376e+00 +3.7539e+00 -3.5685e+00 +1.0427e+00 +1.2549e+00
