% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.113299782e+02 +2.113299782e+02 +2.908099782e+02 +2.908099782e+02 +9.4818e-01 +3.1897e+00 +3.3655e+00 +1.0108e+00 -3.9584e+00 +1.4466e-01 +3.6024e+00 -3.7805e+00 -3.5077e+00 +1.2071e+00 -4.1494e+00 +2.7774e+00 -1.9103e+00 -1.1520e+00 -2.1764e+00 -3.2478e+00 +2.6330e+00 +1.5249e+00 +1.0296e+00 +1.8869e+00
22 +1.482538493e+02 +1.482538493e+02 +2.277338493e+02 +2.277338493e+02 +8.3523e-01 +2.4837e+00 +2.7013e+00 +1.1595e+00 -3.7509e+00 +1.9250e-01 +2.9983e+00 -3.1470e+00 -3.2039e+00 +5.1540e-01 -4.1014e+00 +2.6537e+00 -1.4236e+00 -9.7888e-01 -1.2305e+00 -2.2478e+00 +2.1851e+00 +6.3920e-01 +1.2461e+00 +1.8010e+00
43 +2.004156840e-10 +2.004156840e-10 +7.948000000e+01 +7.948000000e+01 +2.5280e-01 -1.1568e+00 -7.2400e-01 +1.9264e+00 -2.6808e+00 +4.3921e-01 -1.1680e-01 +1.2000e-01 -1.6376e+00 -3.0512e+00 -3.8536e+00 +2.0160e+00 +1.0864e+00 -8.6405e-02 +3.6472e+00 +2.9088e+00 -1.2480e-01 -3.9280e+00 +2.3624e+00 +1.3584e+00
% function evaluation | noise-free fitness - Fopt (3.944800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.995242738e+02 +2.995242738e+02 +6.940042738e+02 +6.940042738e+02 -4.8506e+00 +4.7683e-02 -1.0457e+00 +4.5635e+00 +2.2974e+00 +3.2631e+00 +2.6656e-02 -1.6920e-01 -1.5351e+00 +4.0837e+00 -3.3323e+00 +5.6021e-01 -4.2881e+00 -1.8251e+00 -3.0870e+00 +4.3578e+00 -2.2205e+00 +4.5034e+00 -4.3480e+00 -2.8710e+00
22 +2.278080279e+02 +2.278080279e+02 +6.222880279e+02 +6.222880279e+02 -4.7288e+00 -3.2808e-01 -1.3983e+00 +4.4793e+00 +2.1134e+00 +2.4742e+00 +4.6382e-01 -2.2430e-01 -1.4516e+00 +3.0837e+00 -2.6619e+00 +6.5104e-01 -3.5387e+00 -1.1094e+00 -3.1802e+00 +4.1790e+00 -2.3071e+00 +3.7493e+00 -3.7786e+00 -2.3398e+00
43 +2.402146038e-09 +2.402146038e-09 +3.944800000e+02 +3.944800000e+02 -3.8984e+00 -2.8904e+00 -3.8024e+00 +3.9056e+00 +8.5918e-01 -2.9048e+00 +3.4448e+00 -5.9999e-01 -8.8238e-01 -3.7352e+00 +1.9096e+00 +1.2704e+00 +1.5712e+00 +3.7712e+00 -3.8160e+00 +2.9600e+00 -2.8976e+00 -1.3928e+00 +1.0400e-01 +1.2824e+00
% function evaluation | noise-free fitness - Fopt (-2.471100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.718910823e+02 +2.718910823e+02 +2.478108230e+01 +2.478108230e+01 +1.9195e+00 -2.6533e+00 +3.9554e+00 +2.7466e-01 +1.7439e+00 -3.9471e-01 -1.1810e+00 -9.3527e-01 -2.2510e-01 -1.5711e+00 -7.1326e-01 -1.1886e+00 -2.9759e+00 +3.7376e+00 -1.5673e+00 +4.6694e+00 +3.3978e+00 -1.8428e+00 +4.0704e+00 -1.6421e+00
22 +1.862057740e+02 +1.862057740e+02 -6.090422597e+01 -6.090422597e+01 +9.3347e-01 -2.1607e+00 +3.1541e+00 -4.0922e-01 +9.0871e-01 +7.2867e-02 -4.2209e-01 -1.4493e+00 -1.9856e-01 -8.1352e-01 -1.8841e-01 -7.4482e-01 -1.9759e+00 +3.2445e+00 -6.1179e-01 +3.9627e+00 +3.3197e+00 -1.5525e+00 +3.7527e+00 -1.3100e+00
