% function evaluation | noise-free fitness - Fopt (1.238300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.056918963e+06 +1.056918963e+06 +1.057042793e+06 +1.057042793e+06 -4.9744e+00 -2.6871e+00 -4.3301e+00 -4.2730e+00 +4.6311e+00 +3.1885e+00 -1.5316e+00 +2.7065e+00 -4.6621e+00 +4.2887e+00 -2.2889e+00 -4.8188e+00 -4.9007e+00 -2.3422e-01 +1.9361e+00 +4.0602e+00 +2.6130e+00 -1.5400e+00 +3.9022e+00 -2.6317e+00 -6.6316e-01 -2.9172e+00 +2.5618e+00 +4.6471e+00 -2.9863e+00 +3.1764e+00 -5.5780e-01 +6.4145e-02 +1.9089e+00 -1.4431e+00 +2.7837e-01 -1.3998e+00 -1.4498e-01 +3.5247e+00 -7.4271e-01 +1.6868e+00 -1.0537e+00 +1.7658e+00 -1.4600e+00 +1.8938e+00
42 +5.030812942e+05 +5.030812942e+05 +5.032051242e+05 +5.032051242e+05 -3.9744e+00 -2.7734e+00 -3.9552e+00 -3.3972e+00 +4.5639e+00 +2.6357e+00 -1.3073e+00 +2.2517e+00 -4.0871e+00 +3.6931e+00 -2.0304e+00 -4.2000e+00 -4.2323e+00 +1.2198e-01 +1.4727e+00 +3.2126e+00 +2.6145e+00 -8.1325e-01 +3.3872e+00 -2.2684e+00 -6.4169e-01 -2.4091e+00 +2.0466e+00 +4.4039e+00 -2.9640e+00 +2.8335e+00 -7.4477e-01 +3.5987e-01 +1.5612e+00 -9.1470e-01 +5.4198e-01 -1.1686e+00 +3.0062e-01 +3.2995e+00 -4.8829e-01 +1.3233e+00 -8.6546e-01 +1.7583e+00 -1.3045e+00 +1.6160e+00
83 +1.746844252e+05 +1.746844252e+05 +1.748082552e+05 +1.748082552e+05 -2.9884e+00 -2.4961e+00 -3.3044e+00 -2.5060e+00 +4.2677e+00 +1.8589e+00 -8.1437e-01 +1.7001e+00 -3.0761e+00 +2.8790e+00 -1.7242e+00 -3.3208e+00 -3.2121e+00 +2.1053e-01 +9.8703e-01 +2.2449e+00 +2.3573e+00 -3.9215e-01 +2.6602e+00 -1.7906e+00 -5.1248e-01 -1.6872e+00 +1.5128e+00 +3.7477e+00 -2.6897e+00 +2.6059e+00 -6.2158e-01 +5.7842e-01 +1.2455e+00 -5.7807e-01 +7.2922e-01 -6.9748e-01 +5.9534e-01 +2.7509e+00 -1.5271e-01 +1.1160e+00 -4.1464e-01 +1.5635e+00 -9.1380e-01 +1.4315e+00
124 +6.611455486e+04 +6.611455486e+04 +6.623838486e+04 +6.623838486e+04 -2.2505e+00 -2.1655e+00 -2.8000e+00 -1.8567e+00 +3.9411e+00 +1.2552e+00 -4.6612e-01 +1.2966e+00 -2.3166e+00 +2.2161e+00 -1.5395e+00 -2.6466e+00 -2.4704e+00 +1.7482e-01 +6.3687e-01 +1.5705e+00 +2.1463e+00 -1.2082e-01 +2.0491e+00 -1.4232e+00 -3.8046e-01 -1.1868e+00 +1.0992e+00 +3.1827e+00 -2.3678e+00 +2.4110e+00 -4.9903e-01 +6.7839e-01 +1.0054e+00 -4.2412e-01 +8.5294e-01 -3.8148e-01 +7.7777e-01 +2.2665e+00 +6.0770e-02 +9.1851e-01 -7.7508e-02 +1.3461e+00 -6.2414e-01 +1.2867e+00
165 +2.641969597e+04 +2.641969597e+04 +2.654352597e+04 +2.654352597e+04 -1.6607e+00 -1.8293e+00 -2.3940e+00 -1.3204e+00 +3.6228e+00 +7.5786e-01 -2.0472e-01 +9.7851e-01 -1.7088e+00 +1.6648e+00 -1.4043e+00 -2.1015e+00 -1.9017e+00 +1.0133e-01 +3.6084e-01 +1.0379e+00 +1.9649e+00 +6.0098e-02 +1.5354e+00 -1.1076e+00 -2.6331e-01 -8.0805e-01 +7.6007e-01 +2.7043e+00 -2.0496e+00 +2.2140e+00 -3.8009e-01 +7.3411e-01 +8.1078e-01 -3.2931e-01 +9.2160e-01 -1.5191e-01 +9.0099e-01 +1.8433e+00 +2.0756e-01 +7.3623e-01 +1.9622e-01 +1.1288e+00 -4.0618e-01 +1.1545e+00
206 +1.211164769e+04 +1.211164769e+04 +1.223547769e+04 +1.223547769e+04 -1.2039e+00 -1.5221e+00 -2.0733e+00 -8.8657e-01 +3.3412e+00 +3.6020e-01 -1.5060e-02 +7.4160e-01 -1.2339e+00 +1.2225e+00 -1.3028e+00 -1.6739e+00 -1.4799e+00 +2.0563e-02 +1.4815e-01 +6.2650e-01 +1.8093e+00 +1.7523e-01 +1.1254e+00 -8.4169e-01 -1.7075e-01 -5.3018e-01 +4.8847e-01 +2.3250e+00 -1.7633e+00 +2.0201e+00 -2.7227e-01 +7.6379e-01 +6.5591e-01 -2.6519e-01 +9.4877e-01 +7.3779e-03 +9.7673e-01 +1.4913e+00 +3.0193e-01 +5.7919e-01 +4.0882e-01 +9.3349e-01 -2.4707e-01 +1.0362e+00
247 +6.481552511e+03 +6.481552511e+03 +6.605382511e+03 +6.605382511e+03 -8.3523e-01 -1.2421e+00 -1.8056e+00 -5.2260e-01 +3.0908e+00 +2.9196e-02 +1.2698e-01 +5.6295e-01 -8.4536e-01 +8.5339e-01 -1.2210e+00 -1.3235e+00 -1.1543e+00 -5.7499e-02 -2.4022e-02 +2.9531e-01 +1.6674e+00 +2.4949e-01 +7.8857e-01 -6.0856e-01 -9.8796e-02 -3.1906e-01 +2.6037e-01 +2.0187e+00 -1.5054e+00 +1.8267e+00 -1.7337e-01 +7.7845e-01 +5.2545e-01 -2.1499e-01 +9.4802e-01 +1.2065e-01 +1.0196e+00 +1.1890e+00 +3.6149e-01 +4.4149e-01 +5.7816e-01 +7.5998e-01 -1.2392e-01 +9.2772e-01
288 +3.997823333e+03 +3.997823333e+03 +4.121653333e+03 +4.121653333e+03 -5.2190e-01 -9.8221e-01 -1.5681e+00 -2.0489e-01 +2.8623e+00 -2.5943e-01 +2.3727e-01 +4.2524e-01 -5.1052e-01 +5.3002e-01 -1.1503e+00 -1.0204e+00 -8.8989e-01 -1.3028e-01 -1.7165e-01 +1.5308e-02 +1.5306e+00 +2.9791e-01 +5.0031e-01 -3.9542e-01 -4.2484e-02 -1.5171e-01 +5.8094e-02 +1.7632e+00 -1.2685e+00 +1.6309e+00 -8.0884e-02 +7.8375e-01 +4.0845e-01 -1.7030e-01 +9.2768e-01 +2.0432e-01 +1.0392e+00 +9.1790e-01 +3.9742e-01 +3.1649e-01 +7.1751e-01 +6.0447e-01 -2.1228e-02 +8.2577e-01
329 +2.700098837e+03 +2.700098837e+03 +2.823928837e+03 +2.823928837e+03 -2.2879e-01 -7.2459e-01 -1.3358e+00 +9.5294e-02 +2.6374e+00 -5.3370e-01 +3.3012e-01 +3.1096e-01 -1.9386e-01 +2.2035e-01 -1.0825e+00 -7.3238e-01 -6.5303e-01 -2.0054e-01 -3.1122e-01 -2.4436e-01 +1.3873e+00 +3.3155e-01 +2.3152e-01 -1.8459e-01 +4.5310e-03 -6.4452e-03 -1.3877e-01 +1.5322e+00 -1.0365e+00 +1.4218e+00 +1.0701e-02 +7.8324e-01 +2.9289e-01 -1.2463e-01 +8.9207e-01 +2.7254e-01 +1.0424e+00 +6.5377e-01 +4.1793e-01 +1.9348e-01 +8.4124e-01 +4.5716e-01 +7.5240e-02 +7.2359e-01
370 +1.928003678e+03 +1.928003678e+03 +2.051833678e+03 +2.051833678e+03 +7.4721e-02 -4.4961e-01 -1.0858e+00 +4.0375e-01 +2.3965e+00 -8.1840e-01 +4.1584e-01 +2.0649e-01 +1.3555e-01 -1.0484e-01 -1.0103e+00 -4.3053e-01 -4.1618e-01 -2.7234e-01 -4.5674e-01 -5.1033e-01 +1.2255e+00 +3.5766e-01 -4.3443e-02 +4.1482e-02 +4.7767e-02 +1.3384e-01 -3.4912e-01 +1.3030e+00 -7.9206e-01 +1.1855e+00 +1.0684e-01 +7.7911e-01 +1.6791e-01 -7.2658e-02 +8.4229e-01 +3.3581e-01 +1.0332e+00 +3.7338e-01 +4.2767e-01 +6.1263e-02 +9.6084e-01 +3.0836e-01 +1.7710e-01 +6.1381e-01
