% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.969892089e+03 +1.969892089e+03 +2.969892089e+03 +2.969892089e+03 +2.8428e+00 +3.1658e+00 +3.1034e+00 +1.0421e+00 -5.2607e-01 +1.2368e+00 -4.7833e-01 -4.1404e+00 +4.4490e+00 +2.7337e+00 +9.0385e-01 +1.2322e+00 +9.1430e-02 +1.4347e+00 -1.7963e+00 -2.4536e+00 -4.2372e+00 -3.5636e+00 +4.7064e+00 +4.1455e+00
43 +1.442860283e+03 +1.442860283e+03 +2.442860283e+03 +2.442860283e+03 +3.6554e+00 +1.8914e+00 +1.8541e+00 +2.4366e+00 -1.7567e+00 +1.6453e+00 +2.1600e+00 -2.3832e+00 +3.6511e+00 +3.7540e+00 -1.8919e-01 +3.5159e+00 +1.8233e+00 -4.7944e-02 -1.1825e+00 +6.0613e-01 +4.1699e-01 -1.6519e+00 +2.4679e+00 +3.9752e+00
274 +8.833197764e+02 +8.833197764e+02 +1.883319776e+03 +1.883319776e+03 +2.8314e+00 +5.1696e+00 +1.0832e+00 +4.2997e+00 +6.3402e-01 +2.8118e+00 -1.6347e+00 -1.7040e+00 +2.0185e+00 +3.6960e+00 +3.0587e+00 +1.4221e+00 -2.0015e+00 +1.5956e+00 -1.4913e-01 +3.8599e-01 +2.2966e+00 -1.2229e+00 +1.8599e+00 +2.4800e+00
3130 +6.194380700e+02 +6.194380700e+02 +1.619438070e+03 +1.619438070e+03 -2.6094e+00 -3.6093e-01 +5.2078e+00 +7.9315e-01 +2.4783e+00 -2.7784e+00 -3.1157e+00 +1.8868e+00 -4.1030e+00 -7.4802e-01 -5.1162e-01 +1.2105e+00 -2.5155e+00 -3.4976e+00 +2.7839e+00 +1.1925e+00 +1.2110e-03 +6.8386e+00 -5.3751e+00 -2.7079e+00
60754 +3.642498498e+02 +3.642498498e+02 +1.364249850e+03 +1.364249850e+03 -1.3901e+00 +2.1257e+00 +2.8429e+00 +1.1433e+00 +3.8666e+00 -2.7464e+00 +2.8949e-01 +1.2369e+00 -1.2743e+00 +9.9827e-01 -2.0164e+00 -5.3647e+00 -2.2107e+00 -5.3174e+00 -1.1563e+00 +3.8721e+00 +7.9005e-01 -4.9705e-01 +9.9486e-01 +1.8878e+00
% function evaluation | noise-free fitness - Fopt (7.003000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.583350291e+03 +1.583350291e+03 +1.653380291e+03 +1.653380291e+03 +2.3192e+00 -1.6837e+00 +2.3807e+00 -8.6400e-01 -2.8071e+00 -1.1000e+00 +3.9157e+00 +3.4454e+00 +9.8423e-01 -4.5125e+00 +1.8577e+00 +1.5491e+00 -2.1939e+00 -2.2378e+00 +1.3777e+00 -4.5565e-01 +2.6057e-01 -2.9548e-01 +3.2039e-01 +2.2391e+00
85 +9.467346911e+02 +9.467346911e+02 +1.016764691e+03 +1.016764691e+03 -1.4325e-01 -1.3174e+00 -3.9184e-01 +8.3493e-01 -3.7615e+00 -1.9932e+00 +1.7588e+00 +3.2656e+00 +2.7731e+00 -3.5431e+00 +2.2684e-01 +2.7614e-01 -3.1337e+00 -2.1556e+00 +2.1544e+00 -7.6597e-01 +3.2400e-01 +1.5681e+00 +1.2518e+00 -7.4040e-01
1576 +6.186417443e+02 +6.186417443e+02 +6.886717443e+02 +6.886717443e+02 -3.7196e-01 -4.8016e-01 +2.4941e+00 +1.4552e+00 -1.3037e-01 -2.5848e-01 -8.3606e-01 +2.7009e-01 -5.9536e-01 +1.4789e+00 -5.5315e-01 +6.7024e-01 +4.7035e+00 +1.6751e+00 -2.6079e+00 -2.6851e+00 -2.3682e+00 -2.4029e+00 -4.7800e+00 -1.9356e+00
10291 +3.951704307e+02 +3.951704307e+02 +4.652004307e+02 +4.652004307e+02 -4.0868e+00 -3.2223e-01 -1.7757e+00 -1.1351e+00 +7.6563e-01 -1.1774e-01 +6.6253e-01 +3.6212e+00 -3.4742e-01 +8.0526e-01 -1.1048e+00 -2.8072e+00 +1.0648e+00 -3.9798e+00 -4.2437e+00 -2.8167e-01 -5.5594e-01 -3.5018e-01 -3.9990e+00 +7.9938e-01
