% function evaluation | noise-free fitness - Fopt (1.026100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.024299474e+02 +9.024299474e+02 +1.005039947e+03 +1.005039947e+03 -9.1521e-02 -2.5579e+00 -3.8899e+00 +4.9667e+00 +1.2501e-01 -4.9938e+00 +2.2034e+00 -4.7943e+00 -3.2098e+00 -3.1836e+00 -3.2494e+00 +3.6319e+00 +3.7484e-01 +1.0287e-01 +2.7539e+00 +3.6227e+00 -1.1138e+00 +3.2774e+00 -3.9273e+00 -1.8528e-01
3403 +6.305668633e+02 +6.305668633e+02 +7.331768633e+02 +7.331768633e+02 -2.3919e+00 -3.6990e+00 -4.0212e+00 -6.6102e-01 +1.1147e+00 +3.0941e+00 -1.3656e+00 +1.8140e+00 +4.7675e+00 -4.4988e+00 -9.0485e-01 -1.8894e+00 -3.6433e+00 +3.8851e+00 -2.1827e+00 +1.4616e-01 -1.7532e+00 -2.9457e+00 -2.0868e+00 +5.9078e-01
43555 +3.927943149e+02 +3.927943149e+02 +4.954043149e+02 +4.954043149e+02 -1.9003e+00 -8.0771e-01 +3.8277e+00 +1.7444e-01 +2.9129e+00 -7.8144e-02 -3.5155e-01 +1.2830e+00 -3.6685e+00 -1.1439e+00 +8.2249e-02 +2.6657e+00 -1.2710e+00 +9.7721e-01 +1.8178e+00 +3.6184e+00 -9.8029e-01 +1.9815e+00 +4.4432e-01 +1.9082e+00
% function evaluation | noise-free fitness - Fopt (9.330000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.868407540e+02 +7.868407540e+02 +8.801407540e+02 +8.801407540e+02 -2.9653e+00 -2.6980e+00 +3.5517e+00 -2.4759e-01 +1.0132e+00 +3.5840e+00 -4.0259e+00 -1.4277e+00 -1.9052e+00 +4.9341e-01 +3.9949e+00 -1.5995e+00 +4.1576e+00 +3.8233e-01 +3.7467e+00 -4.3012e+00 +3.1942e+00 -2.8861e+00 +9.8968e-01 -1.5091e+00
148 +6.275667161e+02 +6.275667161e+02 +7.208667161e+02 +7.208667161e+02 -2.9720e+00 -2.7375e+00 +3.6089e+00 -1.3510e-01 +1.0470e+00 +3.5797e+00 -4.0157e+00 -1.4094e+00 -1.8964e+00 +5.4653e-01 +3.9391e+00 -1.4985e+00 +4.1738e+00 +3.2797e-01 +3.7534e+00 -4.2434e+00 +3.1378e+00 -2.8274e+00 +1.0386e+00 -1.4900e+00
79675 +3.928115739e+02 +3.928115739e+02 +4.861115739e+02 +4.861115739e+02 +1.8352e-01 +4.8693e+00 -3.2499e+00 -1.4401e+00 -2.3506e+00 +3.0814e+00 -4.6364e+00 +2.9812e+00 -5.5987e-02 -2.1467e+00 +1.7284e-01 +4.2859e+00 +3.5822e+00 -4.5247e-01 -3.5286e+00 +3.0508e+00 +3.2564e-01 +3.3536e+00 -4.6673e-01 -1.4343e+00
% function evaluation | noise-free fitness - Fopt (1.364000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.671713676e+02 +8.671713676e+02 +8.808113676e+02 +8.808113676e+02 -2.0563e+00 +4.1420e+00 -3.6466e+00 -2.7142e+00 +2.4792e+00 -7.4473e-01 +2.0924e+00 +2.5238e+00 +3.1821e+00 -8.8653e-01 +4.3577e+00 +8.5427e-01 -3.5514e+00 -3.0555e+00 +2.4093e+00 +4.6220e+00 -6.8571e-01 -8.5482e-01 +1.4120e+00 +1.0278e+00
757 +6.295818251e+02 +6.295818251e+02 +6.432218251e+02 +6.432218251e+02 -2.9255e+00 +3.9216e+00 -2.4587e+00 -3.2478e+00 +2.4094e+00 -9.0269e-01 +1.6437e+00 +2.5541e+00 +4.0636e+00 -3.0537e-01 +3.8305e+00 +1.0879e+00 -3.7066e+00 -3.6726e+00 +2.4064e+00 +4.1854e+00 -1.0877e+00 -7.9871e-01 +8.6193e-01 +1.3390e+00
