% function evaluation | noise-free fitness - Fopt (-5.494000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.073549714e+07 +3.073549714e+07 +3.073544220e+07 +3.073544220e+07 +4.5832e+00 +3.4117e+00 +4.7301e+00 +2.7286e+00 -4.2771e+00 +2.7214e+00 +3.4064e+00 -4.1337e+00 -4.9894e-02 -6.7770e-01 -3.8319e+00 -4.2798e+00 -4.5670e+00 +8.3750e-01 -7.6348e-01 -9.1585e-02 +3.8331e+00 +1.7931e+00 +4.4427e+00 +4.9726e+00
22 +1.747117129e+07 +1.747117129e+07 +1.747111635e+07 +1.747111635e+07 +4.0005e+00 +2.8102e+00 +4.5706e+00 +2.6499e+00 -3.6975e+00 +2.7607e+00 +3.6294e+00 -4.0903e+00 -1.0499e+00 -3.9804e-01 -3.8649e+00 -4.7658e+00 -3.9543e+00 +4.8360e-01 -1.1120e+00 -3.8117e-01 +4.0501e+00 +2.6711e+00 +3.9770e+00 +4.6447e+00
43 +9.450390265e+06 +9.450390265e+06 +9.450335325e+06 +9.450335325e+06 +3.0603e+00 +2.8435e+00 +4.1173e+00 +2.6342e+00 -3.1420e+00 +2.7613e+00 +3.7702e+00 -3.9677e+00 -1.9778e+00 -4.8330e-02 -3.7109e+00 -4.9305e+00 -3.6323e+00 +2.8917e-01 -1.5069e+00 -4.5205e-01 +3.7474e+00 +3.5163e+00 +3.6051e+00 +4.7221e+00
64 +2.408001117e+06 +2.408001117e+06 +2.407946177e+06 +2.407946177e+06 +1.0829e+00 +2.3948e+00 +3.1542e+00 +2.3816e+00 -2.2012e+00 +2.9125e+00 +3.9259e+00 -4.0505e+00 -3.9395e+00 +5.4158e-01 -3.8001e+00 -4.9383e+00 -3.1183e+00 -5.1510e-01 -2.1225e+00 -4.9952e-01 +3.5347e+00 +5.3027e+00 +2.8500e+00 +4.6175e+00
148 +1.274529879e+06 +1.274529879e+06 +1.274474939e+06 +1.274474939e+06 -4.1081e-03 +2.7832e+00 +2.0810e+00 +2.5111e+00 -2.1963e+00 +3.0428e+00 +3.9812e+00 -3.8294e+00 -4.0741e+00 +8.3099e-01 -3.5771e+00 -4.2928e+00 -3.6977e+00 -5.6412e-01 -2.2453e+00 -1.3550e-02 +3.0697e+00 +5.3310e+00 +3.1854e+00 +5.2953e+00
190 +9.459991962e+05 +9.459991962e+05 +9.459442562e+05 +9.459442562e+05 -5.3155e-01 +2.4588e+00 +1.6878e+00 +2.4227e+00 -2.0947e+00 +3.1666e+00 +4.0361e+00 -3.8792e+00 -4.4643e+00 +9.6254e-01 -3.6916e+00 -4.1424e+00 -3.7294e+00 -8.5977e-01 -2.3125e+00 +7.2016e-02 +3.1905e+00 +5.6299e+00 +3.1455e+00 +5.2681e+00
232 +6.072390887e+05 +6.072390887e+05 +6.071841487e+05 +6.071841487e+05 -4.7640e-01 +1.9947e+00 +1.4225e+00 +2.4592e+00 -2.3766e+00 +3.3193e+00 +4.0265e+00 -3.9284e+00 -4.1029e+00 +8.9589e-01 -3.8756e+00 -3.7982e+00 -4.0979e+00 -1.0340e+00 -2.0724e+00 +2.8155e-01 +3.6147e+00 +5.2431e+00 +3.5066e+00 +5.3075e+00
316 +3.835799241e+05 +3.835799241e+05 +3.835249841e+05 +3.835249841e+05 -1.0657e+00 +1.4619e+00 +5.9058e-01 +3.0059e+00 -1.8773e+00 +3.3942e+00 +4.1845e+00 -3.5255e+00 -4.0111e+00 +1.3082e+00 -3.6461e+00 -3.6779e+00 -4.3461e+00 -1.1813e+00 -1.9958e+00 +4.6043e-01 +3.9103e+00 +5.3282e+00 +3.8067e+00 +5.8117e+00
400 +2.396969733e+05 +2.396969733e+05 +2.396420333e+05 +2.396420333e+05 -9.2771e-01 +1.1866e+00 +5.3966e-01 +3.3437e+00 -1.6489e+00 +3.3300e+00 +4.1750e+00 -3.3357e+00 -3.7338e+00 +1.3864e+00 -3.5382e+00 -3.7588e+00 -4.3668e+00 -1.1424e+00 -1.8422e+00 +4.6145e-01 +4.1642e+00 +5.2330e+00 +3.9238e+00 +6.0005e+00
505 +1.491273101e+05 +1.491273101e+05 +1.490723701e+05 +1.490723701e+05 -9.6641e-01 +8.1021e-01 +4.8426e-01 +4.0241e+00 -1.0281e+00 +3.0586e+00 +3.7375e+00 -3.1520e+00 -3.4212e+00 +1.4624e+00 -3.4145e+00 -3.5819e+00 -4.3885e+00 -1.3116e+00 -1.4029e+00 +7.1380e-01 +4.5186e+00 +5.4575e+00 +3.9076e+00 +6.5242e+00
