% function evaluation | noise-free fitness - Fopt (-9.210000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.889949754e+02 +3.889949754e+02 +3.797849754e+02 +3.797849754e+02 +1.8827e-01 +1.4865e+00 +4.2114e-01 +5.5167e-01 -3.9945e+00 +2.0990e+00 -1.1511e+00 -4.8588e+00 +1.8572e+00 +3.6108e+00 +8.2751e-01 +5.1788e-01 -4.9430e+00 -2.1270e-01 -1.3791e+00 -2.1199e+00 +8.8626e-01 +1.7016e+00 -3.6423e-01 -5.3923e-03
43 +1.020336465e+02 +1.020336465e+02 +9.282364647e+01 +9.282364647e+01 +1.1883e+00 +2.6154e+00 +1.6954e+00 +1.9901e+00 -5.6183e+00 +3.9319e+00 +9.1803e-01 -2.5231e+00 +4.4938e+00 +6.3441e-01 -2.5323e+00 -3.2748e+00 -6.6171e-01 +4.6202e+00 -6.8347e+00 -8.2784e+00 +7.8382e+00 +9.5492e+00 -9.2229e+00 +9.9946e+00
64 +1.926854539e+01 +1.926854539e+01 +1.005854539e+01 +1.005854539e+01 +2.7583e+00 +4.3876e+00 +3.6960e+00 +4.2485e+00 -6.0811e+00 +6.8097e+00 +4.1666e+00 +1.1440e+00 +8.6334e+00 -4.0385e+00 -7.8072e+00 -9.2293e+00 +6.0600e+00 +1.2208e+01 -8.3896e+00 -1.0034e+01 +9.8195e+00 +1.1786e+01 -1.1748e+01 +1.2845e+01
85 +4.290000383e-01 +4.290000383e-01 -8.780999962e+00 -8.780999962e+00 +4.5710e+00 +6.4339e+00 +6.0059e+00 +6.8560e+00 -6.3206e+00 +7.7198e+00 +7.9174e+00 +5.3780e+00 +9.9424e+00 -9.4338e+00 -9.4754e+00 -1.1112e+01 +8.1856e+00 +1.4607e+01 -9.1945e+00 -1.0942e+01 +1.0845e+01 +1.2944e+01 -1.3055e+01 +1.4320e+01
106 +2.131628207e-14 +2.131628207e-14 -9.210000000e+00 -9.210000000e+00 +5.6904e+00 +6.5208e+00 +6.1040e+00 +6.9667e+00 -6.3364e+00 +7.7797e+00 +8.0766e+00 +5.5577e+00 +1.0029e+01 -9.6628e+00 -9.5852e+00 -1.1236e+01 +8.3256e+00 +1.4765e+01 -9.2475e+00 -1.1002e+01 +1.0913e+01 +1.3020e+01 -1.3141e+01 +1.4417e+01
% function evaluation | noise-free fitness - Fopt (6.559900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.345819012e+02 +4.345819012e+02 +1.090571901e+03 +1.090571901e+03 +3.9677e+00 +1.9448e+00 +4.1188e+00 -3.3508e-01 +1.0320e+00 -5.8141e-01 -3.6994e+00 -1.4337e+00 +6.7784e-01 -4.4638e+00 +3.3225e+00 -3.0174e+00 -4.3431e+00 -1.0348e-01 +4.9766e+00 +1.6578e+00 +2.9873e+00 +1.2032e+00 -3.1816e+00 -7.1325e-01
22 +3.913355223e+02 +3.913355223e+02 +1.047325522e+03 +1.047325522e+03 +4.0677e+00 +1.8319e+00 +3.9914e+00 -1.9124e-01 +8.6964e-01 -7.6471e-01 -3.9064e+00 -1.2002e+00 +4.1418e-01 -4.7614e+00 +3.6584e+00 -2.6381e+00 -3.9150e+00 -5.8678e-01 +5.5222e+00 +2.2736e+00 +2.2921e+00 +4.1841e-01 -2.2957e+00 +2.8675e-01
43 +9.688574443e+01 +9.688574443e+01 +7.528757444e+02 +7.528757444e+02 +4.9677e+00 +8.1599e-01 +2.8445e+00 +1.1034e+00 -5.9176e-01 -2.4144e+00 -5.7686e+00 +9.0198e-01 -1.9588e+00 -7.4401e+00 +6.6823e+00 +7.7534e-01 -6.1781e-02 -4.9364e+00 +1.0432e+01 +7.8163e+00 -3.9646e+00 -6.6444e+00 +5.6771e+00 +9.2868e+00
64 +1.582528104e+01 +1.582528104e+01 +6.718152810e+02 +6.718152810e+02 +6.7430e+00 -1.1880e+00 +5.8227e-01 +3.6571e+00 -3.4745e+00 -5.6685e+00 -6.5707e+00 +5.0486e+00 -6.6397e+00 -8.5939e+00 +7.9847e+00 +7.5086e+00 +7.5389e+00 -1.3516e+01 +1.2547e+01 +1.0204e+01 -1.6306e+01 -9.6866e+00 +9.1112e+00 +1.3163e+01
