% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.652152998e+01 +8.652152998e+01 -9.134784700e+02 -9.134784700e+02 +4.8558e+00 -3.2962e+00 -4.6799e+00 +3.5610e+00 +1.1952e+00 +3.4046e+00 +1.4264e+00 +4.1805e+00 -3.7686e+00 -1.6453e-01 +1.1657e+00 +2.8473e+00 +2.3928e+00 +4.7297e+00 -8.2296e-01 -1.1333e+00 +1.1613e+00 -9.7623e-01 -3.7928e+00 +3.6051e+00
106 +5.863970516e+01 +5.863970516e+01 -9.413602948e+02 -9.413602948e+02 +9.9394e-01 -1.7262e+00 -5.2954e+00 +4.6884e+00 +3.5355e+00 +1.7386e+00 -2.9171e+00 +2.7035e+00 +1.9111e+00 +4.2612e-01 -9.7719e-01 -2.6578e+00 +3.7572e-01 +1.5010e+00 -1.5489e+00 -3.2341e+00 -3.7477e+00 -4.5852e+00 -4.5001e+00 -3.0942e+00
295 +3.775414531e+01 +3.775414531e+01 -9.622458547e+02 -9.622458547e+02 +5.7575e-01 -3.2373e+00 -4.0690e+00 +4.7016e+00 +4.2757e+00 +2.1531e+00 -2.2669e+00 +3.5938e+00 +3.2975e+00 -3.9402e-02 -7.6398e-01 -3.9533e+00 +5.6412e-01 +1.2182e+00 -1.1973e+00 -2.7649e+00 -3.0227e+00 -4.1853e+00 -3.6700e+00 -3.0113e+00
1765 +1.667707835e+01 +1.667707835e+01 -9.833229217e+02 -9.833229217e+02 +2.8341e+00 +7.2593e-01 +2.7049e+00 -1.6240e+00 -3.9329e+00 +4.3762e+00 +2.9984e+00 +3.8363e+00 +1.7428e+00 -2.9501e+00 -3.1946e+00 -2.5746e+00 -1.7476e-02 +5.3747e+00 -4.7153e+00 -2.7801e+00 +7.9905e-01 +1.7645e+00 -1.4482e+00 +8.7943e-01
1786 +1.102344077e+01 +1.102344077e+01 -9.889765592e+02 -9.889765592e+02 +2.9679e+00 +3.0697e-01 +2.7284e+00 -1.6801e+00 -3.6666e+00 +4.4554e+00 +3.1583e+00 +3.8060e+00 +1.7816e+00 -3.1052e+00 -3.2285e+00 -2.3621e+00 -1.8049e-01 +5.2832e+00 -4.4860e+00 -2.6572e+00 +1.0087e+00 +1.5030e+00 -1.1260e+00 +1.6281e+00
1807 +8.946609310e+00 +8.946609310e+00 -9.910533907e+02 -9.910533907e+02 +2.8565e+00 +1.4955e-01 +2.6873e+00 -1.8146e+00 -3.3523e+00 +4.4808e+00 +3.3319e+00 +3.8616e+00 +1.8850e+00 -3.1898e+00 -3.0531e+00 -2.2532e+00 -1.7331e-01 +5.1636e+00 -4.2991e+00 -2.5284e+00 +1.1143e+00 +1.2942e+00 -9.9874e-01 +2.0104e+00
1975 +6.288404637e+00 +6.288404637e+00 -9.937115954e+02 -9.937115954e+02 +2.4702e+00 -5.0423e-01 +2.9489e+00 -2.4736e+00 -2.2016e+00 +4.7786e+00 +3.2097e+00 +3.8568e+00 +2.2502e+00 -2.6654e+00 -2.7118e+00 -2.5269e+00 -8.1968e-02 +4.8808e+00 -3.8798e+00 -3.2036e+00 +5.5851e-01 +7.4055e-01 -9.8701e-01 +2.9666e+00
4684 +3.779311121e+00 +3.779311121e+00 -9.962206889e+02 -9.962206889e+02 +1.7275e+00 -2.1798e+00 +1.1473e+00 +3.6678e+00 -4.7221e+00 +5.7310e-01 -2.3567e+00 +3.0647e+00 +5.2544e+00 -6.1849e-01 -2.7639e+00 +2.4248e+00 -2.8443e+00 -2.4581e+00 -1.1661e+00 -1.5769e+00 +2.1058e+00 +2.1834e+00 +2.0449e+00 +1.6268e+00
4705 +2.073061300e+00 +2.073061300e+00 -9.979269387e+02 -9.979269387e+02 +1.6735e+00 -1.9127e+00 +1.6299e+00 +4.0299e+00 -4.1031e+00 +7.7307e-01 -2.2676e+00 +3.4956e+00 +5.0684e+00 -1.1497e+00 -3.0330e+00 +2.4654e+00 -3.2705e+00 -3.0277e+00 -6.8605e-01 -9.7503e-01 +3.4701e+00 +2.6480e+00 +3.5247e+00 +2.5468e+00
4852 +1.518602140e+00 +1.518602140e+00 -9.984813979e+02 -9.984813979e+02 +1.8443e+00 -2.0174e+00 +1.2564e+00 +3.5296e+00 -4.4748e+00 +7.9486e-01 -2.0095e+00 +3.3992e+00 +4.4933e+00 -9.5681e-01 -3.2058e+00 +2.1955e+00 -3.1680e+00 -2.5564e+00 -1.0691e+00 -1.1163e+00 +2.6712e+00 +2.8545e+00 +3.1758e+00 +2.1675e+00
4936 +9.970077193e-01 +9.970077193e-01 -9.990029923e+02 -9.990029923e+02 +1.8558e+00 -1.9546e+00 +1.3070e+00 +3.6057e+00 -4.3152e+00 +8.2400e-01 -1.9200e+00 +3.5384e+00 +4.3005e+00 -1.0670e+00 -3.2632e+00 +2.1591e+00 -3.2419e+00 -2.6902e+00 -9.4105e-01 -7.6782e-01 +3.0930e+00 +3.2267e+00 +3.8443e+00 +2.5637e+00
26986 +5.385026995e-01 +5.385026995e-01 -9.994614973e+02 -9.994614973e+02 +1.6435e+00 +4.7305e-01 +8.3412e-01 -1.2775e+00 -4.2388e+00 -1.8244e+00 -1.6344e+00 +3.4645e-01 +2.5817e+00 -1.2252e+00 -7.4070e-01 +4.8292e+00 -4.3230e+00 +7.6843e-01 +2.7544e+00 +2.9048e+00 +1.6715e+00 -4.2971e-01 +1.4941e+00 -3.1018e+00
