% function evaluation | noise-free fitness - Fopt (3.590000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.690419358e+06 +1.690419358e+06 +1.690455258e+06 +1.690455258e+06 -3.0419e+00 -3.2777e+00 +4.6443e+00 -3.7119e+00 +4.9914e+00 -4.9483e+00 +2.8616e+00 -1.5887e+00 -1.6918e+00 -4.8381e+00 -4.4575e+00 -3.2211e+00 +4.9326e+00 +3.1910e+00 +2.6285e+00 +2.8322e+00 +3.6357e+00 -4.1496e+00 +1.1338e+00 -2.1418e+00
22 +1.223460812e+06 +1.223460812e+06 +1.223496712e+06 +1.223496712e+06 -2.5305e+00 -2.7333e+00 +4.9751e+00 -3.0151e+00 +4.5019e+00 -4.8867e+00 +2.7523e+00 -1.7217e+00 -1.8733e+00 -4.9291e+00 -4.0581e+00 -3.1659e+00 +4.7222e+00 +2.7774e+00 +2.6874e+00 +2.2063e+00 +3.4176e+00 -3.1496e+00 +9.1110e-01 -2.5869e+00
43 +3.644784438e+05 +3.644784438e+05 +3.645143438e+05 +3.645143438e+05 -5.6665e-01 -9.4644e-01 +6.0713e+00 +2.5022e-01 +2.4991e+00 -4.8565e+00 +2.1562e+00 -1.9866e+00 -2.4188e+00 -5.4101e+00 -2.5534e+00 -3.0472e+00 +3.7271e+00 +1.1454e+00 +2.3059e+00 -1.3208e-01 +2.6040e+00 +8.0674e-01 +3.1762e-01 -3.6200e+00
64 +4.810936274e+04 +4.810936274e+04 +4.814526274e+04 +4.814526274e+04 +2.9690e+00 +2.3478e+00 +7.8072e+00 +6.4862e+00 -1.0050e+00 -4.5935e+00 +3.2171e-01 -2.6980e+00 -2.3149e+00 -6.8788e+00 -1.7866e-01 -2.6240e+00 +1.8055e+00 -1.9979e+00 +1.0356e+00 -3.8066e+00 +1.4086e+00 +7.4782e+00 -8.3685e-01 -4.7090e+00
85 +1.719329769e+02 +1.719329769e+02 +2.078329769e+02 +2.078329769e+02 +3.3505e+00 +1.8043e+00 +7.7524e+00 +5.7932e+00 -1.3462e+00 -4.9038e+00 -6.4494e-02 -2.6786e+00 -1.4725e+00 -7.2120e+00 -1.2970e+00 -2.7766e+00 +1.2131e+00 -3.0803e+00 +1.2689e+00 -4.0073e+00 +1.2064e+00 +7.1231e+00 -1.3903e+00 -5.1640e+00
148 +1.579924908e+02 +1.579924908e+02 +1.938924908e+02 +1.938924908e+02 +3.2760e+00 +1.7577e+00 +7.6334e+00 +5.6752e+00 -1.3419e+00 -4.8816e+00 -1.3721e-01 -2.6341e+00 -1.5154e+00 -7.1600e+00 -1.2999e+00 -2.7510e+00 +1.1908e+00 -2.9824e+00 +1.2488e+00 -4.0083e+00 +1.2053e+00 +7.0327e+00 -1.3487e+00 -5.1062e+00
232 +7.880191654e+01 +7.880191654e+01 +1.147019165e+02 +1.147019165e+02 +2.3254e+00 +1.3315e+00 +6.1140e+00 +4.1172e+00 -1.1246e+00 -4.7497e+00 -9.6577e-01 -2.2663e+00 -2.0873e+00 -6.3544e+00 -1.4693e+00 -2.3386e+00 +8.8334e-01 -1.6233e+00 +1.0559e+00 -3.9793e+00 +1.2771e+00 +5.9982e+00 -7.7499e-01 -4.4936e+00
757 +6.286937784e+01 +6.286937784e+01 +9.876937784e+01 +9.876937784e+01 +1.9604e+00 +1.1989e+00 +5.5116e+00 +3.5931e+00 -1.0354e+00 -4.6763e+00 -1.3279e+00 -2.1913e+00 -2.2660e+00 -6.0662e+00 -1.5292e+00 -2.1617e+00 +7.2523e-01 -1.1568e+00 +9.9891e-01 -3.9968e+00 +1.2969e+00 +5.6406e+00 -6.0503e-01 -4.2788e+00
1219 +3.824917764e+01 +3.824917764e+01 +7.414917764e+01 +7.414917764e+01 +1.6069e+00 +1.7056e+00 +4.3886e+00 +3.3513e+00 -1.2656e+00 -4.2349e+00 -2.5724e+00 -2.4045e+00 -1.9203e+00 -5.5954e+00 -1.5451e+00 -1.1889e+00 -1.9406e-01 -1.1702e+00 +1.2115e+00 -4.0241e+00 +1.1229e+00 +5.2729e+00 -8.4685e-01 -3.9803e+00
1870 +2.460740022e+01 +2.460740022e+01 +6.050740022e+01 +6.050740022e+01 +1.4994e+00 +1.7917e+00 +3.8247e+00 +3.1682e+00 -1.4078e+00 -4.0406e+00 -2.8425e+00 -2.3383e+00 -2.0787e+00 -5.0217e+00 -1.5510e+00 -7.1326e-01 -5.5309e-01 -9.2439e-01 +1.3952e+00 -4.1041e+00 +1.0659e+00 +4.7142e+00 -8.7118e-01 -3.8534e+00
