% function evaluation | noise-free fitness - Fopt (-1.025500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.454749462e+01 +6.454749462e+01 -3.800250538e+01 -3.800250538e+01 -3.6620e+00 -1.9787e+00 -1.2084e+00 -3.6147e+00 +4.1675e+00 -3.9266e+00 +3.4700e+00 -3.0702e+00 +4.4290e+00 -1.3803e+00 -2.7645e+00 -4.4753e+00 -2.9494e-01 +2.7861e+00 +7.6122e-02 -3.9894e+00 +1.7828e+00 +8.1294e-01 -4.9335e+00 +5.0198e-01
85 +6.269915052e+01 +6.269915052e+01 -3.985084948e+01 -3.985084948e+01 -3.6610e+00 -1.9989e+00 -1.2027e+00 -3.6131e+00 +4.1583e+00 -3.9399e+00 +3.4696e+00 -3.0711e+00 +4.4295e+00 -1.4001e+00 -2.7657e+00 -4.4739e+00 -2.8584e-01 +2.7852e+00 +8.3950e-02 -3.9798e+00 +1.7825e+00 +8.2036e-01 -4.9263e+00 +4.8797e-01
8275 +3.885041259e+01 +3.885041259e+01 -6.369958741e+01 -6.369958741e+01 -3.3162e+00 +2.6020e+00 -3.8141e+00 +2.0563e+00 +5.9239e-01 +1.7797e+00 -2.9991e+00 -1.2098e+00 +3.1572e+00 -3.0422e+00 +4.5844e+00 -2.7981e+00 +2.0705e+00 +1.9412e+00 +3.0914e+00 +1.3695e+00 +1.8791e+00 -3.3457e+00 +8.4481e-01 -7.7993e-01
16948 +2.496724956e+01 +2.496724956e+01 -7.758275044e+01 -7.758275044e+01 +1.6972e+00 -4.1940e-01 -3.7193e-01 -3.4496e+00 +3.0656e+00 -1.3209e+00 +4.3767e+00 -1.7377e+00 -4.4159e+00 -2.4191e+00 -3.2989e+00 -2.5480e+00 +9.8278e-02 -3.5211e+00 +2.3769e+00 -1.1681e+00 +2.8934e+00 -6.3111e-01 -9.6062e-01 -1.9986e+00
58297 +1.583235850e+01 +1.583235850e+01 -8.671764150e+01 -8.671764150e+01 -1.1216e+00 -5.4563e-01 +6.9703e-01 +1.4577e+00 -1.8947e+00 +2.3778e+00 -2.8477e+00 +4.4890e+00 -1.6986e+00 +2.6522e-01 -4.8560e+00 -4.9942e-02 +2.8812e-01 -1.9181e+00 +2.2486e+00 -7.1179e-01 -3.4826e+00 -2.5235e-01 -8.5683e-01 -3.6000e+00
% function evaluation | noise-free fitness - Fopt (7.169000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.545627464e+01 +5.545627464e+01 +1.271462746e+02 +1.271462746e+02 -2.8490e+00 +1.1191e-01 -5.5960e-01 +3.3348e+00 -3.1818e+00 -1.3320e+00 +2.4794e+00 +2.2457e+00 +4.3013e+00 +3.1570e-01 +2.8082e+00 -4.3421e+00 -4.0157e+00 -3.7375e+00 -5.3025e-01 -1.6945e+00 +8.0190e-01 -3.9748e+00 +2.0984e+00 -2.1794e+00
4705 +3.804540629e+01 +3.804540629e+01 +1.097354063e+02 +1.097354063e+02 -3.0650e+00 -2.3590e+00 +4.6982e-01 -1.2530e+00 -3.3744e+00 +2.9668e+00 +4.2244e+00 -1.8218e+00 +4.4593e+00 +4.9865e+00 +6.6497e-01 -5.2853e-01 -3.5810e+00 +1.8905e+00 -1.2099e+00 +7.5818e-02 -1.3234e+00 +9.3648e-01 -2.0973e-01 -3.2685e+00
19594 +1.968110592e+01 +1.968110592e+01 +9.137110592e+01 +9.137110592e+01 +8.4707e-01 +3.9687e+00 -2.9078e+00 +1.2013e+00 -9.9786e-01 -7.6678e-02 +6.4845e-01 +2.5840e+00 +2.0051e+00 +2.3485e+00 -5.6376e-01 -1.9160e+00 -2.6719e+00 +3.5490e+00 -1.3165e+00 -3.5516e+00 -3.6144e-01 +3.6472e+00 +1.9336e+00 -2.5712e+00
212983 +1.573901274e+01 +1.573901274e+01 +8.742901274e+01 +8.742901274e+01 -1.8811e+00 -7.7887e-01 +2.1065e+00 +6.1036e-01 +4.0269e+00 -1.0430e+00 +4.6823e-01 +3.9291e+00 -2.8030e+00 -5.7211e-01 +4.2321e+00 +2.3069e+00 +1.0521e+00 -4.7936e-01 +8.9079e-01 -1.2423e-01 +3.7496e+00 -2.0515e+00 +1.9397e+00 +3.4906e+00
% function evaluation | noise-free fitness - Fopt (2.140100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.221173426e+01 +6.221173426e+01 +2.762217343e+02 +2.762217343e+02 +1.8012e+00 -2.4061e+00 +5.3895e-01 -2.7364e+00 -3.1194e+00 +2.1989e-01 -5.4960e-01 -4.6257e+00 -2.0688e+00 +3.1900e+00 -2.7118e+00 -4.0485e-01 -4.6449e+00 +4.3302e-01 +3.3353e+00 +4.4895e+00 +4.2347e+00 -4.1000e+00 -4.9248e+00 +6.4429e-02
2836 +2.734789330e+01 +2.734789330e+01 +2.413578933e+02 +2.413578933e+02 -7.5794e-01 -4.8135e+00 -2.4028e+00 +3.7516e+00 -2.0932e+00 +9.0088e-01 -2.8514e-01 -4.6708e+00 -4.0503e-01 +2.8755e+00 +2.6705e+00 +3.0776e-01 -5.7287e-01 +3.0808e+00 -1.0885e+00 -1.0867e+00 -3.0184e-01 +3.9757e+00 +3.7093e+00 -4.7059e+00
3088 +2.492754621e+01 +2.492754621e+01 +2.389375462e+02 +2.389375462e+02 -7.5804e-01 -4.8139e+00 -2.4027e+00 +3.7517e+00 -2.0936e+00 +9.0136e-01 -2.8550e-01 -4.6708e+00 -4.0530e-01 +2.8760e+00 +2.6704e+00 +3.0772e-01 -5.7295e-01 +3.0812e+00 -1.0884e+00 -1.0874e+00 -3.0110e-01 +3.9758e+00 +3.7090e+00 -4.7061e+00
228313 +1.555988613e+01 +1.555988613e+01 +2.295698861e+02 +2.295698861e+02 -2.6016e+00 +1.2172e+00 +8.9243e-01 +4.3433e+00 -3.9242e+00 +1.9376e+00 +2.2453e+00 +2.2812e-01 -4.0719e+00 -3.4916e-01 -1.3867e+00 +5.6331e-01 +1.1637e+00 +1.8420e+00 -1.4087e+00 +8.7971e-01 +2.7579e+00 +9.1626e-01 +1.2724e+00 +1.0186e+00
% function evaluation | noise-free fitness - Fopt (-5.848000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.461387691e+02 +1.461387691e+02 +8.765876911e+01 +8.765876911e+01 -1.4487e+00 -4.1244e+00 +3.5341e-01 +4.1255e+00 -1.6627e+00 -4.5779e+00 +3.4217e+00 +4.2418e+00 +3.0524e+00 -2.1544e+00 -3.0880e+00 -4.5623e+00 -4.0001e+00 -5.2085e-01 +4.2522e+00 +4.5959e+00 +2.8438e+00 +7.5334e-01 +2.8711e+00 +2.1396e+00
2479 +7.535933206e+01 +7.535933206e+01 +1.687933206e+01 +1.687933206e+01 -2.0054e+00 -2.0453e+00 +2.0279e+00 -4.4221e+00 +2.0793e-01 -2.5569e+00 +1.4587e+00 +1.4991e+00 +4.9259e+00 +2.3290e+00 -3.5260e+00 -3.1170e+00 -2.4743e+00 +1.1668e+00 +3.2358e+00 -8.9087e-01 -2.0320e+00 -4.3877e+00 +4.9975e+00 -1.1851e+00
4831 +4.717005884e+01 +4.717005884e+01 -1.130994116e+01 -1.130994116e+01 -3.4148e+00 +1.2902e+00 -2.6564e+00 +3.9796e+00 +9.3807e-01 -3.1462e+00 -2.7730e+00 +2.6555e+00 +3.2172e+00 +3.5476e-01 +2.5456e+00 +1.9900e+00 +2.4100e+00 -1.1460e+00 +3.3024e+00 -4.5719e+00 -4.3756e+00 +2.4968e+00 +1.2382e+00 +2.6332e+00
16696 +3.652751602e+01 +3.652751602e+01 -2.195248398e+01 -2.195248398e+01 +3.8084e+00 -1.4559e-01 -3.0085e+00 -1.1107e+00 +2.8295e+00 -3.9007e+00 +4.6895e+00 +3.1055e+00 +4.0955e-01 +4.4944e+00 -3.0891e+00 +4.5866e+00 +1.5277e+00 +1.2117e+00 -3.0435e+00 +1.3472e+00 +1.5043e+00 -3.3685e+00 +6.4378e-01 +7.1631e-01
70372 +2.509249312e+01 +2.509249312e+01 -3.338750688e+01 -3.338750688e+01 +2.4727e+00 +2.7484e+00 -4.1970e-01 +1.8909e+00 +2.8298e+00 -4.3954e-01 +2.3821e+00 +4.0477e+00 +3.7054e-01 +4.1803e+00 -2.2073e+00 -3.2088e+00 -4.9381e+00 +5.3468e-01 -2.5778e+00 -1.5689e+00 +1.3848e+00 +2.2734e+00 -4.8616e+00 -4.7893e-01
% function evaluation | noise-free fitness - Fopt (-6.130800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
