% function evaluation | noise-free fitness - Fopt (-6.211100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.981434367e+08 +9.981434367e+08 +9.981428156e+08 +9.981428156e+08 -2.0456e+00 -4.1391e+00 +6.6732e-01 -5.0073e-01 +2.6582e+00 -2.7484e+00 -4.4398e+00 -1.9758e-01 +3.8176e+00 +7.4693e-01 -1.0941e+00 -1.0240e+00 +3.0761e+00 +2.8528e+00 -2.0781e+00 +2.5057e+00 -2.8776e+00 +1.9164e+00 -1.3276e+00 +1.4691e+00
22 +4.850855547e+08 +4.850855547e+08 +4.850849336e+08 +4.850849336e+08 -1.6868e+00 -3.7573e+00 +5.1784e-01 -6.0585e-01 +2.3911e+00 -2.5550e+00 -4.2251e+00 -3.4915e-02 +3.7916e+00 +7.9994e-01 -5.8158e-01 -1.4296e+00 +3.1020e+00 +3.3778e+00 -1.6223e+00 +1.5057e+00 -2.1094e+00 +1.6666e+00 -9.4450e-01 +1.1122e+00
43 +3.396950052e+08 +3.396950052e+08 +3.396943841e+08 +3.396943841e+08 -1.5886e+00 -3.2513e+00 +2.8189e-01 -8.2278e-01 +2.1679e+00 -2.4759e+00 -3.9997e+00 +2.2291e-01 +3.8051e+00 +7.8070e-01 -4.6929e-01 -1.4939e+00 +3.2367e+00 +3.4753e+00 -1.2866e+00 +9.5094e-01 -1.8214e+00 +1.7653e+00 -9.2244e-01 +9.7622e-01
64 +1.913649482e+08 +1.913649482e+08 +1.913643271e+08 +1.913643271e+08 -1.4236e+00 -2.2669e+00 -1.2917e-01 -1.3088e+00 +1.7545e+00 -2.3346e+00 -3.5446e+00 +6.8718e-01 +3.8186e+00 +7.5005e-01 -2.7480e-01 -1.5255e+00 +3.4438e+00 +3.5369e+00 -6.9683e-01 -1.3760e-02 -1.2837e+00 +1.9721e+00 -8.5664e-01 +7.3965e-01
85 +1.274542743e+08 +1.274542743e+08 +1.274536532e+08 +1.274536532e+08 -1.2916e+00 -1.3864e+00 -4.5613e-01 -1.7674e+00 +1.4007e+00 -2.2113e+00 -3.1184e+00 +1.0655e+00 +3.8105e+00 +7.1567e-01 -1.0744e-01 -1.4841e+00 +3.5942e+00 +3.5138e+00 -2.0609e-01 -8.0230e-01 -8.0118e-01 +2.1412e+00 -7.8527e-01 +5.4515e-01
106 +8.804253915e+07 +8.804253915e+07 +8.804191804e+07 +8.804191804e+07 -1.1485e+00 -3.6260e-01 -8.0225e-01 -2.3040e+00 +1.0018e+00 -2.0684e+00 -2.6072e+00 +1.4671e+00 +3.7774e+00 +6.6607e-01 +8.6506e-02 -1.3807e+00 +3.7489e+00 +3.4399e+00 +3.4779e-01 -1.6663e+00 -2.3380e-01 +2.3122e+00 -6.9627e-01 +3.3065e-01
148 +5.005407690e+07 +5.005407690e+07 +5.005345579e+07 +5.005345579e+07 -8.2979e-01 +2.0873e+00 -1.5498e+00 -3.5686e+00 +7.0501e-02 -1.7292e+00 -1.3468e+00 +2.3070e+00 +3.6191e+00 +5.2211e-01 +5.5782e-01 -1.0007e+00 +4.0948e+00 +3.1898e+00 +1.6732e+00 -3.6202e+00 +1.1319e+00 +2.6445e+00 -4.7867e-01 -1.6201e-01
211 +3.965620685e+07 +3.965620685e+07 +3.965558574e+07 +3.965558574e+07 -7.0527e-01 +3.7493e+00 -1.8257e+00 -4.4091e+00 -5.0650e-01 -1.5513e+00 -3.6809e-01 +2.4499e+00 +3.2400e+00 +3.6695e-01 +9.0439e-01 -3.2641e-01 +4.2639e+00 +2.8009e+00 +2.6189e+00 -4.5854e+00 +2.0119e+00 +2.6860e+00 -3.2205e-01 -4.4585e-01
253 +1.515460187e+07 +1.515460187e+07 +1.515398076e+07 +1.515398076e+07 -9.3830e-01 +5.0825e+00 -1.2006e+00 -5.0408e+00 -7.6416e-01 -1.6013e+00 +8.7683e-01 +1.0245e+00 +1.9592e+00 +2.5153e-02 +1.2760e+00 +1.7254e+00 +4.1473e+00 +1.6689e+00 +3.5178e+00 -4.0392e+00 +2.5600e+00 +2.0587e+00 -1.6087e-01 -4.8460e-01
274 +4.534459368e+06 +4.534459368e+06 +4.533838258e+06 +4.533838258e+06 -1.1857e+00 +4.8293e+00 -5.7508e-01 -4.8819e+00 -5.3398e-01 -1.7613e+00 +1.0451e+00 -5.7563e-02 +1.3459e+00 -1.0105e-01 +1.2853e+00 +2.6644e+00 +3.9481e+00 +1.1620e+00 +3.4684e+00 -2.9816e+00 +2.3171e+00 +1.5977e+00 -1.5983e-01 -3.1002e-01
