% function evaluation | noise-free fitness - Fopt (7.135000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.351739434e+02 +1.351739434e+02 +2.065239434e+02 +2.065239434e+02 -1.3679e+00 +9.5387e-01 -4.1427e+00 -3.8998e+00 +9.3328e-01 -2.5036e+00 -4.5645e+00 -2.0757e+00 +3.3661e-01 -2.0453e+00 +2.9361e+00 +2.2862e-01 -1.3034e-01 -1.3409e-01 +2.8471e+00 -4.2796e-01 +4.3840e+00 -7.3034e-02 -3.5463e+00 -4.9018e+00
22 +6.511835918e+01 +6.511835918e+01 +1.364683592e+02 +1.364683592e+02 -1.0780e+00 +1.2217e+00 -3.1427e+00 -4.4744e+00 +5.8909e-01 -2.5377e+00 -3.6928e+00 -2.5373e+00 +2.0994e-01 -1.9861e+00 +2.1136e+00 +4.5858e-02 -6.8018e-02 +1.5174e-01 +2.8459e+00 -4.5865e-01 +4.4540e+00 +6.6835e-01 -3.4379e+00 -5.5761e+00
3697 +5.605764554e+01 +5.605764554e+01 +1.274076455e+02 +1.274076455e+02 -2.5252e+00 -2.6455e+00 -1.3723e+00 -1.8088e+00 -1.4510e+00 -3.3914e+00 -6.8946e-01 +5.8323e+00 -4.8767e+00 -2.5035e+00 -4.7074e+00 -4.0529e+00 -4.5106e+00 -3.8529e+00 -4.8660e+00 +3.7134e-01 +2.3985e+00 +7.6856e-01 -6.2053e-02 +3.5217e+00
34294 +3.826909418e+01 +3.826909418e+01 +1.096190942e+02 +1.096190942e+02 -4.5051e+00 +4.6606e+00 -1.6499e+00 -3.7129e+00 -2.4704e+00 +3.9337e+00 +7.4095e-01 +1.3139e+00 +2.7874e+00 -3.4560e+00 -2.9200e-01 +1.7297e+00 +6.7856e-01 +4.3448e+00 +4.7732e+00 +4.9821e+00 -4.4276e+00 -1.6538e+00 -8.9910e-01 +6.2517e-01
177136 +2.507009366e+01 +2.507009366e+01 +9.642009366e+01 +9.642009366e+01 +2.0697e+00 -4.7057e+00 +3.3202e+00 -3.9189e+00 +3.6909e+00 -1.8576e+00 -6.4250e-01 +3.9254e+00 -1.6581e+00 +2.3250e+00 +4.4198e+00 +2.6805e+00 -1.0156e+00 -2.9936e-01 +6.2236e-01 +3.6850e+00 +7.4313e-01 +4.5380e+00 +2.5947e+00 -8.5619e-01
% function evaluation | noise-free fitness - Fopt (-3.552200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.492360952e+01 +7.492360952e+01 -2.802963905e+02 -2.802963905e+02 +5.4381e-02 -2.5926e+00 +2.3539e+00 +2.9801e+00 -4.6037e+00 +3.5927e+00 -4.5612e+00 +3.2355e+00 +3.5626e-02 +3.3922e+00 +1.9720e+00 +7.2080e-01 +2.2514e-01 +1.4596e+00 -1.9772e+00 +2.6548e+00 +4.8211e+00 -4.6568e+00 +4.7125e+00 -2.4822e+00
3991 +4.266566411e+01 +4.266566411e+01 -3.125543359e+02 -3.125543359e+02 +4.1812e+00 -2.2136e+00 +4.3363e+00 +3.0246e+00 -2.6767e+00 -1.2159e-01 +4.6998e+00 +1.1735e+00 +3.5363e+00 -1.3505e+00 -4.0163e+00 -1.0270e+00 -4.9839e+00 -1.7668e+00 +4.2239e+00 +2.5869e-01 -2.3671e-01 +5.0830e+00 +1.1141e+00 -9.7547e-01
149731 +3.530622931e+01 +3.530622931e+01 -3.199137707e+02 -3.199137707e+02 -2.5904e+00 +3.9097e+00 -4.5774e+00 -4.3747e+00 +4.6462e+00 -1.8220e+00 +4.9627e+00 +4.1428e+00 +1.7517e+00 +1.1113e+00 +1.9358e+00 +4.3194e+00 +3.1880e+00 -3.0541e+00 -3.9220e+00 -6.9647e-01 -2.0099e+00 +8.8193e-01 +1.7165e+00 -3.9887e+00
% function evaluation | noise-free fitness - Fopt (9.917000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
