% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.111308288e+03 +2.111308288e+03 +1.649218288e+03 +1.649218288e+03 -3.7697e+00 +3.8039e+00 -7.3169e-01 -2.0262e+00 -4.2430e+00 +4.5249e+00 +6.7830e-01 -3.2889e+00 -7.9325e-01 -3.0991e+00 +2.6881e+00 +2.6372e-01 -3.6837e+00 +4.9499e+00 -3.1356e-01 -1.3257e+00 +1.3995e+00 +6.2885e-01 -2.4792e+00 +1.0017e+00
22 +1.221225258e+03 +1.221225258e+03 +7.591352584e+02 +7.591352584e+02 -3.7778e+00 +3.8044e+00 -7.1551e-01 -2.0106e+00 -4.2510e+00 +4.5104e+00 +6.6718e-01 -3.2899e+00 -7.8192e-01 -3.0762e+00 +2.6967e+00 +2.7507e-01 -3.6893e+00 +4.9561e+00 -2.8944e-01 -1.3106e+00 +3.9955e-01 +6.5783e-01 -2.4389e+00 +1.0295e+00
2059 +9.790758526e+02 +9.790758526e+02 +5.169858526e+02 +5.169858526e+02 +1.2300e+00 -2.0173e+00 -2.2552e+00 +2.3498e+00 -3.2104e+00 -1.6017e+00 +1.7945e+00 -1.9327e+00 -3.2539e+00 -8.0696e-01 -2.7240e+00 +2.0129e+00 -1.8188e+00 +2.2655e+00 +1.1846e+00 -5.0111e-02 -3.0792e+00 +1.3532e+00 +2.8460e+00 +1.1329e+00
7708 +6.153359742e+02 +6.153359742e+02 +1.532459742e+02 +1.532459742e+02 -1.3883e+00 +6.1457e-01 +2.3455e+00 -1.6706e+00 +1.2513e-01 +1.0748e+00 +8.6437e-02 +3.1273e+00 -3.1318e+00 -1.0035e+00 +9.1280e-02 +1.6752e-01 -8.8932e-01 -4.1411e+00 +5.7994e-01 -9.3723e-01 +6.7192e-01 +3.9170e+00 +8.2932e-01 +2.4450e-01
% function evaluation | noise-free fitness - Fopt (7.766000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.320672460e+03 +7.320672460e+03 +7.398332460e+03 +7.398332460e+03 -1.1824e+00 +2.7225e+00 -1.8618e+00 +9.8562e-01 +4.9506e+00 +1.2998e+00 +4.0289e+00 +3.3674e+00 +3.2557e-01 -4.7094e+00 +4.8421e+00 -3.5647e+00 -3.8173e+00 -1.4709e+00 +1.8052e+00 -3.6570e+00 +2.1391e+00 -2.1198e+00 +1.8704e+00 -1.1166e+00
22 +3.656341670e+03 +3.656341670e+03 +3.734001670e+03 +3.734001670e+03 -1.1895e+00 +2.7443e+00 -1.8543e+00 +9.6689e-01 +4.6494e+00 +1.2644e+00 +3.2440e+00 +3.3889e+00 +1.9123e-01 -4.6769e+00 +3.8480e+00 -3.5121e+00 -3.8156e+00 -1.5012e+00 +1.8559e+00 -3.6047e+00 +1.1391e+00 -2.0991e+00 +1.8500e+00 -1.0731e+00
43 +8.067282513e+02 +8.067282513e+02 +8.843882513e+02 +8.843882513e+02 -1.2260e+00 +2.8466e+00 -1.8138e+00 +8.7953e-01 +2.2530e+00 +1.0864e+00 +1.4676e+00 +3.4775e+00 -1.5144e+00 -4.4991e+00 +1.3369e+00 -3.3146e+00 -3.8042e+00 -1.7085e+00 +2.1642e+00 -3.4337e+00 -2.8343e+00 -2.0458e+00 +1.6262e+00 -1.0855e+00
337 +6.202513481e+02 +6.202513481e+02 +6.979113481e+02 +6.979113481e+02 -1.5537e+00 +2.9425e+00 -1.4389e+00 +7.2745e-01 +3.1653e+00 +1.0297e+00 +1.0305e+00 +3.4774e+00 -1.5817e+00 -4.4787e+00 +2.4386e+00 -3.9263e+00 -3.5003e+00 -6.4820e-01 +2.3828e+00 -3.9972e+00 -1.0772e+00 -2.0307e+00 +1.2103e+00 -1.0813e+00
7645 +3.964199658e+02 +3.964199658e+02 +4.740799658e+02 +4.740799658e+02 -1.5698e+00 +1.9931e+00 -3.9401e-01 -5.9151e-01 +1.6330e+00 -1.8893e+00 -6.7359e-01 -1.7817e+00 -3.5162e+00 +1.3922e+00 -2.7211e+00 +1.5359e-01 +2.1581e-01 -3.4969e-01 +6.5466e-01 +2.2427e+00 -1.0379e-01 -4.8938e+00 +1.5280e+00 -3.1371e+00
% function evaluation | noise-free fitness - Fopt (1.156800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
