% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.113498762e+04 +1.113498762e+04 +1.067289762e+04 +1.067289762e+04 +3.4257e+00 -4.2808e+00 +1.1672e+00 +7.6765e-02 -4.5812e+00 +1.9313e+00 +3.0905e+00 -4.8203e+00 -4.5292e+00 -1.3574e+00 -1.1319e+00 -6.3881e-01 +1.7026e+00 -2.3418e+00 +4.5884e+00 -3.8940e+00 +2.2007e+00 -2.5055e+00 +4.0369e+00 -1.4924e+00
22 +5.234251789e+03 +5.234251789e+03 +4.772161789e+03 +4.772161789e+03 +3.4811e+00 -4.2895e+00 +1.2185e+00 +4.8367e-02 -4.5311e+00 +1.9684e+00 +2.1720e+00 -4.8553e+00 -4.5579e+00 -1.4038e+00 -1.0736e+00 -6.3829e-01 +1.0763e+00 -2.3542e+00 +3.7173e+00 -3.9027e+00 +1.2007e+00 -2.5410e+00 +3.0665e+00 -1.3655e+00
43 +9.976872857e+02 +9.976872857e+02 +5.355972857e+02 +5.355972857e+02 +3.2081e+00 -4.3130e+00 +1.3271e+00 -2.5590e-02 -4.4106e+00 +2.0586e+00 +1.0601e+00 -4.9361e+00 -4.6321e+00 -1.5242e+00 -9.7577e-01 -6.3735e-01 -1.2756e+00 -2.4002e+00 +1.6697e+00 -3.9656e+00 +2.8191e-01 -2.6270e+00 +1.3449e+00 -1.2511e+00
20455 +6.264474748e+02 +6.264474748e+02 +1.643574748e+02 +1.643574748e+02 +1.3370e+00 -2.3286e+00 +1.9470e+00 -1.3562e-01 +1.4656e+00 +4.9472e+00 -2.9751e-01 +2.5924e+00 +1.1363e+00 +6.5932e-01 +1.2704e+00 -2.3851e+00 -2.8197e+00 +1.1049e+00 +1.5965e+00 -2.4702e+00 -4.2359e+00 +1.2569e+00 +2.0911e+00 -2.2586e+00
% function evaluation | noise-free fitness - Fopt (7.766000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.682602279e+03 +6.682602279e+03 +6.760262279e+03 +6.760262279e+03 +4.4007e-01 +3.1737e+00 +2.2076e-01 -3.4581e+00 +4.6629e+00 -4.5646e+00 +5.1781e-01 +3.9226e+00 -3.6691e+00 +2.1144e+00 +3.0270e+00 -2.8749e+00 -3.6988e+00 +5.7952e-01 +4.8151e+00 +1.7099e+00 +1.4355e+00 +1.4047e+00 +4.0829e+00 +2.7382e-02
22 +3.989573484e+03 +3.989573484e+03 +4.067233484e+03 +4.067233484e+03 +4.4015e-01 +3.1599e+00 +2.3800e-01 -3.4652e+00 +4.3222e+00 -4.5591e+00 +5.2446e-01 +3.9378e+00 -3.6477e+00 +2.0924e+00 +2.8474e+00 -2.8931e+00 -3.6721e+00 +5.7241e-01 +3.8151e+00 +1.7199e+00 +1.2245e+00 +1.4186e+00 +3.9786e+00 +5.1428e-02
43 +1.038819772e+03 +1.038819772e+03 +1.116479772e+03 +1.116479772e+03 +4.4071e-01 +3.0639e+00 +3.5325e-01 -3.5154e+00 +2.5551e+00 -4.5187e+00 +5.6507e-01 +4.0407e+00 -3.5024e+00 +1.9234e+00 +2.3487e+00 -3.0162e+00 -3.4842e+00 +5.4122e-01 -1.9781e+00 +1.7849e+00 -1.7309e+00 +1.5268e+00 +3.1457e+00 +2.0626e-01
211 +9.862797170e+02 +9.862797170e+02 +1.063939717e+03 +1.063939717e+03 +4.4084e-01 +3.0382e+00 +3.5152e-01 -3.5359e+00 +2.5436e+00 -4.4939e+00 +5.7227e-01 +4.0369e+00 -3.5095e+00 +1.9182e+00 +2.3792e+00 -2.9829e+00 -3.5227e+00 +5.8536e-01 -1.7663e+00 +1.7773e+00 -1.6202e+00 +1.4968e+00 +3.1511e+00 +9.9312e-02
6133 +6.166815621e+02 +6.166815621e+02 +6.943415621e+02 +6.943415621e+02 -2.4294e+00 -2.7548e+00 +1.6684e+00 +4.8726e+00 +1.9437e+00 -1.4675e+00 +3.2250e-01 +1.4645e+00 -2.4437e+00 -4.9725e+00 +7.5507e-01 -2.6090e+00 -2.2950e+00 -6.7033e-01 -2.8462e+00 +8.8240e-01 -3.4771e+00 +1.3177e-01 +1.2346e+00 -3.7817e+00
% function evaluation | noise-free fitness - Fopt (1.156800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.167317102e+03 +1.167317102e+03 +1.282997102e+03 +1.282997102e+03 -4.3931e+00 +3.4797e+00 -4.6957e+00 +3.6255e+00 -1.2905e+00 +3.4303e+00 +4.5404e+00 -3.0702e+00 -3.4421e+00 -1.2359e+00 -1.3609e+00 -8.8356e-01 -8.6813e-01 -2.6643e+00 +2.0804e+00 +1.6603e+00 -5.3955e-01 +3.7067e+00 +2.7246e+00 +2.4628e+00
442 +9.830116447e+02 +9.830116447e+02 +1.098691645e+03 +1.098691645e+03 -4.2948e+00 +3.5653e+00 -4.6593e+00 +3.7509e+00 -1.2037e+00 +3.2289e+00 +4.5138e+00 -3.0480e+00 -3.2336e+00 -1.2702e+00 -1.1876e+00 -8.4925e-01 -9.4689e-01 -2.5844e+00 +2.1973e+00 +1.6712e+00 -6.5731e-01 +3.8833e+00 +2.7473e+00 +2.3711e+00
56722 +5.997718701e+02 +5.997718701e+02 +7.154518701e+02 +7.154518701e+02 -3.0040e+00 -4.8526e+00 -3.3327e+00 +3.0429e+00 +3.5706e+00 -1.9054e+00 +7.3834e-01 +2.8359e+00 +1.7160e+00 -3.1001e+00 -3.9255e+00 -2.5721e+00 -3.6793e-01 -2.9765e+00 +1.7978e+00 -8.4491e-01 +1.9088e-01 +8.2772e-01 +2.7472e+00 -2.7377e-01
% function evaluation | noise-free fitness - Fopt (-3.710000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.513095478e+03 +1.513095478e+03 +1.509385478e+03 +1.509385478e+03 +4.4509e+00 +4.7396e+00 -3.5938e+00 -1.3919e+00 +3.9520e+00 -1.8869e+00 -4.2670e+00 -3.3323e-01 +1.4239e+00 -4.7743e-02 -3.4751e+00 +3.9389e+00 +1.2160e+00 -4.7774e+00 +3.2777e-01 +1.6746e+00 -4.5362e+00 +7.4135e-01 +3.9993e+00 -1.4970e+00
43 +9.217221197e+02 +9.217221197e+02 +9.180121197e+02 +9.180121197e+02 +3.4049e+00 +4.9110e+00 -3.7128e+00 -1.1644e+00 +2.3941e+00 -1.5851e+00 -3.9140e+00 -6.1125e-01 +1.7523e+00 +1.7046e-01 -3.2393e+00 +4.0653e+00 +1.0583e+00 -4.8849e+00 +6.8797e-01 +9.9283e-01 -3.9921e+00 +7.0852e-01 +2.4320e+00 -1.4606e+00
1513 +6.094186988e+02 +6.094186988e+02 +6.057086988e+02 +6.057086988e+02 +7.0294e-01 -2.2798e+00 +3.3808e-01 -1.4723e-01 +1.6260e+00 +2.4547e+00 -1.9020e+00 -3.6288e+00 -1.2490e+00 -3.5268e-01 +1.3696e+00 +3.1438e+00 +3.3258e+00 -3.3611e+00 -3.1606e+00 +2.5288e+00 +1.6615e+00 +1.5853e+00 +3.4310e+00 -3.3099e+00
1975 +3.880982448e+02 +3.880982448e+02 +3.843882448e+02 +3.843882448e+02 +1.2348e+00 -2.2863e+00 +1.4595e-01 -1.4448e-01 +2.4362e+00 +1.4571e+00 -1.8866e+00 -3.8918e+00 -1.2025e+00 +6.1155e-01 +9.1930e-01 +3.0760e+00 +3.3133e+00 -3.6643e+00 -3.2082e+00 -3.9753e-01 +1.6574e+00 +1.2315e+00 +3.6316e+00 -2.9281e+00
% function evaluation | noise-free fitness - Fopt (1.321800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.830238238e+03 +9.830238238e+03 +9.962418238e+03 +9.962418238e+03 +4.6054e+00 -1.6922e+00 +7.6799e-01 -4.9190e+00 -4.5138e-01 -9.7379e-01 -1.3018e+00 -5.9920e-01 -4.4788e+00 -4.6843e+00 +4.1579e+00 -3.0138e+00 -1.3148e+00 -6.0460e-02 +3.7099e+00 +4.7745e+00 +4.3425e+00 +3.6245e-01 -1.6311e+00 +4.4307e+00
22 +4.896122880e+03 +4.896122880e+03 +5.028302880e+03 +5.028302880e+03 +4.7432e+00 -1.6577e+00 +7.5963e-01 -4.9036e+00 -4.7881e-01 -1.0146e+00 -1.2621e+00 -6.0415e-01 -4.4628e+00 -4.6920e+00 +3.2282e+00 -2.9582e+00 -1.3473e+00 +2.5527e-02 +3.9229e+00 +4.6982e+00 +3.3425e+00 +3.8740e-01 -1.6972e+00 +4.3224e+00
43 +2.238231189e+03 +2.238231189e+03 +2.370411189e+03 +2.370411189e+03 +4.8811e+00 -1.6232e+00 +7.5127e-01 -4.8883e+00 -5.0624e-01 -1.0555e+00 -1.2225e+00 -6.0911e-01 -4.4468e+00 -4.6997e+00 +2.2986e+00 -2.9027e+00 -1.3798e+00 +1.1151e-01 +4.1360e+00 +4.6219e+00 +2.3425e+00 +4.1235e-01 -1.7633e+00 +4.2141e+00
106 +1.075057697e+03 +1.075057697e+03 +1.207237697e+03 +1.207237697e+03 +2.9427e+00 -1.4006e+00 +7.1953e-01 -4.7469e+00 -7.1216e-01 -1.0939e+00 -1.1486e+00 -6.2248e-01 -4.2978e+00 -4.7721e+00 -1.6983e-01 -2.7988e+00 -1.6244e+00 -2.0212e-02 +4.3561e+00 +4.2810e+00 -3.8265e-01 +9.1492e-01 -1.3232e+00 +4.3508e+00
169 +9.902565165e+02 +9.902565165e+02 +1.122436517e+03 +1.122436517e+03 +2.7888e+00 -1.4101e+00 +7.3054e-01 -4.5612e+00 -6.7599e-01 -1.0490e+00 -1.2163e+00 -6.1273e-01 -4.0840e+00 -4.9282e+00 -2.4442e-01 -2.8894e+00 -1.4655e+00 +5.2462e-02 +4.3068e+00 +4.4148e+00 -4.2082e-01 +9.0142e-01 -1.3815e+00 +4.2801e+00
21883 +5.843592199e+02 +5.843592199e+02 +7.165392199e+02 +7.165392199e+02 +2.7265e+00 +3.0666e+00 -6.2742e-02 -1.7988e-01 -4.8817e+00 +5.4559e-01 -2.0388e+00 +3.6175e+00 +7.0194e-01 +2.6649e+00 +2.2616e-01 +1.0382e+00 -7.5720e-01 +7.5756e-01 -1.2952e+00 +1.8350e+00 +5.1204e-01 +5.0714e+00 -3.2362e-01 +8.9062e-01
123271 +3.681806741e+02 +3.681806741e+02 +5.003606741e+02 +5.003606741e+02 +7.9858e-01 +4.2460e+00 +2.5452e+00 -1.0717e+00 +2.4351e+00 +2.6062e+00 -1.1767e+00 +2.5921e+00 +1.1071e+00 -1.8849e+00 +3.1855e-01 +3.1095e+00 -4.9284e-02 +3.2182e+00 +3.5999e+00 -2.8259e+00 +1.2678e+00 +4.0753e+00 +5.6507e-01 +1.3916e+00
% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.660635805e+03 +8.660635805e+03 +8.198545805e+03 +8.198545805e+03 -3.7578e+00 -1.7468e+00 +4.4536e+00 -9.1150e-01 +3.0330e+00 +1.6668e-01 -4.0930e+00 +2.6845e+00 -5.0602e-01 -4.7221e+00 -1.7904e+00 -2.0514e+00 +5.3712e-02 +2.1079e+00 +2.0361e+00 -4.8148e-02 +3.3232e+00 -3.1976e+00 -3.5226e+00 -4.2837e+00
22 +5.012542556e+03 +5.012542556e+03 +4.550452556e+03 +4.550452556e+03 -3.7761e+00 -1.7165e+00 +4.4244e+00 -8.9327e-01 +2.9945e+00 +1.4278e-01 -4.0850e+00 +2.6310e+00 -5.3272e-01 -4.6821e+00 -1.7366e+00 -2.0956e+00 +1.0478e-01 +2.0850e+00 +1.7275e+00 -4.3592e-02 +2.3232e+00 -3.1016e+00 -3.5453e+00 -4.1707e+00
43 +1.852829895e+03 +1.852829895e+03 +1.390739895e+03 +1.390739895e+03 -3.9228e+00 -1.4688e+00 +2.8190e+00 -7.5039e-01 +2.7598e+00 -4.9793e-02 -4.0247e+00 +2.2917e+00 -7.5517e-01 -4.3785e+00 -1.3053e+00 -2.3928e+00 +4.7975e-01 +1.9319e+00 -6.5464e-01 +3.9809e-03 -5.3005e+00 -2.4077e+00 -3.6983e+00 -3.4218e+00
1744 +1.141970740e+03 +1.141970740e+03 +6.798807395e+02 +6.798807395e+02 +1.4247e+00 +2.2123e+00 +2.6987e+00 +4.8118e+00 -1.3653e+00 -4.5473e+00 +2.0945e-03 -1.2359e-01 -5.8893e-01 +1.8750e+00 +2.6066e+00 -1.7058e+00 -4.1377e+00 +5.1721e-01 -3.8769e+00 -1.7176e+00 -3.0873e+00 +3.2273e+00 -3.8333e+00 +2.6971e+00
1891 +9.997370892e+02 +9.997370892e+02 +5.376470892e+02 +5.376470892e+02 +1.3486e+00 +2.2976e+00 +1.2006e+00 +4.8704e+00 -1.5758e+00 -4.6398e+00 -1.2684e-01 -9.5572e-02 -7.1816e-01 +1.8972e+00 +2.1995e+00 -2.1165e+00 -4.1775e+00 +3.3190e-01 -3.8833e+00 -1.7199e+00 -3.0821e+00 +3.6931e+00 -3.8995e+00 +2.9649e+00
