% function evaluation | noise-free fitness - Fopt (1.238300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.406481180e+05 +5.406481180e+05 +5.407719480e+05 +5.407719480e+05 -4.0623e+00 +1.9759e-01 -1.6021e+00 +3.1205e+00 +1.5122e+00 -4.9314e+00 -4.3294e+00 -3.0331e+00 -1.5588e-01 +1.1378e+00 -4.3952e+00 -3.7183e+00 +2.3776e+00 -3.7624e+00 +1.7908e+00 -5.1241e-01 -3.3711e+00 +1.0783e+00 +3.0016e+00 -1.1832e+00
22 +2.473724030e+05 +2.473724030e+05 +2.474962330e+05 +2.474962330e+05 -3.4549e+00 +5.5462e-01 -1.0114e+00 +2.8907e+00 +1.3458e+00 -3.9314e+00 -3.8657e+00 -2.6225e+00 -3.2576e-01 +1.0796e+00 -4.2130e+00 -3.5608e+00 +1.8243e+00 -3.4900e+00 +1.7876e+00 -4.6490e-01 -2.4768e+00 +9.2877e-01 +3.1371e+00 -9.3420e-01
43 +8.668014139e+04 +8.668014139e+04 +8.680397139e+04 +8.680397139e+04 -2.7220e+00 +9.0759e-01 -4.8123e-01 +2.7062e+00 +1.2176e+00 -2.8058e+00 -3.2262e+00 -2.2767e+00 -3.9779e-01 +1.2392e+00 -3.6772e+00 -3.2853e+00 +1.2990e+00 -2.8422e+00 +1.6503e+00 -5.2561e-01 -1.4953e+00 +7.4711e-01 +3.0768e+00 -7.8022e-01
64 +3.430737765e+04 +3.430737765e+04 +3.443120765e+04 +3.443120765e+04 -2.1378e+00 +1.1410e+00 -1.0693e-01 +2.5264e+00 +1.1857e+00 -1.9714e+00 -2.6855e+00 -2.1026e+00 -3.5976e-01 +1.3529e+00 -3.2284e+00 -3.0540e+00 +8.9720e-01 -2.3297e+00 +1.4771e+00 -5.9584e-01 -8.2694e-01 +6.4356e-01 +2.9276e+00 -7.2556e-01
85 +1.433707064e+04 +1.433707064e+04 +1.446090064e+04 +1.446090064e+04 -1.6305e+00 +1.3073e+00 +1.9063e-01 +2.3465e+00 +1.1950e+00 -1.2828e+00 -2.1959e+00 -2.0023e+00 -2.8483e-01 +1.4276e+00 -2.8253e+00 -2.8544e+00 +5.4900e-01 -1.8878e+00 +1.2928e+00 -6.6951e-01 -3.1470e-01 +5.7860e-01 +2.7523e+00 -7.1202e-01
106 +7.166114206e+03 +7.166114206e+03 +7.289944206e+03 +7.289944206e+03 -1.2241e+00 +1.4130e+00 +4.0840e-01 +2.1854e+00 +1.2194e+00 -7.5054e-01 -1.7869e+00 -1.9468e+00 -2.0768e-01 +1.4648e+00 -2.4897e+00 -2.6974e+00 +2.6051e-01 -1.5289e+00 +1.1257e+00 -7.3689e-01 +5.3888e-02 +5.4169e-01 +2.5873e+00 -7.2054e-01
127 +4.469348989e+03 +4.469348989e+03 +4.593178989e+03 +4.593178989e+03 -8.9967e-01 +1.4765e+00 +5.6440e-01 +2.0430e+00 +1.2432e+00 -3.3424e-01 -1.4433e+00 -1.9135e+00 -1.4096e-01 +1.4739e+00 -2.2090e+00 -2.5730e+00 +1.3124e-02 -1.2307e+00 +9.8063e-01 -7.9661e-01 +3.2183e-01 +5.2132e-01 +2.4392e+00 -7.4002e-01
148 +3.382679877e+03 +3.382679877e+03 +3.506509877e+03 +3.506509877e+03 -6.4398e-01 +1.5104e+00 +6.7043e-01 +1.9181e+00 +1.2582e+00 -8.1417e-03 -1.1545e+00 -1.8906e+00 -8.9441e-02 +1.4622e+00 -1.9748e+00 -2.4738e+00 -2.0398e-01 -9.7899e-01 +8.5894e-01 -8.4837e-01 +5.1518e-01 +5.1075e-01 +2.3084e+00 -7.6498e-01
190 +2.471552902e+03 +2.471552902e+03 +2.595382902e+03 +2.595382902e+03 -2.3306e-01 +1.5273e+00 +7.8910e-01 +1.6773e+00 +1.2491e+00 +5.2687e-01 -6.2773e-01 -1.8467e+00 -2.3937e-02 +1.3889e+00 -1.5566e+00 -2.3033e+00 -6.3482e-01 -5.0694e-01 +6.4959e-01 -9.4472e-01 +7.8791e-01 +5.0218e-01 +2.0550e+00 -8.2941e-01
274 +1.313514279e+03 +1.313514279e+03 +1.437344279e+03 +1.437344279e+03 +2.7032e-01 +1.4420e+00 +6.7295e-01 +1.1006e+00 +9.2757e-01 +1.3249e+00 +4.1062e-01 -1.6816e+00 -1.0545e-01 +1.0495e+00 -8.2896e-01 -1.9931e+00 -1.6022e+00 +4.8675e-01 +3.5762e-01 -1.1432e+00 +9.5393e-01 +4.7922e-01 +1.4651e+00 -1.0202e+00
