% function evaluation | noise-free fitness - Fopt (-5.235000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.235139152e+02 +9.235139152e+02 +8.711639152e+02 +8.711639152e+02 -3.4035e-01 -2.9667e+00 -1.2450e+00 -4.1303e-01 +2.0918e+00 +4.8170e+00 -1.0115e+00 -1.8999e+00 -3.5770e+00 +3.2982e+00 -5.2586e-01 -9.9911e-01 +4.5866e+00 +1.1663e+00 -2.1294e+00 -2.3235e+00 +1.0663e+00 -1.8548e+00 -5.9355e-01 +3.8350e+00
22 +4.819321601e+02 +4.819321601e+02 +4.295821601e+02 +4.295821601e+02 -1.2853e-01 -2.7854e+00 -5.9081e-01 -6.6282e-01 +2.3546e+00 +4.6636e+00 -1.3905e+00 -2.1298e+00 -2.9511e+00 +2.6895e+00 -1.7915e-01 -4.3491e-01 +3.5866e+00 +1.0333e+00 -1.4705e+00 -1.9629e+00 +7.3093e-01 -1.8981e+00 -9.7521e-02 +3.0750e+00
43 +9.110682688e+01 +9.110682688e+01 +3.875682688e+01 +3.875682688e+01 +2.5183e-01 -2.4267e+00 +6.0610e-01 -1.1022e+00 +2.7994e+00 +4.3807e+00 -2.0826e+00 -2.5545e+00 -1.7511e+00 +1.5414e+00 +4.5706e-01 +6.0155e-01 +1.7386e+00 +7.9573e-01 -2.8814e-01 -1.3241e+00 +9.5879e-02 -1.9713e+00 +8.1973e-01 +1.6421e+00
64 +5.044180826e+01 +5.044180826e+01 -1.908191740e+00 -1.908191740e+00 +3.4838e-01 -2.2241e+00 +9.8298e-01 -1.1831e+00 +2.8193e+00 +4.2838e+00 -2.2958e+00 -2.7009e+00 -1.1868e+00 +1.0613e+00 +6.6512e-01 +9.4420e-01 +1.0945e+00 +7.3806e-01 +9.1056e-03 -1.1905e+00 -1.7838e-01 -1.9743e+00 +1.1435e+00 +1.0463e+00
85 +3.539915658e+01 +3.539915658e+01 -1.695084342e+01 -1.695084342e+01 +3.6167e-01 -2.0026e+00 +1.1530e+00 -1.1420e+00 +2.6481e+00 +4.2226e+00 -2.3806e+00 -2.7817e+00 -6.4027e-01 +6.4833e-01 +7.7795e-01 +1.1342e+00 +7.1145e-01 +7.2872e-01 +4.5073e-02 -1.2167e+00 -4.2575e-01 -1.9471e+00 +1.3549e+00 +5.5027e-01
106 +2.317023680e+01 +2.317023680e+01 -2.917976320e+01 -2.917976320e+01 +3.4292e-01 -1.6860e+00 +1.2807e+00 -1.0341e+00 +2.2923e+00 +4.1397e+00 -2.4224e+00 -2.8461e+00 +1.6046e-01 +4.9857e-02 +9.0213e-01 +1.3435e+00 +3.1497e-01 +7.2052e-01 -1.7906e-02 -1.3110e+00 -7.9716e-01 -1.8926e+00 +1.6263e+00 -1.3188e-01
148 +1.428451208e+01 +1.428451208e+01 -3.806548792e+01 -3.806548792e+01 +2.8300e-01 -1.1781e+00 +1.4134e+00 -8.6395e-01 +1.5321e+00 +3.9429e+00 -2.4379e+00 -2.8428e+00 +1.5970e+00 -1.0913e+00 +1.1188e+00 +1.6824e+00 -1.8836e-01 +6.4321e-01 -1.4500e-01 -1.4275e+00 -1.5585e+00 -1.7491e+00 +2.1729e+00 -1.3722e+00
232 +9.038679766e+00 +9.038679766e+00 -4.331132023e+01 -4.331132023e+01 -6.9510e-03 -1.0583e+00 +1.4274e+00 -1.0240e+00 +1.4824e-01 +3.5283e+00 -2.6860e+00 -2.1886e+00 +2.2060e+00 -1.7529e+00 +1.2795e+00 +1.4119e+00 +5.8357e-01 +2.9322e-01 -3.9336e-01 -1.1574e+00 -2.3882e+00 -9.0101e-01 +2.8201e+00 -2.3048e+00
274 +4.988917337e+00 +4.988917337e+00 -4.736108266e+01 -4.736108266e+01 -7.0312e-01 -1.4028e+00 +1.2856e+00 -1.6876e+00 -2.5536e+00 +2.7407e+00 -3.3370e+00 -3.7397e-01 +1.8958e+00 -1.9095e+00 +1.4604e+00 +1.1923e-01 +3.4848e+00 -5.1263e-01 -1.0432e+00 -2.7455e-01 -3.4538e+00 +1.2627e+00 +3.7135e+00 -3.0930e+00
358 +3.936738558e+00 +3.936738558e+00 -4.841326144e+01 -4.841326144e+01 -6.7028e-01 -1.3891e+00 +1.3983e+00 -1.7871e+00 -2.1616e+00 +2.8633e+00 -3.3773e+00 -3.5235e-01 +1.8891e+00 -1.6877e+00 +1.5041e+00 +5.2139e-02 +3.5686e+00 -5.0812e-01 -1.1201e+00 -2.1489e-01 -3.0416e+00 +1.2137e+00 +3.5111e+00 -2.9134e+00
