% function evaluation | noise-free fitness - Fopt (7.627000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.633671289e+05 +6.633671289e+05 +6.634433989e+05 +6.634433989e+05 +2.5144e+00 -3.6675e+00 +3.1566e+00 -4.8112e+00 +3.4981e+00 +2.2157e+00 -1.9835e+00 +7.6819e-01 +2.5579e+00 -4.2324e+00 +1.2946e+00 -3.7446e+00 +3.2289e+00 -3.8676e+00 -4.1551e+00 -4.0927e+00 -1.1838e+00 +1.6409e+00 -1.7423e+00 +3.9660e+00
43 +4.975018828e+02 +4.975018828e+02 +5.737718828e+02 +5.737718828e+02 +2.5684e+00 -3.8875e+00 +2.6566e+00 -4.9729e+00 +3.5096e+00 +2.3233e+00 -1.9874e+00 +7.5235e-01 +2.7158e+00 -4.2518e+00 +1.4294e+00 -3.3236e+00 +3.4822e+00 -3.5858e+00 -4.2652e+00 -4.1378e+00 -1.1127e+00 +1.5728e+00 -1.5943e+00 +4.0942e+00
64 +3.280498940e+02 +3.280498940e+02 +4.043198940e+02 +4.043198940e+02 +2.5676e+00 -3.8845e+00 +2.6634e+00 -4.9707e+00 +3.5094e+00 +2.3218e+00 -1.9874e+00 +7.5256e-01 +2.7137e+00 -4.2515e+00 +1.4275e+00 -3.3293e+00 +3.4788e+00 -3.5896e+00 -4.2637e+00 -4.1372e+00 -1.1136e+00 +1.5737e+00 -1.5963e+00 +4.0925e+00
295 +1.499077906e+02 +1.499077906e+02 +2.261777906e+02 +2.261777906e+02 +1.5604e+00 -3.5169e+00 +1.0199e+00 -2.4740e+00 +1.4239e+00 +8.9994e-01 -1.9224e+00 +1.1548e+00 +1.5286e+00 -2.0058e+00 +1.7935e+00 -2.8889e+00 +9.9562e-01 -1.6376e+00 -3.3714e+00 -3.1747e+00 +1.6094e-02 +1.3931e-01 -3.4463e-01 +2.1827e+00
316 +8.086078060e+01 +8.086078060e+01 +1.571307806e+02 +1.571307806e+02 -1.4279e+00 -2.4253e+00 -3.8527e+00 +4.9332e+00 -4.7628e+00 -3.3187e+00 -1.7296e+00 +2.3480e+00 -1.9879e+00 +4.6563e+00 +2.8781e+00 -1.5852e+00 -6.3721e+00 +4.1513e+00 -7.2363e-01 -3.1912e-01 +3.3669e+00 -4.1155e+00 +3.3675e+00 -3.4833e+00
337 +1.378999524e+01 +1.378999524e+01 +9.005999524e+01 +9.005999524e+01 -2.3597e-01 -2.8607e+00 -1.9092e+00 +1.9787e+00 -2.2951e+00 -1.6360e+00 -1.8065e+00 +1.8720e+00 -5.8532e-01 +1.9990e+00 +2.4455e+00 -2.1052e+00 -3.4334e+00 +1.8422e+00 -1.7797e+00 -1.4581e+00 +2.0304e+00 -2.4184e+00 +1.8868e+00 -1.2233e+00
841 +7.053347322e+00 +7.053347322e+00 +8.332334732e+01 +8.332334732e+01 -5.0445e-01 -3.0900e+00 -1.8375e+00 +1.9634e+00 -2.3776e+00 -1.9936e+00 -1.2744e+00 +1.7802e+00 -1.0774e+00 +2.5355e+00 +2.6072e+00 -2.1914e+00 -3.4731e+00 +2.6423e+00 -1.5709e+00 -1.5853e+00 +1.8596e+00 -2.8653e+00 +1.6511e+00 -1.5451e+00
862 +5.491034808e+00 +5.491034808e+00 +8.176103481e+01 +8.176103481e+01 -4.8634e-01 -3.1513e+00 -1.7228e+00 +1.8048e+00 -2.2611e+00 -1.9645e+00 -1.1896e+00 +1.7397e+00 -1.0855e+00 +2.4847e+00 +2.6113e+00 -2.2334e+00 -3.3245e+00 +2.6539e+00 -1.5918e+00 -1.6667e+00 +1.7604e+00 -2.8503e+00 +1.5335e+00 -1.4794e+00
883 +3.768349368e+00 +3.768349368e+00 +8.003834937e+01 +8.003834937e+01 -5.4377e-01 -3.3426e+00 -1.4859e+00 +1.5055e+00 -2.0730e+00 -2.0317e+00 -8.5201e-01 +1.6335e+00 -1.2674e+00 +2.5724e+00 +2.6737e+00 -2.3404e+00 -3.0626e+00 +2.9467e+00 -1.5597e+00 -1.8607e+00 +1.5187e+00 -2.9739e+00 +1.2356e+00 -1.4669e+00
904 +2.199875464e+00 +2.199875464e+00 +7.846987546e+01 +7.846987546e+01 -6.1053e-01 -3.5423e+00 -1.2459e+00 +1.2049e+00 -1.8871e+00 -2.1113e+00 -4.9527e-01 +1.5238e+00 -1.4665e+00 +2.6788e+00 +2.7419e+00 -2.4507e+00 -2.8012e+00 +3.2676e+00 -1.5204e+00 -2.0596e+00 +1.2705e+00 -3.1132e+00 +9.2879e-01 -1.4652e+00
