% function evaluation | noise-free fitness - Fopt (7.627000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.705784191e+07 +3.705784191e+07 +3.705791818e+07 +3.705791818e+07 +3.5432e+00 +2.3448e+00 -2.7564e+00 -4.2512e+00 +3.7242e+00 +2.0350e+00 +1.4497e+00 +2.2491e+00 +3.5466e+00 -3.9314e+00 -4.8649e+00 +3.9692e+00 +5.5201e-01 +3.8394e+00 -1.3578e+00 +3.5732e+00 +1.2398e+00 -4.1101e+00 +9.8642e-01 +4.7851e+00
22 +1.831947332e+07 +1.831947332e+07 +1.831954959e+07 +1.831954959e+07 +3.4351e+00 +2.7848e+00 -1.7564e+00 -3.9278e+00 +3.7011e+00 +1.8197e+00 +1.4575e+00 +2.2808e+00 +3.2307e+00 -3.8926e+00 -5.1345e+00 +3.1270e+00 +4.5259e-02 +3.2759e+00 -1.1376e+00 +3.6634e+00 +1.0976e+00 -3.9739e+00 +6.9037e-01 +4.5286e+00
43 +5.549486233e+06 +5.549486233e+06 +5.549562503e+06 +5.549562503e+06 +3.3095e+00 +3.2964e+00 -5.9373e-01 -3.5518e+00 +3.6742e+00 +1.5695e+00 +1.4665e+00 +2.3176e+00 +2.8634e+00 -3.8474e+00 -5.4479e+00 +2.1478e+00 -5.4394e-01 +2.6206e+00 -8.8155e-01 +3.7683e+00 +9.3220e-01 -3.8155e+00 +3.4615e-01 +4.2304e+00
85 +1.006148972e+03 +1.006148972e+03 +1.082418972e+03 +1.082418972e+03 +3.1698e+00 +3.8651e+00 +6.9896e-01 -3.1337e+00 +3.6443e+00 +1.2913e+00 +1.4766e+00 +2.3586e+00 +2.4551e+00 -3.7972e+00 -5.7964e+00 +1.0592e+00 -1.1990e+00 +1.8921e+00 -5.9687e-01 +3.8850e+00 +7.4831e-01 -3.6394e+00 -3.6555e-02 +3.8989e+00
106 +3.548170645e+02 +3.548170645e+02 +4.310870645e+02 +4.310870645e+02 +3.1711e+00 +3.8598e+00 +6.8702e-01 -3.1375e+00 +3.6446e+00 +1.2938e+00 +1.4765e+00 +2.3582e+00 +2.4589e+00 -3.7976e+00 -5.7932e+00 +1.0693e+00 -1.1930e+00 +1.8988e+00 -5.9950e-01 +3.8839e+00 +7.5001e-01 -3.6410e+00 -3.3020e-02 +3.9020e+00
589 +1.113536037e+02 +1.113536037e+02 +1.876236037e+02 +1.876236037e+02 +4.5835e-01 -4.1233e-01 -7.1663e-01 -9.5934e-01 +9.4847e-01 -3.5229e-01 -1.2196e+00 +1.2922e+00 +1.0381e+00 -1.7378e+00 -1.0593e+00 -7.9500e-01 -2.0847e+00 +2.6053e+00 -5.3461e-01 +1.3968e+00 +4.7110e-01 -2.5392e+00 +4.8189e-01 -7.8049e-01
610 +5.581241471e+01 +5.581241471e+01 +1.320824147e+02 +1.320824147e+02 -1.2855e+00 -3.1557e+00 -1.6140e+00 +4.4199e-01 -7.8430e-01 -1.4112e+00 -2.9522e+00 +6.0726e-01 +1.2350e-01 -4.1387e-01 +1.9816e+00 -1.9970e+00 -2.6601e+00 +3.0567e+00 -4.9187e-01 -2.0108e-01 +2.9119e-01 -1.8305e+00 +8.1140e-01 -3.7909e+00
673 +3.948348427e+01 +3.948348427e+01 +1.157534843e+02 +1.157534843e+02 -6.3566e-01 -2.1322e+00 -1.2775e+00 -7.9734e-02 -1.3843e-01 -1.0169e+00 -2.3064e+00 +8.6264e-01 +4.6378e-01 -9.0729e-01 +8.4748e-01 -1.5506e+00 -2.4466e+00 +2.8873e+00 -5.0737e-01 +3.9474e-01 +3.5797e-01 -2.0944e+00 +6.8798e-01 -2.6692e+00
1513 +1.965848962e+01 +1.965848962e+01 +9.592848962e+01 +9.592848962e+01 -1.2374e+00 -3.1219e+00 -1.5544e+00 +3.8696e-01 -1.0254e+00 -1.6239e+00 -2.4617e+00 +6.5566e-01 -1.7748e-01 +3.0382e-01 +2.0138e+00 -2.0823e+00 -2.7836e+00 +3.2151e+00 -8.1552e-01 -5.1267e-01 +6.5942e-01 -2.1864e+00 +7.9260e-01 -3.5496e+00
1555 +7.906761124e+00 +7.906761124e+00 +8.417676112e+01 +8.417676112e+01 -1.4322e+00 -3.5381e+00 -1.5769e+00 +5.0020e-01 -1.9427e+00 -2.3462e+00 -1.5479e+00 +6.5237e-01 -1.0936e+00 +2.3396e+00 +2.6480e+00 -2.5060e+00 -3.1923e+00 +3.6985e+00 -1.6198e+00 -1.5829e+00 +1.5498e+00 -2.9498e+00 +8.0794e-01 -3.4890e+00
