% function evaluation | noise-free fitness - Fopt (2.997000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.868167417e+03 +2.868167417e+03 +2.898137417e+03 +2.898137417e+03 -4.6174e+00 +4.1093e+00 -2.3723e+00 -4.6468e+00 +3.2027e+00 +3.3216e+00 +7.7438e-01 -1.6192e+00 -1.6498e+00 +4.9483e+00 -4.2345e+00 -7.1785e-01 +4.0662e+00 +3.9251e+00 -1.8490e+00 -1.5251e+00 -4.9909e+00 -1.3714e+00 -7.4278e-01 +2.3614e+00
22 +2.313542527e+03 +2.313542527e+03 +2.343512527e+03 +2.343512527e+03 -4.0831e+00 +3.1093e+00 -2.5654e+00 -3.6784e+00 +3.1742e+00 +3.1556e+00 +2.0569e-01 -1.7012e+00 -1.8198e+00 +4.0125e+00 -3.9382e+00 -1.1306e+00 +4.2832e+00 +3.3682e+00 -1.0472e+00 -1.2734e+00 -4.2711e+00 -1.0681e+00 -7.5247e-01 +1.7036e+00
64 +9.775566392e+02 +9.775566392e+02 +1.007526639e+03 +1.007526639e+03 -2.3020e+00 -6.2808e-01 -3.4473e+00 -6.4144e-01 +3.4979e+00 +2.3950e+00 -2.4410e+00 -2.1168e+00 -1.2951e+00 +4.1183e-01 -1.6574e+00 -1.8752e+00 +4.2622e+00 +2.1732e+00 +8.0260e-01 -8.7486e-02 -1.9831e+00 -4.5360e-01 +2.9201e-02 -8.8659e-01
106 +1.984198327e+02 +1.984198327e+02 +2.283898327e+02 +2.283898327e+02 +8.4126e-01 -1.4400e+00 -3.6141e+00 -2.0399e+00 +3.3852e+00 +2.9933e+00 -4.0948e+00 -2.8635e+00 +4.0937e-01 -1.7329e+00 +1.0616e+00 -1.3213e+00 +3.5009e+00 +2.6387e+00 -1.2557e+00 +2.2592e+00 -3.0656e+00 -4.6824e-01 +1.9980e+00 -3.7623e+00
148 +1.437886874e+02 +1.437886874e+02 +1.737586874e+02 +1.737586874e+02 +9.1144e-01 -1.4875e+00 -3.5754e+00 -2.2574e+00 +3.1983e+00 +3.2935e+00 -4.0401e+00 -2.9009e+00 +3.0002e-01 -1.6996e+00 +9.4109e-01 -1.5384e+00 +3.7034e+00 +2.3563e+00 -1.6352e+00 +2.5980e+00 -3.1358e+00 -4.2000e-01 +1.7109e+00 -3.4097e+00
232 +9.649771795e+01 +9.649771795e+01 +1.264677179e+02 +1.264677179e+02 +1.0334e+00 -1.8559e+00 -3.6231e+00 -1.9701e+00 +3.0330e+00 +3.2824e+00 -4.0667e+00 -3.2322e+00 +5.8170e-01 -1.8981e+00 +9.0788e-01 -1.6721e+00 +3.8969e+00 +2.1928e+00 -1.5073e+00 +2.9555e+00 -2.7528e+00 -5.8087e-01 +1.4431e+00 -3.3360e+00
316 +6.094978344e+01 +6.094978344e+01 +9.091978344e+01 +9.091978344e+01 +1.0804e+00 -1.8409e+00 -3.5768e+00 -1.9346e+00 +2.9746e+00 +3.0970e+00 -4.0980e+00 -3.1662e+00 +6.1494e-01 -1.9200e+00 +1.1950e+00 -1.4561e+00 +4.0406e+00 +2.2352e+00 -1.4991e+00 +2.7690e+00 -2.7202e+00 -5.9991e-01 +1.5235e+00 -3.4118e+00
442 +3.655360209e+01 +3.655360209e+01 +6.652360209e+01 +6.652360209e+01 +1.0133e+00 -1.7478e+00 -3.5850e+00 -1.9366e+00 +3.0203e+00 +3.0736e+00 -4.0671e+00 -3.1653e+00 +6.8102e-01 -1.8533e+00 +1.1707e+00 -1.4185e+00 +3.9773e+00 +2.2928e+00 -1.4450e+00 +2.7070e+00 -2.7447e+00 -6.3332e-01 +1.5422e+00 -3.4789e+00
631 +2.152517347e+01 +2.152517347e+01 +5.149517347e+01 +5.149517347e+01 +9.7991e-01 -1.7194e+00 -3.6092e+00 -1.9828e+00 +3.0994e+00 +3.1418e+00 -4.0501e+00 -3.0637e+00 +6.3387e-01 -1.8363e+00 +1.1295e+00 -1.5123e+00 +3.8760e+00 +2.3264e+00 -1.4520e+00 +2.6553e+00 -2.7929e+00 -6.3264e-01 +1.6000e+00 -3.4710e+00
820 +1.485209524e+01 +1.485209524e+01 +4.482209524e+01 +4.482209524e+01 +9.5391e-01 -1.6891e+00 -3.6110e+00 -1.9825e+00 +3.0938e+00 +3.1818e+00 -4.0386e+00 -3.0652e+00 +6.3388e-01 -1.8081e+00 +1.0975e+00 -1.5419e+00 +3.8970e+00 +2.3384e+00 -1.4745e+00 +2.6829e+00 -2.7958e+00 -6.4873e-01 +1.5762e+00 -3.4629e+00
